sentence	provenance
Contribution guidelines 	"contributions"
If you want to contribute to models, be sure to review the contribution guidelines. 	"contributions"
How to Contribute 	"contributions"
We welcome community contributions to nGraph. 	"contributions"
If you have an idea for how to improve it. 	"contributions"
Share your proposal via GitHub issues. 	"contributions"
Ensure you can build the product and run all the examples with your patch. 	"contributions"
In the case of a larger feature, create a test. 	"contributions"
Submit a pull request. 	"contributions"
We will review your contribution and, if any additional fixes or modifications are necessary, may provide feedback to guide you. 	"contributions"
When accepted, your pull request will be merged to the repository. 	"contributions"
Update CONTRIBUTING.md and include it in future releases. 	"contributions"
Finally, create a pull request. 	"contributions"
We'll then review and merge it. 	"contributions"
In any case, thank you very much for your contributions! 	"contributions"
Many contributors, including myself, are also not native speakers, so we may misread some parts. 	"contributions"
Other editors will require external contributions. 	"contributions"
Contributing to Black. 	"contributions"
In terms of inspiration, Black is about as configurable as gofmt. 	"contributions"
This is deliberate. 	"contributions"
Bug reports and fixes are always welcome! 	"contributions"
However, before you suggest a new feature or configuration knob, ask yourself why you want it. 	"contributions"
If it enables better integration with some workflow, fixes an inconsistency, speeds things up, and so on - go for it! 	"contributions"
On the other hand, if your answer is "because I don't like a particular formatting" then you're not ready to embrace Black yet. 	"contributions"
Such changes are unlikely to get accepted. 	"contributions"
You can still try but prepare to be disappointed. 	"contributions"
More details can be found in CONTRIBUTING. 	"contributions"
How to Contribute. 	"contributions"
We welcome community contributions to nGraph. 	"contributions"
If you have an idea for how to improve it. 	"contributions"
Share your proposal via GitHub issues. 	"contributions"
Ensure you can build the product and run all the examples with your patch. 	"contributions"
In the case of a larger feature, create a test. 	"contributions"
Submit a pull request. 	"contributions"
We will review your contribution and, if any additional fixes or modifications are necessary, may provide feedback to guide you. 	"contributions"
When accepted, your pull request will be merged to the repository. 	"contributions"
To contribute to Django, check out https://docs.djangoproject.com/en/dev/internals/contributing/ for information about getting involved. 	"contributions"
Contributing. 	"contributions"
Please read through our contributing guidelines. 	"contributions"
Included are directions for opening issues, coding standards, and notes on development. 	"contributions"
Moreover, if your pull request contains JavaScript patches or features, you must include relevant unit tests. 	"contributions"
All HTML and CSS should conform to the Code Guide, maintained by Mark Otto. 	"contributions"
Editor preferences are available in the editor config for easy use in common text editors. 	"contributions"
Read more and download plugins at https://editorconfig.org/. 	"contributions"
Community. 	"contributions"
Get updates on Bootstrap's development and chat with the project maintainers and community members. 	"contributions"
Follow @getbootstrap on Twitter. 	"contributions"
Read and subscribe to The Official Bootstrap Blog. 	"contributions"
Join the official Slack room. 	"contributions"
Chat with fellow Bootstrappers in IRC. 	"contributions"
On the irc.freenode.net server, in the ##bootstrap channel. 	"contributions"
Implementation help may be found at Stack Overflow (tagged bootstrap-4). 	"contributions"
Developers should use the keyword bootstrap on packages which modify or add to the functionality of Bootstrap when distributing through npm or similar. 	"contributions"
delivery mechanisms for maximum discoverability. 	"contributions"
How To Contribute. 	"contributions"
Please read CONTRIBUTING. 	"contributions"
If you're new to Github, welcome! 	"contributions"
We've set up a separate document for our contribution guidelines. 	"contributions"
Contributing to Node.js. 	"contributions"
Contributing to the project. 	"contributions"
Working Groups. 	"contributions"
Strategic Initiatives. 	"contributions"
You are welcome to contribute to this exciting project. 	"contributions"
Please first check Issue lists for "help wanted" tag and comment the one you are interested. 	"contributions"
We will assign the issue to you. 	"contributions"
Fork the master branch and add your improvement/modification/fix. 	"contributions"
Create a pull request to development branch and follow the pull request template PR template. 	"contributions"
Automatic tests will be triggered. 	"contributions"
Make sure all tests are passed. 	"contributions"
Please make sure all added modules are accompanied with proper test functions. 	"contributions"
To make sure the code has the same style and standard, please refer to abod.py, hbos.py, or feature_bagging.py for example. 	"contributions"
You are also welcome to share your ideas by opening an issue or dropping me an email at zhaoy@cmu.edu :) 	"contributions"
You are welcome to contribute to the Steppy library. 	"contributions"
Please check CONTRIBUTING for more information. 	"contributions"
You can learn more about using and contributing to CNTK with the following resources: 	"contributions"
General documentation. 	"contributions"
Python API documentation. 	"contributions"
Evaluation documentation (C++, C#/.NET, Python, Java). 	"contributions"
Manual. 	"contributions"
Tutorials. 	"contributions"
Examples. 	"contributions"
Pretrained models. 	"contributions"
Blog. 	"contributions"
Presentations. 	"contributions"
I happily welcome your contributions here! 	"contributions"
Please adhere to contributing.md, when contributing code. 	"contributions"
Pull requests that deviate from the contributing.md, could be labelled as invalid, and closed (without merging to master). 	"contributions"
These best practices will ensure integrity, when revisions of code, or issues need to be reviewed. 	"contributions"
Note: support, and philantropy can be inquired, to further assist with development. 	"contributions"
Contribute to XGBoost. 	"contributions"
XGBoost has been developed and used by a group of active community members. 	"contributions"
Your help is very valuable to make the package better for everyone. 	"contributions"
Checkout the Community Page. 	"contributions"
How to contribute 	"contributions"
Please subscribe to our development mailing list dev-subscribe@singa.incubator.apache.org. 	"contributions"
If you find any issues using SINGA, please report it to the Issue Tracker. 	"contributions"
You can also contact with SINGA committers directly. 	"contributions"
More details on contributing to SINGA is described here . 	"contributions"
Thanks to all our contributing authors, including (in chronological order): 	"contributions"
We would like to thank the Python community for building an amazing architecture. 	"contributions"
We would like to thank the statistics community for building an amazing architecture. 	"contributions"
b"# Contributing. 	"contributions"
Your contributions are always welcome!. 	"contributions"
## Guidelines. 	"contributions"
* Add one link per Pull Request. 	"contributions"
* Make sure the PR title is in the format of `Add project-name`. 	"contributions"
* Write down the reason why the library is awesome. 	"contributions"
* Add the link: `* [project-name](http://example.com/) - A short description ends with a period.` 	"contributions"
 * Keep descriptions concise. 	"contributions"
* Add a section if needed. 	"contributions"
* Add the section description. 	"contributions"
* Add the section title to Table of Contents. 	"contributions"
* Search previous Pull Requests or Issues before making a new one, as yours may be a duplicate. 	"contributions"
* Don't mention `Python` in the description as it's implied. 	"contributions"
* Check your spelling and grammar. 	"contributions"
* Remove any trailing whitespace. 	"contributions"
". 	"contributions"
Contributing 	"contributions"
============. 	"contributions"
Contributions are welcome!. 	"contributions"
**Please carefully read this page to make the code review process go as smoothly as possible and to maximize the likelihood of your contribution being merged.**. 	"contributions"
## Bug Reports. 	"contributions"
For bug reports or requests [submit an issue](https://github.com/donnemartin/system-design-primer/issues). 	"contributions"
## Pull Requests. 	"contributions"
The preferred way to contribute is to fork the 	"contributions"
[main repository](https://github.com/donnemartin/system-design-primer) on GitHub. 	"contributions"
1. 	"contributions"
Fork the [main repository](https://github.com/donnemartin/system-design-primer). 	"contributions"
Click on the \'Fork\' button near the top of the page. 	"contributions"
This creates a copy of the code under your account on the GitHub server. 	"contributions"
2. 	"contributions"
Clone this copy to your local disk:. 	"contributions"
$ git clone git@github.com:YourLogin/system-design-primer.git 	"contributions"
 $ cd system-design-primer. 	"contributions"
3. 	"contributions"
Create a branch to hold your changes and start making changes. 	"contributions"
Don\'t work in the `master` branch!. 	"contributions"
$ git checkout -b my-feature. 	"contributions"
4. 	"contributions"
Work on this copy on your computer using Git to do the version control. 	"contributions"
When you\'re done editing, run the following to record your changes in Git:. 	"contributions"
$ git add modified_files 	"contributions"
 $ git commit. 	"contributions"
5. 	"contributions"
Push your changes to GitHub with:. 	"contributions"
$ git push -u origin my-feature. 	"contributions"
6. 	"contributions"
Finally, go to the web page of your fork of the `system-design-primer` repo and click \'Pull Request\' to send your changes for review. 	"contributions"
### GitHub Pull Requests Docs. 	"contributions"
If you are not familiar with pull requests, review the [pull request docs](https://help.github.com/articles/using-pull-requests/). 	"contributions"
## Translations. 	"contributions"
We\'d like for the guide to be available in many languages. 	"contributions"
Here is the process for maintaining translations:. 	"contributions"
* This original version and content of the guide is maintained in English. 	"contributions"
* Translations follow the content of the original. 	"contributions"
Unfortunately, contributors must speak at least some English, so that translations do not diverge. 	"contributions"
* Each translation has a maintainer to update the translation as the original evolves and to review others\' changes. 	"contributions"
This doesn\'t require a lot of time, but review by the maintainer is important to maintain quality. 	"contributions"
### Changes to translations. 	"contributions"
* Changes to content should be made to the English version first, and then translated to each other language. 	"contributions"
* Changes that improve translations should be made directly on the file for that language. 	"contributions"
PRs should only modify one language at a time. 	"contributions"
* Submit a PR with changes to the file in that language. 	"contributions"
Each language has a maintainer, who reviews changes in that language. 	"contributions"
Then the primary maintainer @donnemartin merges it in. 	"contributions"
* Prefix PRs and issues with language codes if they are for that translation only, e.g. 	"contributions"
"es: Improve grammar", so maintainers can find them easily. 	"contributions"
### Adding translations to new languages. 	"contributions"
Translations to new languages are always welcome, especially if you can maintain the translation!. 	"contributions"
* Check existing issues to see if a translation is in progress or stalled. 	"contributions"
If so, offer to help. 	"contributions"
* If it is not in progress, file an issue for your language so people know you are working on it and we can arrange. 	"contributions"
Confirm you are native level in the language and are willing to maintain the translation, so it\'s not orphaned. 	"contributions"
* To get it started, fork the repo, then submit a PR with the single file README-xx.md added, where xx is the language code. 	"contributions"
Use standard [IETF language tags](https://www.w3.org/International/articles/language-tags/), i.e. 	"contributions"
the same as is used by Wikipedia, *not* the code for a single country. 	"contributions"
These are usually just the two-letter lowercase code, for example, `fr` for French and `uk` for Ukrainian (not `ua`, which is for the country). 	"contributions"
For languages that have variations, use the shortest tag, such as `zh-Hant`. 	"contributions"
* Invite friends to review if possible. 	"contributions"
If desired, feel free to invite friends to help your original translation by letting them fork your repo, then merging their PRs. 	"contributions"
* Add links to your translation at the top of every README*.md file. 	"contributions"
(For consistency, the link should be added in alphabetical order by ISO code, and the anchor text should be in the native language.) 	"contributions"
* When done, indicate on the PR that it\'s ready to be merged into the main repo. 	"contributions"
* Once accepted, your PR will be squashed into a single commit into the `master` branch. 	"contributions"
### Translation template credits. 	"contributions"
Thanks to [The Art of Command Line](https://github.com/jlevy/the-art-of-command-line) for the translation template. 	"contributions"
b"# Contributing guidelines. 	"contributions"
If you have created a model and would like to publish it here, please send us a 	"contributions"
pull request. 	"contributions"
For those just getting started with pull requests, GitHub has a 	"contributions"
[howto](https://help.github.com/articles/using-pull-requests/). 	"contributions"
The code for any model in this repository is licensed under the Apache License 	"contributions"
In order to accept our code, we have to make sure that we can publish your code: 	"contributions"
You have to sign a Contributor License Agreement (CLA). 	"contributions"
We appreciate all contributions. 	"contributions"
A non-exhaustive but growing list needs to mention: Trevor Killeen, Sasank Chilamkurthy, Sergey Zagoruyko, Adam Lerer, Francisco Massa, Alykhan Tejani, Luca Antiga, Alban Desmaison, Andreas Kopf, James Bradbury, Zeming Lin, Yuandong Tian, Guillaume Lample, Marat Dukhan, Natalia Gimelshein, Christian Sarofeen, Martin Raison, Edward Yang, Zachary Devito. 	"contributions"
### How to contribute #### What to contribute? 	"contributions"
Please contribute if you find any bug in xLearn. 	"contributions"
Contribute to the documents to make it clearer for everyone. 	"contributions"
Open issue if you met problems during development. 	"contributions"
File a new issue or submit a new pull request if you have some code you'd like to contribute. 	"contributions"
Development Want to contribute? 	"contributions"
Contributing Please read through our contributing guidelines. 	"contributions"
Contributors Check the list of contributors. 	"contributions"
You can suggest us of new improvements you want by creating new Issue here. 	"contributions"
Contributors: - Akarsha Sehwag (@aksh98) - Kushagra Arora (@kushagra7589) 	"contributions"
In your commit messages, refer to this issue. 	"contributions"
Community Slack — Come join almost a thousand members discussing the future of the project. 	"contributions"
Special Thanks All the amazing contributors❤️. 	"contributions"
Contributing Contributions are welcome! 	"contributions"
Contributing Want to help build Compose? 	"contributions"
Check out our contributing documentation. 	"contributions"
Contributions are most welcome! 	"contributions"
Many thanks for your participation!! 	"contributions"
We need your support! 	"contributions"
Thanks everybody for contributing. 	"contributions"
Contributing is always welcome. 	"contributions"
Thank you to all contributors! 	"contributions"
Check out our contributing documentation. 	"contributions"
Bug Reports, GitHub Issue Tracker, 🎁 Feature Requests| GitHub Issue Tracker, 👩‍💻 Usage Questions, Stack Overflow, Gitter Chat, Reddit User Group, 🗯 General Discussion, Gitter Chat, Reddit User  	"contributions"
Acknowledgements We thank Jaakko Lehtinen, David Luebke, and Tuomas Kynkäänniemi for in-depth discussions and helpful comments; Janne Hellsten, Tero Kuosmanen, and Pekka Jänis for compute infrastructure and help with the code release. 	"contributions"
If you're a Python or Django developer, fork the repo and get stuck in! 	"contributions"
Take a look at the data files in the chatterbot-corpus package if you are interested in contributing. 	"contributions"
Thanks to some awesome contributers , packaging Gooey as an executable is super easy. 	"contributions"
Contributions of additional training data or training data in other languages would be greatly appreciated. 	"contributions"
Create a fork of the main ChatterBot repository on GitHub. 	"contributions"
Related Projects List of known projects that fork or use changes from ungoogled-chromium 	"contributions"
The development of Mailpile is funded by a large community of backers. 	"contributions"
ow to Contribute You are welcome to contribute to the project as follow: fork project and commit pull requests, add/edit wiki, report/fix issue code review, commit new feature, add testcase. 	"contributions"
Contributing See guidelines for contributing here. 	"contributions"
Contributing Interested in contributing to Deis? 	"contributions"
Contributions to Gixy are always welcome! 	"contributions"
There are tasks for contributors of all experience levels. 	"contributions"
How to setup my contributor environment? 	"contributions"
To learn more about who specifically contributed to this codebase, see our contributors page. 	"contributions"
Please use Rasa Community Forum for quick answers to questions. 	"contributions"
Visit our contributor guidelines for additional details. 	"contributions"
To correct this table, please create a new issue. 	"contributions"
For more details, see the file CONTRIBUTING.md. 	"contributions"
Thanks for your interest in contributing! 	"contributions"
Faster R-CNN was initially described in an  arXiv tech report  and was subsequently published in NIPS 2015. 	"contributions"
It results in faster (~ 1.5x speedup) training times and similar detection accuracy. 	"contributions"
We should have awe-inspiring speed and crazy-good compression. 	"contributions"
Contributions are welcome. 	"contributions"
Visit our  contributor guidelines  for additional details. 	"contributions"
Please use  Rasa Community Forum  for quick answers to questions. 	"contributions"
Community : Discord Chat 	"contributions"
Issue Tracking Marathon uses JIRA to track issues, so please, going forward please use JIRA always. 	"contributions"
Contributors are usually available to field questions, give advice and discuss ideas on the Gitter channel , and for people wanting to take their first steps at contributing we have a selection of open issues flagged up as being good candidates to take on. 	"contributions"
Authors Marathon was created by Tobias Knaup and Florian Leibert and continues to be developed by the team at Mesosphere and by many contributors from the community. 	"contributions"
There wasn't enough contribution to warrant keeping it in Java The packages were all namespaced under a person's name and not the company's name Scala is more fun  Issues It was a pretty fast Java to Scala port so lots of the nicities of the Scala language aren't in the codebase yet. 	"contributions"
Become a member of the community by contributing to our codebase. 	"contributions"
You can find more plugins made by the community at GitBucket community plugins. 	"contributions"
We are committed to providing a friendly, safe and welcoming environment for all, and ask that the community adhere to the Scala Code of Conduct. 	"contributions"
Also be sure to check out the community wiki for the chapter notes , links to more reading, and more. 	"contributions"
Contributing We feel that a welcoming community is important and we ask that you follow Twitter's Open Source Code of Conduct in all interactions with the community. 	"contributions"
See CONTRIBUTING.md for info on contributing changes. 	"contributions"
Community Prisma has a community of thousands of amazing developers and contributors. 	"contributions"
See CONTRIBUTING.md for contribution guidelines. 	"contributions"
Community help with keeping the build working on Windows is appreciated. 	"contributions"
Community You can join these groups and chats to discuss and ask Akka related questions:  Forums: discuss.akka.io Chat room about using Akka: Issue tracker: In addition to that, you may enjoy following:  The news section of the page, which is updated whenever a new version is released The Akka Team Blog @akkateam on Twitter Questions tagged #akka on StackOverflow Projects built with Akka! 	"contributions"
Get help on Stack Overflow Community Gitter Chat Contributors Gitter! 	"contributions"
We are committed to providing a friendly, safe and welcoming environment for all, and ask that the community adhere to the Scala Code of Conduct. 	"contributions"
To request a community build run on your PR, just ask in a comment on the PR and a Scala team member (probably @SethTisue) will take care of it. 	"contributions"
Contributing We feel that a welcoming community is important and we ask that you follow Twitter's Open Source Code of Conduct in all interactions with the community. 	"contributions"
Community builds run on the Scala Jenkins instance. 	"contributions"
Questions or need help?Ask the community! 	"contributions"
See the scala/community-builds repo. 	"contributions"
The project uses Slack to facilitate conversation in our community. 	"contributions"
We welcome contributions to Delta Lake. 	"contributions"
Refer to the CONTRIBUTING.md file for more details about the workflow, and general hints on how to prepare your pull request. 	"contributions"
You can also ask for clarifications or guidance in GitHub issues directly, or in the akka/dev chat if a more real time communication would be of benefit. 	"contributions"
If you are interested in contributing, please visit the community page for ways in which you can help. 	"contributions"
We feel that a welcoming community is important and we ask that you follow Twitter's Open Source Code of Conduct in all interactions with the community. 	"contributions"
This guide document introduce how to contribute to CarbonData. 	"contributions"
You can also contact the community for getting answers. 	"contributions"
We monitor channels listed below for comments/questions. 	"contributions"
Support Any problem? Contact us for help. 	"contributions"
Forum for a high-level discussion with the wider community before implementation. 	"contributions"
Sign up for our Community Newsletter to get regular tips, learn about other use-cases and get alerted of blogposts and tutorials about Realm. 	"contributions"
For larger changes and feature ideas, we ask that you propose it on the unofficial Community Forum for a high-level discussion with the wider community before implementation. 	"contributions"
Welcome contribute your amazing animation effect. 	"contributions"
To contribute, you need to work with libGDX' sources directly, something normal users do not have to go through. 	"contributions"
Contributing: Code Instructions on how to setup your development environment and build Signal can be found in BUILDING.md. 	"contributions"
Before you open an issue or create a pull request, please read Contributing Guide first. 	"contributions"
The terms of the license are as follows: The MIT License (MIT) Copyright (c) 2004 Kohsuke Kawaguchi, Sun Microsystems Inc., and a number of other contributors. 	"contributions"
If you would like to contribute, please send an email to dev@dubbo.apache.org to let us know! 	"contributions"
Thanks to Haase & Martin OHG for contributing the logo. 	"contributions"
Contributers  craya1982  Thanks  Inspired by in daimajia. 	"contributions"
How can I contribute? Answer questions on issues. Review the existing pull request. Reporting a security vulnerability Please report security vulnerability to us privately. 	"contributions"
Glide is open source. 	"contributions"
Think you found a bug? Open an issue. 	"contributions"
Have a feature request? Open an issue. 	"contributions"
Get involved in the community forum or check out the wiki! 	"contributions"
For more details, see the Contributing docs page . 	"contributions"
We have an ever-growing community of users and engine developers.  	"contributions"
The main community channels are listed on the homepage. 	"contributions"
To get in touch with the developers, the best way is to join the IRC channel on Freenode. 	"contributions"
To get started contributing to the project, see the contributing guide. 	"contributions"
Please read the contribution guidelines before submitting a pull request. 	"contributions"
This project exists thanks to all the people who contribute.	"contributions"
