sentence	provenance
The external aspects of a robot affect how people behave and perceive it while interacting.	Semantic Scholar
In this paper, we study the importance of the mouth displayed by a social robot and explore how different designs of an artificial LED-based mouths alter the participants’ judgments of a robot's attributes and their attention to the robot's message.	Semantic Scholar
We evaluated participants’ judgments of a speaking robot under four conditions: 1) without a mouth; 2) with a static smile; 3) with a vibrating, wave-shaped mouth; and 4) with a moving, human-like mouth.	Semantic Scholar
A total of 79 participants evaluated their perceptions of an on-video robot showing one of the four conditions.	Semantic Scholar
The results show that the presence of a mouth, as well as its design, alters the perception of the robot.	Semantic Scholar
In particular, the presence of a mouth makes the robot to be perceived more lifelike and less sad.	Semantic Scholar
The human-like mouth was the one participants liked the most and, along with the smile, they were the friendliest ones.	Semantic Scholar
On the contrary, participants rated the mouthless robot and the one with the wave-like mouth as the most dangerous ones.	Semantic Scholar
unknown	Semantic Scholar
Free floating autonomous underwater manipulation is still an open research topic; an important challenge is offered by free floating manipulation, where the vehicle maintains relevant velocities during manipulation tasks.	Semantic Scholar
This paper focuses on the modelling and the control of an Autonomous Underwater Vehicle for Intervention (I-AUV).	Semantic Scholar
To this aim, an accurate model of the I-AUV has been implemented, including the interaction with the fluid.	Semantic Scholar
Then, a control architecture for the whole system is proposed, with particular attention on a suitable grasp planning strategy.	Semantic Scholar
Finally, a free floating manipulation task has been simulated to analyse in details the performances of the I-AUV control system.	Semantic Scholar
This paper suggests a novel method for a mobile robot to plan its path towards a target through an unknown environment, using sensors to discover new obstacles along the way.	Semantic Scholar
The method synthesizes an artificial temperature gradient throughout the known environment by numerically solving the heat conduction partial differential equation, where obstacles encountered during the robot navigation are “hot” and the target is “cold.” The temperature at all other points on the known environment grid are computed numerically, and are continuously updated to account for new obstacles.	Semantic Scholar
This method ensures the creation of navigational potential field with no danger of being trapped in local minima.	Semantic Scholar
A computer simulation demonstrates the technique on several environment types.	Semantic Scholar
In addition, an experiment was conducted on a mobile robot that can navigate indoors and outdoors in real time using this method.	Semantic Scholar
The simulations and experiment show that the temperature gradient method is robust in its ability to find paths, and is practical for online sensor based navigation of mobile robots.	Semantic Scholar
Road traffic speed prediction is a challenging problem in intelligent transportation system (ITS) and has gained increasing attentions.	Semantic Scholar
Existing works are mainly based on raw speed sensing data obtained from infrastructure sensors or probe vehicles, which, however, are limited by expensive cost of sensor deployment and maintenance.	Semantic Scholar
With sparse speed observations, traditional methods based only on speed sensing data are insufficient, especially when emergencies like traffic accidents occur.	Semantic Scholar
To address the issue, this paper aims to improve the road traffic speed prediction by fusing traditional speed sensing data with new-type “sensing” data from cross domain sources, such as tweet sensors from social media and trajectory sensors from map and traffic service platforms.	Semantic Scholar
Jointly modeling information from different datasets brings many challenges, including location uncertainty of low-resolution data, language ambiguity of traffic description in texts, and heterogeneity of cross-domain data.	Semantic Scholar
In response to these challenges, we present a unified probabilistic framework, called Topic-Enhanced Gaussian Process Aggregation Model (TEGPAM), consisting of three components, i.e., location disaggregation model, traffic topic model, and traffic speed Gaussian Process model, which integrate new-type data with traditional data.	Semantic Scholar
Experiments on real world data from two large cities validate the effectiveness and efficiency of our model.	Semantic Scholar
unknown	Semantic Scholar
Microelectrode arrays serve as an indispensable tool in electro-physiological research to study the electrical activity of neural cells, enabling measurements of single cell as well as network communication analysis.	Semantic Scholar
Recent experimental studies have reported that the neuronal geometry has an influence on electrical signaling and extracellular recordings.	Semantic Scholar
However, the corresponding mechanisms are not yet fully understood and require further investigation.	Semantic Scholar
Allowing systematic parameter studies, computational modeling provides the opportunity to examine the underlying effects that influence extracellular potentials.	Semantic Scholar
In this letter, we present an in silico single cell model to analyze the effect of geometrical variability on the extracellular electric potentials.	Semantic Scholar
We describe finite element models of a single neuron with varying geometric complexity in three-dimensional space.	Semantic Scholar
The electric potential generation of the neuron is modeled using Hodgkin-Huxley equations.	Semantic Scholar
The signal propagation is described with electro-quasi-static equations, and results are compared with corresponding cable equation descriptions.	Semantic Scholar
Our results show that both the geometric dimensions and the distribution of ion channels of a neuron are critical factors that significantly influence both the amplitude and shape of extracellular potentials.	Semantic Scholar
unknown	Semantic Scholar
Graph is an important data representation which appears in a wide diversity of real-world scenarios.	Semantic Scholar
Effective graph analytics provides users a deeper understanding of what is behind the data, and thus can benefit a lot of useful applications such as node classification, node recommendation, link prediction, etc.	Semantic Scholar
However, most graph analytics methods suffer the high computation and space cost.	Semantic Scholar
Graph embedding is an effective yet efficient way to solve the graph analytics problem.	Semantic Scholar
It converts the graph data into a low dimensional space in which the graph structural information and graph properties are maximumly preserved.	Semantic Scholar
In this survey, we conduct a comprehensive review of the literature in graph embedding.	Semantic Scholar
We first introduce the formal definition of graph embedding as well as the related concepts.	Semantic Scholar
After that, we propose two taxonomies of graph embedding which correspond to what challenges exist in different graph embedding problem settings and how the existing work addresses these challenges in their solutions.	Semantic Scholar
Finally, we summarize the applications that graph embedding enables and suggest four promising future research directions in terms of computation efficiency, problem settings, techniques, and application scenarios.	Semantic Scholar
GPUs have been increasingly used to accelerate graph processing for complicated computational problems regarding graph theory.	Semantic Scholar
Many parallel graph algorithms adopt the asynchronous computing model to accelerate the iterative convergence.	Semantic Scholar
Unfortunately, the consistent asynchronous computing requires locking or atomic operations, leading to significant penalties/overheads when implemented on GPUs.	Semantic Scholar
As such, the coloring algorithm is adopted to separate the vertices with potential updating conflicts, guaranteeing the consistency/correctness of the parallel processing.	Semantic Scholar
Common coloring algorithms, however, may suffer from low parallelism because of a large number of colors generally required for processing a large-scale graph with billions of vertices.	Semantic Scholar
We propose a light-weight asynchronous processing framework called Frog with a preprocessing/hybrid coloring model.	Semantic Scholar
The fundamental idea is based on the Pareto principle (or 80-20 rule) about coloring algorithms as we observed through masses of real-world graph coloring cases.	Semantic Scholar
We find that a majority of vertices (about 80 percent) are colored with only a few colors, such that they can be read and updated in a very high degree of parallelism without violating the sequential consistency.	Semantic Scholar
Accordingly, our solution separates the processing of the vertices based on the distribution of colors.	Semantic Scholar
In this work, we mainly answer three questions: (1) how to partition the vertices in a sparse graph with maximized parallelism, (2) how to process large-scale graphs that cannot fit into GPU memory, and (3) how to reduce the overhead of data transfers on PCIe while processing each partition.	Semantic Scholar
We conduct experiments on real-world data (Amazon, DBLP, YouTube, RoadNet-CA, WikiTalk, and Twitter) to evaluate our approach and make comparisons with well-known non-preprocessed (such as Totem, Medusa, MapGraph, and Gunrock) and preprocessed (Cusha) approaches, by testing four classical algorithms (BFS, PageRank, SSSP, and CC).	Semantic Scholar
On all the tested applications and datasets, Frog is able to significantly outperform existing GPU-based graph processing systems except Gunrock and MapGraph.	Semantic Scholar
MapGraph gets better performance than Frog when running BFS on RoadNet-CA.	Semantic Scholar
The comparison between Gunrock and Frog is inconclusive.	Semantic Scholar
Frog can outperform Gunrock more than 1.04X when running PageRank and SSSP, while the advantage of Frog is not obvious when running BFS and CC on some datasets especially for RoadNet-CA.	Semantic Scholar
This paper depicts the structural design of a novel water-jet-based spherical underwater robot.	Semantic Scholar
The propulsion system is made up of four water-jet thrusters and 8 steering servo motors which can adjust the polydirectional shift of thrusters nozzle to achieve 4-degrees-of-freedom (4-DOF) motion.	Semantic Scholar
Every two thrusters nozzles formed an angle of 90 degree in one plane.	Semantic Scholar
A bilayer structure was adopted for the control system to obtain data from various sensors, meanwhile control the outputs of ports after calculation processing.	Semantic Scholar
The primary side whose core is TMS320f28335 processor was employed for the data collection and disposing calculation.	Semantic Scholar
And made the Atmega2560 processor as the main chip of the subordinate side to control the propulsion system.	Semantic Scholar
The Micron Data Modem is integrated into the electrical design, which can realize the data transmission and communication between multi-SURs in future.	Semantic Scholar
Based on the theoretical analysis and calculation, a series of underwater experiments were carried out to test the performance of the novel spherical underwater robot; these experiments included surgesway motion test, yaw motion test, heave motion test, and anti-interference test.	Semantic Scholar
A FSMC controller was employed to control the direction of the vectored water-jet thrusters for underwater motion.	Semantic Scholar
The experimental results demonstrated that the novel spherical underwater robot could realize underwater motion rapidly and accurately.	Semantic Scholar
The performance of the novel SUR is more nimbler and flexible than the previous SUR-II we developed.	Semantic Scholar
In this paper, we analyze the role of hidden bias in representational efficiency of the Gaussian-Bipolar Restricted Boltzmann Machines (GBPRBMs), which are similar to the widely used Gaussian-Bernoulli RBMs.	Semantic Scholar
Our experiments show that hidden bias plays an important role in shaping of the probability density function of the visible units.	Semantic Scholar
We define hidden entropy and propose it as a measure of representational efficiency of the model.	Semantic Scholar
By using this measure, we investigate the effect of hidden bias on the hidden entropy and provide a full analysis of the hidden entropy as function of the hidden bias for small models with up to three hidden units.	Semantic Scholar
We also provide an insight into understanding of the representational efficiency of the larger scale models.	Semantic Scholar
Furthermore, we introduce Normalized Empirical Hidden Entropy (NEHE) as an alternative to hidden entropy that can be computed for large models.	Semantic Scholar
Experiments on the MNIST, CIFAR-10 and Faces data sets show that NEHE can serve as measure of representational efficiency and gives an insight on minimum number of hidden units required to represent the data.	Semantic Scholar
The correlation method from brain imaging has been used to estimate functional connectivity in the human brain.	Semantic Scholar
However, brain regions might show very high correlation even when the two regions are not directly connected due to the strong interaction of the two regions with common input from a third region.	Semantic Scholar
One previously proposed solution to this problem is to use a sparse regularized inverse covariance matrix or precision matrix (SRPM) assuming that the connectivity structure is sparse.	Semantic Scholar
This method yields partial correlations to measure strong direct interactions between pairs of regions while simultaneously removing the influence of the rest of the regions, thus identifying regions that are conditionally independent.	Semantic Scholar
To test our methods, we first demonstrated conditions under which the SRPM method could indeed find the true physical connection between a pair of nodes for a spring-mass example and an RC circuit example.	Semantic Scholar
The recovery of the connectivity structure using the SRPM method can be explained by energy models using the Boltzmann distribution.	Semantic Scholar
We then demonstrated the application of the SRPM method for estimating brain connectivity during stage 2 sleep spindles from human electrocorticography (ECoG) recordings using an electrode array.	Semantic Scholar
The ECoG recordings that we analyzed were from a 32-year-old male patient with long-standing pharmaco-resistant left temporal lobe complex partial epilepsy.	Semantic Scholar
Sleep spindles were automatically detected using delay differential analysis and then analyzed with SRPM and the Louvain method for community detection.	Semantic Scholar
We found spatially localized brain networks within and between neighboring cortical areas during spindles, in contrast to the case when sleep spindles were not present.	Semantic Scholar
In this letter, we consider the problem of rendering robotic tasks persistent by ensuring that the robots’ energy levels are never depleted, which means that the tasks can be executed over long time horizons.	Semantic Scholar
This process is referred to as the persistification of the task.	Semantic Scholar
In particular, the state of each robot is augmented with its battery level so that the desired persistent behavior can be encoded as the forward invariance of a set such that the robots never deplete their batteries.	Semantic Scholar
Control barrier functions are employed to synthesize controllers that ensure that this set is forward invariant and, therefore, that the robotic task is persistent.	Semantic Scholar
As an application, this letter considers the persistification of a robotic sensor coverage task in which a group of robots has to cover an area of interest.	Semantic Scholar
The successful persistification of the coverage task is shown in simulation and on a team of mobile robots.	Semantic Scholar
Typically, localization algorithms focus on maximizing estimation accuracy, often while neglecting some of the real-world costs of achieving such performance.	Semantic Scholar
In this letter, we formulate <italic>optimal scheduling problems </italic> of multirobot localization to investigate the tradeoff between estimate accuracy and its corresponding cost.	Semantic Scholar
We derive the continuous-time approximation to explicitly represent the rates of distinct operations in a multirobot localization scheme, which we then use to define the optimization problems for scheduling those operations.	Semantic Scholar
For a given accuracy requirement, we can solve the <italic>cost minimization problem</italic> to find the lowest cost schedule satisfying the prescribed error expectation; similarly, for a given cost budget, we can solve the <italic> trace minimization problem</italic> to find a schedule for the best achievable error performance.	Semantic Scholar
While the interplay between the localization error and the operation parameters is described by a Riccati equation, the Fréchet derivative is applied to shed the light on their implicit relationship.	Semantic Scholar
"In a localization example grounded in a realistic setting, we show that by solving these optimal scheduling problems, power consumption can be reduced by <inline-formula><tex-math notation=""LaTeX"">$64\%$</tex-math></inline-formula> through cost minimization, or the bounding covariance trace can be reduced by <inline-formula><tex-math notation=""LaTeX"">$15\%$</tex-math> </inline-formula> through trace minimization."	Semantic Scholar
unknown	Semantic Scholar
Active sensing provides a way to assess whether a thin film of gecko-inspired adhesive has made good contact with a surface.	Semantic Scholar
This knowledge is useful for applications like gripping objects in space where a failed grasp could lead to loss of the object.	Semantic Scholar
Our active sensing approach uses Lamb waves in thin bilayers, excited, and detected by piezoelectric strips.	Semantic Scholar
From the theory, we describe how attenuation increases with contact boundary condition changes.	Semantic Scholar
We validated the theory using frustrated total internal reflection imaging, showing that attenuation increases as the contact area grows.	Semantic Scholar
"Pull tests on different textures of acrylic plate show that the slope change of the signal can predict the maximum adhesion limit with a 10 N window and predict impending failure with a detection rate <inline-formula><tex-math notation=""LaTeX"">$>$</tex-math></inline-formula>80%."	Semantic Scholar
"Lifting a cylindrical object shows that the sensor can signal different types of failures with a detection rate <inline-formula> <tex-math notation=""LaTeX"">$>$</tex-math></inline-formula>85%, associated with unstable grasping."	Semantic Scholar
Superpixels group perceptually similar pixels to create visually meaningful entities while heavily reducing the number of primitives for subsequent processing steps.	Semantic Scholar
As of these properties, superpixel algorithms have received much attention since their naming in 2003 [1].	Semantic Scholar
By today, publicly available superpixel algorithms have turned into standard tools in low-level vision.	Semantic Scholar
As such, and due to their quick adoption in a wide range of applications, appropriate benchmarks are crucial for algorithm selection and comparison.	Semantic Scholar
Until now, the rapidly growing number of algorithms as well as varying experimental setups hindered the development of a unifying benchmark.	Semantic Scholar
We present a comprehensive evaluation of 28 state-of-the-art superpixel algorithms utilizing a benchmark focussing on fair comparison and designed to provide new insights relevant for applications.	Semantic Scholar
To this end, we explicitly discuss parameter optimization and the importance of strictly enforcing connectivity.	Semantic Scholar
Furthermore, by extending well-known metrics, we are able to summarize algorithm performance independent of the number of generated superpixels, thereby overcoming a major limitation of available benchmarks.	Semantic Scholar
Furthermore, we discuss runtime, robustness against noise, blur and affine transformations, implementation details as well as aspects of visual quality.	Semantic Scholar
Finally, we present an overall ranking of superpixel algorithms which redefines the stateof-the-art and enables researchers to easily select appropriate algorithms and the corresponding implementations which themselves are made publicly available as part of our benchmark at davidstutz.de/projects/superpixel-benchmark/.	Semantic Scholar
With our ability to record more neurons simultaneously, making sense of these data is a challenge.	Semantic Scholar
Functional connectivity is one popular way to study the relationship of multiple neural signals.	Semantic Scholar
Correlation-based methods are a set of currently well-used techniques for functional connectivity estimation.	Semantic Scholar
However, due to explaining away and unobserved common inputs (Stevenson, Rebesco, Miller, & Körding, 2008), they produce spurious connections.	Semantic Scholar
The general linear model (GLM), which models spike trains as Poisson processes (Okatan, Wilson, & Brown, 2005; Truccolo, Eden, Fellows, Donoghue, & Brown, 2005; Pillow et al., 2008), avoids these confounds.	Semantic Scholar
We develop here a new class of methods by using differential signals based on simulated intracellular voltage recordings.	Semantic Scholar
It is equivalent to a regularized AR(2) model.	Semantic Scholar
We also expand the method to simulated local field potential recordings and calcium imaging.	Semantic Scholar
In all of our simulated data, the differential covariance-based methods achieved performance better than or similar to the GLM method and required fewer data samples.	Semantic Scholar
This new class of methods provides alternative ways to analyze neural signals.	Semantic Scholar
The estimation of covariance matrices is of prime importance to analyze the distribution of multivariate signals.	Semantic Scholar
In motor imagery–based brain-computer interfaces (MI-BCI), covariance matrices play a central role in the extraction of features from recorded electroencephalograms (EEGs); therefore, correctly estimating covariance is crucial for EEG classification.	Semantic Scholar
This letter discusses algorithms to average sample covariance matrices (SCMs) for the selection of the reference matrix in tangent space mapping (TSM)–based MI-BCI.	Semantic Scholar
Tangent space mapping is a powerful method of feature extraction and strongly depends on the selection of a reference covariance matrix.	Semantic Scholar
In general, the observed signals may include outliers; therefore, taking the geometric mean of SCMs as the reference matrix may not be the best choice.	Semantic Scholar
In order to deal with the effects of outliers, robust estimators have to be used.	Semantic Scholar
In particular, we discuss and test the use of geometric medians and trimmed averages (defined on the basis of several metrics) as robust estimators.	Semantic Scholar
The main idea behind trimmed averages is to eliminate data that exhibit the largest distance from the average covariance calculated on the basis of all available data.	Semantic Scholar
The results of the experiments show that while the geometric medians show little differences from conventional methods in terms of classification accuracy in the classification of electroencephalographic recordings, the trimmed averages show significant improvement for all subjects.	Semantic Scholar
In the era of “big data”, one of the key challenges is to analyze large amounts of data collected in meaningful and scalable ways.	Semantic Scholar
The field of process mining is concerned with the analysis of data that is of a particular nature, namely data that results from the execution of business processes.	Semantic Scholar
The analysis of such data can be negatively influenced by the presence of outliers, which reflect infrequent behavior or “noise”.	Semantic Scholar
In process discovery, where the objective is to automatically extract a process model from the data, this may result in rarely travelled pathways that clutter the process model.	Semantic Scholar
This paper presents an automated technique to the removal of infrequent behavior from event logs.	Semantic Scholar
The proposed technique is evaluated in detail and it is shown that its application in conjunction with certain existing process discovery algorithms significantly improves the quality of the discovered process models and that it scales well to large datasets.	Semantic Scholar
This letter presents a new approach to online synchronization of a robot to the motion of an object.	Semantic Scholar
This is done by an iterative trajectory planning approach.	Semantic Scholar
Trajectory planning is divided into geometric path planning and subsequent time optimal parameterization of the geometric path.	Semantic Scholar
The geometric path planning approach can handle position constraints in joint space as well as in task space and results in a sequential quadratic program in two variables for each joint.	Semantic Scholar
The time optimal path parameterization respecting joint velocity, acceleration, and jerk constraints is formulated as a linear program.	Semantic Scholar
However, the overall optimization problem is nonlinear.	Semantic Scholar
Only few iterations of this nonlinear optimization problem can be performed online.	Semantic Scholar
Therefore, a method for obtaining a time scaling function is presented such that the robot and the object are synchronized exactly.	Semantic Scholar
The synchronization task is executed online and experimental results are shown for a 6-DOF manipulator.	Semantic Scholar
Within the field of image and video recognition, the traditional approach is a dataset split into fixed training and test partitions.	Semantic Scholar
However, the labelling of the training set is time-consuming, especially as datasets grow in size and complexity.	Semantic Scholar
Furthermore, this approach is not applicable to the home user, who wants to intuitively group their media without tirelessly labelling the content.	Semantic Scholar
Consequently, we propose a solution similar in nature to an active learning paradigm, where a small subset of media is labelled as semantically belonging to the same class, and machine learning is then used to pull this and other related content together in the feature space.	Semantic Scholar
Our interactive approach is able to iteratively cluster classes of images and video.	Semantic Scholar
We reformulate it in an online learning framework and demonstrate competitive performance to batch learning approaches using only a fraction of the labelled data.	Semantic Scholar
Our approach is based around the concept of an image signature which, unlike a standard bag of words model, can express co-occurrence statistics as well as symbol frequency.	Semantic Scholar
We efficiently compute metric distances between signatures despite their inherent high dimensionality and provide discriminative feature selection, to allow common and distinctive elements to be identified from a small set of user labelled examples.	Semantic Scholar
These elements are then accentuated in the image signature to increase similarity between examples and pull correct classes together.	Semantic Scholar
By repeating this process in an online learning framework, the accuracy of similarity increases dramatically despite labelling only a few training examples.	Semantic Scholar
To demonstrate that the approach is agnostic to media type and features used, we evaluate on three image datasets (15 scene, Caltech101 and FG-NET), a mixed text and image dataset (ImageTag), a dataset used in active learning (Iris) and on three action recognition datasets (UCF11, KTH and Hollywood2).	Semantic Scholar
On the UCF11 video dataset, the accuracy is 86.7% despite using only 90 labelled examples from a dataset of over 1200 videos, instead of the standard 1122 training videos.	Semantic Scholar
The approach is both scalable and efficient, with a single iteration over the full UCF11 dataset of around 1200 videos taking approximately 1 minute on a standard desktop machine.	Semantic Scholar
unknown	Semantic Scholar
The contribution of this work is to show that real-time nonlinear model predictive control (NMPC) can be implemented on position controlled humanoid robots.	Semantic Scholar
Following the idea of “walking without thinking,” we propose a walking pattern generator that takes into account simultaneously the position and orientation of the feet.	Semantic Scholar
A requirement for an application in real-world scenarios is the avoidance of obstacles.	Semantic Scholar
Therefore, this letter shows an extension of the pattern generator that directly considers the avoidance of convex obstacles.	Semantic Scholar
The algorithm uses the whole-body dynamics to correct the center of mass trajectory of the underlying simplified model.	Semantic Scholar
The pattern generator runs in real-time on the embedded hardware of the humanoid robot HRP2 and experiments demonstrate the increase in performance with the correction.	Semantic Scholar
We propose a nonlinear inverse kinematics formulation which solves for positions directly.	Semantic Scholar
Compared to various other popular methods that integrate velocities, this formulation can better handle fast, asymmetric, and singular-postured balancing tasks for humanoid robots.	Semantic Scholar
We also introduce joint position and velocity boundaries as inequality constraints in the optimization to ensure feasibility.	Semantic Scholar
Such boundaries provide safety when approaching or getting away from joint limits or singularities.	Semantic Scholar
Besides, mixing positions and velocities in our proposed algorithm facilitates recovery from singularities, which is very difficult for conventional inverse kinematics methods.	Semantic Scholar
Extensive demonstrations on the real robot prove the applicability of the proposed algorithm while improving power consumption.	Semantic Scholar
Our formulation automatically handles different numerical and behavioral difficulties rising from singularities, which makes it a reliable low-level conversion block for different Cartesian planners.	Semantic Scholar
unknown	Semantic Scholar
Generating ground truth to design object detectors for large geographic areas covered by hundreds of satellite images poses two major challenges: one algorithmic and the other rooted in human–computer interaction considerations.	Semantic Scholar
The algorithmic challenge relates to minimizing the human annotation burden by collecting only those ground truth samples that are likely to improve the classifier.	Semantic Scholar
And the human–computer interaction challenge relates to the temporal latencies associated with scanning all the images to find those ground truth samples and eliciting annotations from a user.	Semantic Scholar
We address the algorithmic challenge by using the now wellknown concepts from Active Learning, albeit with a significant departure from how Active Learning has traditionally been presented in the literature: we present a human-operated active learning framework, rather than relying on previously collected fully labeled datasets for simulated experiments.	Semantic Scholar
And, we address the humancomputer interaction challenge by using a distributed approach that relies on multiple virtual machines working in parallel to carry out randomized scans in different portions of the geographic area in order to generate the active-learning based samples for human annotation.	Semantic Scholar
We demonstrate our wide-area framework for two infrequently occurring objects over large geographic areas in Australia.	Semantic Scholar
One is for detecting pedestrian crosswalks in a region that spans 180,000 sq.	Semantic Scholar
km, and the other is for detecting power transmission-line towers in a region that spans 150,000 sq.	Semantic Scholar
km.	Semantic Scholar
Using randomly selected unseen regions for measuring detector performance, the crosswalk detector works with 92% precision and 72% recall, and the transmission-line tower detector with 80% precision and 50% recall.	Semantic Scholar
Movement prioritization is a common approach to combine controllers of different tasks for redundant robots, where each task is assigned a priority.	Semantic Scholar
The priorities of the tasks are often handtuned or the result of an optimization, but seldomly learned from data.	Semantic Scholar
This letter combines Bayesian task prioritization with probabilistic movement primitives (ProMPs) to prioritize full motion sequences that are learned from demonstrations.	Semantic Scholar
ProMPs can encode distributions of movements over full motion sequences and provide control laws to exactly follow these distributions.	Semantic Scholar
The probabilistic formulation allows for a natural application of Bayesian task prioritization.	Semantic Scholar
We extend the ProMP controllers with an additional feedback component that accounts inaccuracies in following the distribution and allows for a more robust prioritization of primitives.	Semantic Scholar
We demonstrate how the task priorities can be obtained from imitation learning and how different primitives can be combined to solve even unseen task-combinations.	Semantic Scholar
Due to the prioritization, our approach can efficiently learn a combination of tasks without requiring individual models per task combination.	Semantic Scholar
Furthermore, our approach can adapt an existing primitive library by prioritizing additional controllers, for example, for implementing obstacle avoidance.	Semantic Scholar
Hence, the need of retraining the whole library is avoided in many cases.	Semantic Scholar
We evaluate our approach on reaching movements under constraints with redundant simulated planar robots and two physical robot platforms, the humanoid robot “iCub” and a KUKA LWR robot arm.	Semantic Scholar
The motion behavior of a skid-steering rover on loose terrain is modeled experimentally, and a position estimation method based on the model is proposed.	Semantic Scholar
Skid steering is a steering method adopted for various vehicles and robots.	Semantic Scholar
In this method, the vehicles steer by controlling a ratio between the rotational velocities of their left and right wheels.	Semantic Scholar
For controlling a skid-steering rover, whose wheels can slip on the lunar and planetary surfaces, which are covered with loose regolith, it is important to model accurately the rover's motion behaviors on loose terrain.	Semantic Scholar
To this end, we conducted traveling tests using a four-wheeled rover in a sand field and analyzed the motion behaviors of the rover on loose terrain.	Semantic Scholar
In the tests, the velocities of the rover's left and right wheels were controlled, and the rover traveled with various turning patterns.	Semantic Scholar
From the test datasets, we derived a mathematical model that expresses a relationship between the input and output velocities of the rover's wheels.	Semantic Scholar
Furthermore, the effectiveness of a position and motion estimation method based on the model was confirmed from experiments conducted in the sand field.	Semantic Scholar
Fitting facial landmarks on unconstrained videos is a challenging task with broad applications.	Semantic Scholar
Both generic and joint alignment methods have been proposed with varying degrees of success.	Semantic Scholar
However, many generic methods are heavily sensitive to initializations and usually rely on offline-trained static models, which limit their performance on sequential images with extensive variations.	Semantic Scholar
On the other hand, joint methods are restricted to offline applications, since they require all frames to conduct batch alignment.	Semantic Scholar
To address these limitations, we propose to exploit incremental learning for personalized ensemble alignment.	Semantic Scholar
We sample multiple initial shapes to achieve image congealing within one frame, which enables us to incrementally conduct ensemble alignment by group-sparse regularized rank minimization.	Semantic Scholar
At the same time, incremental subspace adaptation is performed to achieve personalized modeling in a unified framework.	Semantic Scholar
To alleviate the drifting issue, we leverage a very efficient fitting evaluation network to pick out well-aligned faces for robust incremental learning.	Semantic Scholar
Extensive experiments on both controlled and unconstrained datasets have validated our approach in different aspects and demonstrated its superior performance compared with state of the arts in terms of fitting accuracy and efficiency.	Semantic Scholar
The computational principles of slowness and predictability have been proposed to describe aspects of information processing in the visual system.	Semantic Scholar
From the perspective of slowness being a limited special case of predictability we investigate the relationship between these two principles empirically.	Semantic Scholar
On a collection of real-world data sets we compare the features extracted by slow feature analysis (SFA) to the features of three recently proposed methods for predictable feature extraction: forecastable component analysis, predictable feature analysis, and graph-based predictable feature analysis.	Semantic Scholar
Our experiments show that the predictability of the learned features is highly correlated, and, thus, SFA appears to effectively implement a method for extracting predictable features according to different measures of predictability.	Semantic Scholar
Planetary rovers exploring the surface of Mars rely on vision-based localization and navigation algorithms to estimate their state and plan their motion during autonomous traverses.	Semantic Scholar
The accurate estimation of rover's motion enables safe navigation across environments with potentially hazardous terrain that would otherwise require careful human intervention.	Semantic Scholar
