	text	provenance	civic	domestic	green	industrial	inspired	market	project	renown
87	That means we can quickly audit their behavior and remove them if they request access to information they shouldn't (why would an Ad blocker require camera access?).	Manually_gathered	0	0	0	1	0	0	0	0
88	The World Bank has not yet addressed climate issues systematically.	Manually_gathered	0	0	1	0	0	0	0	0
89	The authors gratefully acknowledge the DM program of the Defense Advanced Research Projects Agency (DARPA) administered through AFRL contract FA   the Texas A&M College of Engineering and Texas A&M.	Manually_gathered	0	0	0	0	0	1	0	0
90	The brand name ERPNext and the logo are trademarks of Frappe Technologies Pvt.	Manually_gathered	0	0	0	0	0	0	0	1
91	The chat bots can even scrape the internet for information to return in their output as well as to use for learning.	Manually_gathered	0	0	0	1	0	0	0	0
92	The glyphs are designed based on this plan most stems and lines will be positioned at EM units that are even multiples of  and in a few cases they are at even multiples of or as low as.	Manually_gathered	0	0	0	1	0	0	0	0
93	The overwhelming support by the community gave it the shape it is in right now.	Manually_gathered	1	0	0	0	0	0	0	0
94	The projective city as we have just described it allows us to underline the main themes of justification in a world conceived as a network.	Manually_gathered	0	0	0	0	0	0	1	0
95	The server only works for projects with	Manually_gathered	0	0	0	0	0	0	1	0
96	The table below collects the submitted benchmarks.	Manually_gathered	0	0	0	1	0	0	0	0
97	The ultimate goal of AutoML is to provide easily accessible deep learning tools to domain experts with limited data science or machine learning background.	Manually_gathered	0	0	0	1	0	0	0	0
98	The warning about the key not being certified is benign as it has not yet been manually assigned trust.	Manually_gathered	0	1	0	0	0	0	0	0
99	The zappa asynchronous functionality only works	Manually_gathered	0	0	0	1	0	0	0	0
100	They do not contain package managers shells or any other programs you would expect to find in a standard Linux distribution.	Manually_gathered	0	0	0	1	0	0	0	0
101	This allows ease of use for novices and flexibility for experts.	Manually_gathered	0	0	0	1	0	0	1	0
102	This document aims to track the progress in Natural Language Processing (NLP) and give an overview	Manually_gathered	0	0	0	1	0	0	0	0
103	This functionality requires the	Manually_gathered	0	0	0	1	0	0	0	0
104	This guide is targeted to power users who wish to adopt enterprise standard security but is also suitable for novice users with an interest in improving their privacy and security on a Mac.	Manually_gathered	0	0	0	1	0	0	0	0
105	This project includes algorithms focused on Bayes theorem neural networks SVMs Matrices etc...	Manually_gathered	0	0	0	0	0	0	1	0
106	This will exercise both the unit tests and docstring examples (using `pytest`).	Manually_gathered	0	0	0	1	0	0	0	0
107	Training progress will be displayed in the console but TensorBoard can also be used.	Manually_gathered	0	0	0	1	0	0	0	0
108	Trump Orders Help For Chinese Phone Maker After China Approves Money For Trump ProjectTrump will profit from Indonesian resort project that will get $ million in Chinese loans in a deal sealed days before before his tweet ordering help for ZTE.	Manually_gathered	0	0	0	0	0	0	0	0
109	Understandability: deep learning model internals are often considered black boxes but we provide standard visualizations to understand their performance and compare their predictions.	Manually_gathered	0	0	0	1	0	0	0	0
110	Useful CLI based tools for productivity.	Manually_gathered	0	0	0	1	0	0	0	0
111	Visdom aims to facilitate visualization of (remote) data with an emphasis on supporting scientific experimentation.	Manually_gathered	0	0	0	1	0	0	0	0
112	We built an automatic benchmarking system based on `scikit learn` that covers classifiers (but no deep learning) with different parameters.	Manually_gathered	0	0	0	1	0	0	0	0
113	We decompose the detection framework into different components and one can easily construct a customized object detection framework by combining different modules.	Manually_gathered	0	0	0	0	0	1	0	0
114	We designed ElastAlert to be reliable highly modular and easy to set up and configure.	Manually_gathered	0	0	0	1	0	0	0	0
115	We're working on improving that experience or providing alternatives that give more fine tuned control.	Manually_gathered	0	0	0	1	0	0	0	0
116	We'd like to make it easy for anyone to use the ERPNext name or logo for community oriented efforts that help spread and improve ERPNext.	Manually_gathered	1	0	0	0	0	0	0	0
117	What is particularly worrying about this process is that it is a network linked secure boot process where centralized external servers have the power to dictate what the device should boot.	Manually_gathered	0	0	0	1	0	0	0	0
118	Whether you want learn which organizations are the big players in the web archiving space want to find a specific open source tool for your web archiving need or just want to see where archivists hang out online our Community Wiki page serves as an index of the broader web archiving community.	Manually_gathered	1	0	0	0	0	0	0	0
119	Wi Fi Diagnostics) will require root privileges for full functionality.	Manually_gathered	0	0	0	1	0	0	0	0
120	Will I be able to use pixcode for my own frontend projects?	Manually_gathered	0	0	0	0	0	0	1	0
121	Windows community supported	Manually_gathered	1	0	0	0	0	0	0	0
122	You are welcome to submit your benchmark simply create a new issue and we'll list your results here.	Manually_gathered	0	0	0	1	0	0	0	0
123	You can use Gitter to communicate with people who are also interested in Auto Keras.	Manually_gathered	0	0	0	0	0	0	1	0
124	You can use your Google account to sign to your Chrome customized settings from other devices while retaining your the security of your passwords.	Manually_gathered	0	0	0	0	0	1	0	0
125	You don't have to be a machine learning expert to add recommendations object detection image classification image similarity or activity classification to your app.	Manually_gathered	0	0	0	1	0	0	0	0
126	Zappa does not intend to conform to PEP isolate your commits so that changes to functionality with changes made by your linter.	Manually_gathered	0	0	0	1	0	0	0	0
127	'our' deep desire for autonomy and self reliance is combined with an equally deep conviction that life has no meaning unless shared with others in the context of community\' (waterman ).	Manually_gathered	0	0	0	0	0	0	1	0
128	in place of the traditional contract which guaranteed security promotion and development it is now appropriate to make an agreement that creates a sense of belonging which helps the individual to maintain his employability or the value of his labour and which exploits the various opportunities to learn while at work\' (aubrey ).	Manually_gathered	0	0	0	0	0	0	1	0
129	'path' has a very attractive menu sitting on the left bottom corner of the screen.	Manually_gathered	0	0	0	0	0	0	0	1
130	'simultaneous development of all the categories in the portfolio' is therefore indicated: 'thanks to the multiplicity of clients work for fees offers a certain guarantee of activity.	Manually_gathered	0	0	0	0	0	0	1	0
131	'the calm desire for wealth' as albert hirschman writes in the passions and the interest (hirschman ) quoting francis hutcheson allows the construction of a harmonious order which transcends the confusion of individual interests.	Manually_gathered	0	0	0	0	0	1	0	0
132	'the image of the chameleon is a tempting one for describing the pro who knows how to conduct his relationships in order to reach other people more easily \' adaptability is the key to the network spirit (efforts have to be made to take the first step) (bellenger ).	Manually_gathered	0	0	0	0	0	0	1	0
133	'the informal network is the preferred organizational mode of writers scientific researchers and musicians who develop in domains where knowledge is highly specialized creative and personalized\' (aubrey ).	Manually_gathered	0	0	0	0	0	0	1	0
134	'tomorrow's manager must ensure that information is shared that it irrigates the firm thoroughly\' (le saget ).	Manually_gathered	0	0	0	0	0	0	1	0
135	vendor: canon inc.	Manually_gathered	0	0	0	0	0	1	0	0
136	vendor: edimax technology co. ltd.	Manually_gathered	0	0	0	0	0	1	0	0
137	vendor: hon hai precision ind.	Manually_gathered	0	0	0	0	0	1	0	0
138	vendor: samsung electro mechanics(thailand)	Manually_gathered	0	0	0	0	0	1	0	0
139	vendor: shenzhen ogemray technology co. ltd.	Manually_gathered	0	0	0	0	0	1	0	0
140	vendor: sony corporation	Manually_gathered	0	0	0	0	0	1	0	0
141	link a list with customer information to another with order history even without unique customer ids	Manually_gathered	0	0	0	0	0	1	0	0
142	a logical reasonably standardized but flexible project structure for doing and sharing data science work._	Manually_gathered	0	0	0	1	0	0	0	0
143	a teacher that implements a simple standard text format for many tasks (non visual tasks only)	Manually_gathered	0	0	0	1	0	0	0	0
144	` keepall`: use this flag when training if when testing you want to see the predictions at different steps (it can be interesting to see the program changes its name and age as the training progress).	Manually_gathered	0	0	0	1	0	0	0	0
145	` world` set the max channel to. in n. america the max channel standard is  but the rest of the world uses channels so use this option if you\'re not in n. america	Manually_gathered	0	0	0	1	0	0	0	0
146	`benchmark`: quickly iterate through the resolutions to measure the raw training performance.	Manually_gathered	0	0	0	1	0	0	0	0
147	`bigpanda_auth_bearer` the authorization bearer header that is assigned to each customer by bigpanda.	Manually_gathered	0	0	0	0	0	1	0	0
148	`com.moagrius.widgets.scrollview` is a clone of aosp\'s `scrollview` and `horizontalscrollview` with some inspiration taken from `recyclerview` and `gesturedetector`.	Manually_gathered	0	0	0	0	1	0	0	0
149	`dm_control` is regularly tested using the following platforms and python	Manually_gathered	0	0	0	1	0	0	0	0
150	`dubbo spring boot starter` is a standard spring boot starter which contains dubbo spring boot autoconfigure(dubbo spring boot autoconfigure) and dubbo spring boot actuator(dubbo spring boot actuator).	Manually_gathered	0	0	0	1	0	0	0	0
151	`jieba.tokenizer(dictionary=default_dict)` creates a new customized tokenizer which enables you to use different dictionaries at the same time.	Manually_gathered	0	0	0	0	0	1	0	0
152	`pyfunctional`\'s api takes inspiration from scala collections apache spark rdds and microsoft	Manually_gathered	0	0	0	0	1	0	0	0
153	`test`: used by unit tests	Manually_gathered	0	0	0	1	0	0	0	0
154	a being can also be qualified as worthy if it is recognized as representative a term that in the civic world designates the way in which other beings are included and the relation of worth among beings.	Manually_gathered	1	0	0	0	0	0	0	0
155	a being of great fame creates a public constitutes it as such just as much as that being is created by its public.	Manually_gathered	0	0	0	0	0	0	0	1
156	a community group was created they created camerakit don\'t hesitate to try it !	Manually_gathered	1	0	0	0	0	0	0	0
157	a couple observations on stress tests	Manually_gathered	0	0	0	1	0	0	0	0
158	a delegate may for example be authorized invested with specific functions that are codified in texts (such as collective conventions) that define his status acts relating to his competence and the incompatibilities that concern him: the mandate of delegate is incompatible with the mandate of administrator.	Manually_gathered	1	0	0	0	0	0	0	0
159	a demonstration serves as a medium from the vehicle to the message obvious or implied which makes it possible to achieve the desired goal.	Manually_gathered	0	0	0	0	0	0	0	1
160	a distributed transaction solution with high performance and ease of use for microservices architecture.	Manually_gathered	0	0	0	1	0	0	0	0
161	a fast and reliable distributed task processing library for python.	Manually_gathered	0	0	0	1	0	0	0	0
162	a growing number of packs is available on stackstorm community.	Manually_gathered	1	0	0	0	0	0	0	0
163	a handshake is also an instrument of worth a tool devised from the body itself depending on the order of gesture a handshake may raise or lower a person\'s standing: it is up to him (the leader) not you to offer his hand first.	Manually_gathered	0	1	0	0	0	0	0	0
164	a less obvious but often quite significant category of justifications involve judgments based on inspiration passion and emotion and often point to the singularity or creativity of a person object or action which is the source of inspiration.	Manually_gathered	0	0	0	0	1	0	0	0
165	a more worthy person is in relation with a less worthy person primarily through the responsibility he assumes for production by the control he has over the future: to determine the future accurately in order to control it is an indispensable task of factory management.	Manually_gathered	0	0	0	1	0	0	0	0
166	a novel sequence to sequence framework utilizes the self attention mechanism instead of convolution operation or recurrent structure and achieve the state of the art performance on wmt english to german translation task.	Manually_gathered	0	0	0	1	0	0	0	0
167	a number of great projects exist to provide credstash compatability with other languages.	Manually_gathered	0	0	0	0	0	0	1	0
168	a pay library for android and which support wechat pay and ali pay.	Manually_gathered	0	0	0	0	0	1	0	0
169	a project initiated by octo technology	Manually_gathered	0	0	0	0	0	0	1	0
170	a relation of equivalence can be established among beings insofar as they all belong to a collective that includes and transcends them.	Manually_gathered	1	0	0	0	0	0	0	0
171	a reliable flexible fast and powerful download engine.	Manually_gathered	0	0	0	1	0	0	0	0
172	a surgeon and an explorer may be equivalent when they are considered from the standpoint of fame: when a cosmonaut a famous surgeon who has done successful heart transplants or a celebrated explorer is featured at a company event this is certain to attract the attention of the public.	Manually_gathered	0	0	0	0	0	0	0	1
173	a test suite is also present to complement the functional testing.	Manually_gathered	0	0	0	1	0	0	0	0
174	a true adventure is an inner adventure and a true voyage is a voyage of the mind a pathfinding a quest.	Manually_gathered	0	0	0	0	1	0	0	0
175	a voluntary association in the aspe valley fiep is in fact entirely dedicated to promoting harmonious cohabitation  particularly by working to let shepherds and bears live together in the pyrenees.	Manually_gathered	0	0	1	0	0	0	0	0
176	a well ordered world is thus first of all a world in which the children have been well brought up and are trained in good manners.	Manually_gathered	0	1	0	0	0	0	0	0
177	access to fame which is potentially possible from one day to the next for any being however lacking in resources it may be can also be supported by an arrangement of objects.	Manually_gathered	0	0	0	0	0	0	0	1
178	access to inspired worth thus calls for sacrificing forms of stabilization and the contrivances that ensure the identity of persons in other worlds.	Manually_gathered	0	0	0	0	1	0	0	0
179	access to superiority comes by way of a good upbringing.	Manually_gathered	0	1	0	0	0	0	0	0
180	according to the same principle of eliminating anything that might hinder mobility the streamlined human being must not be attached to a burdensome patrimony and should prefer to ownership other formulas that provide access to the enjoyment of objects such as renting.	Manually_gathered	0	0	0	0	0	0	1	0
181	according to this logic there are beings even worthier than artists beings who inhabit magical worlds (shades fairies magi) but when these are evoked in the work we are drawing on here it is always in a desecratory mode.	Manually_gathered	0	0	0	0	1	0	0	0
182	accordingly tension between the requisite commitment and the indicated outcome appears surmountable.	Manually_gathered	0	0	0	0	0	0	1	0
183	accordingly we design two customized modules named cascade corner pooling and center pooling which play the roles of enriching information collected by both top left and bottom right corners and providing more recognizable information at the central regions respectively.	Manually_gathered	0	0	0	0	0	1	0	0
184	actions or entities are worthy with regard to this green justification when they support or reflect the principles of environmentalism or green ness e.g.	Manually_gathered	0	0	1	0	0	0	0	0
185	activists in the clavey case even developed ingenious methods for informing the public and prompting ordinary citizens to write to their legislators.	Manually_gathered	0	0	0	0	0	0	0	1
186	activity aims to generate projects or to achieve integration into projects initiated by others.	Manually_gathered	0	0	0	0	0	0	1	0
187	activity expresses itself in the multiplicity of projects of all kinds that may be pursued concurrently and which no what matter what happens must be elaborated successively since the project represents a transient mechanism in this logic.	Manually_gathered	0	0	0	0	0	0	1	0
188	activity projects extension of the network proliferation of connections <common superior principle>	Manually_gathered	0	0	0	0	0	0	1	0
189	adam smith\'s wealth of nations (primarily the first chapters describing how a market works) yields arguments basing a harmonious polity on the market.	Manually_gathered	0	0	0	0	0	1	0	0
190	adaptability <formula of investment> being streamlined flexibility tolerance renting\'	Manually_gathered	0	0	0	0	0	0	1	0
191	additionally it provides a new approximate convergence measure fast and stable training and high visual quality.	Manually_gathered	0	0	0	1	0	0	0	0
192	additionally you can modify sam to integrate it with other frameworks and deployment providers from the community for building serverless applications.	Manually_gathered	1	0	0	0	0	0	0	0
193	advanced algorithm for calculating the strength of your habits.	Manually_gathered	0	1	0	0	0	0	0	0
194	adventure quest mental voyage pathfinding lived experience.	Manually_gathered	0	0	0	0	1	0	0	0
195	after stopping it will evaluate the result on the test set.	Manually_gathered	0	0	0	1	0	0	0	0
196	after training is finished you can test and validate with:	Manually_gathered	0	0	0	1	0	0	0	0
197	again the denunciations of these renown tactics also reveal the significance of public attention in contributing to the fate of the project.	Manually_gathered	0	0	0	0	0	0	0	1
198	agent : gather performance information and send to the server	Manually_gathered	0	0	0	1	0	0	0	0
199	alibaba cloud scheduler, accurate highly reliable and highly available scheduled job scheduling services with response time within seconds.	Manually_gathered	0	0	0	1	0	0	0	0
200	alibaba cloud sms, a messaging service that covers the globe alibaba sms provides convenient efficient and intelligent communication capabilities that help businesses quickly contact their customers.	Manually_gathered	0	0	0	0	0	1	0	0
201	all beings and all societies have their networks and we normally think of them as the informal pathways along which information and influences flow: feminists complain about an \'old boys\' network\'.	Manually_gathered	0	0	0	0	0	0	1	0
202	all coincidences are relevant because relationships often tenuous or purely intellectual ones exist among all the elements of our universe.	Manually_gathered	0	0	0	0	1	0	0	0
203	all files in the directories active_projects and old_projects which by and large generate the visuals for bb videos are copyright bluebrown.	Manually_gathered	0	0	0	0	0	0	1	0
204	all one has to do is keep a close eye on the press for a month to be persuaded of this: events that mobilize public opinion in a country for several days running are completely forgotten from one day to the next because they have disappeared from the newspapers.	Manually_gathered	0	0	0	0	0	0	0	1
205	all the instruments of connection, repertoire of objects and mechanisms new technologies informal relations relations of trust partnership agreements alliances subcontracting networks of firms network firms link loop synapses neurons projects in a world where the principal operation is establishing connections it is thus normal to find a marked presence of new communication technologies based on computer science (internet interfaces etc.).	Manually_gathered	0	0	0	0	0	0	1	0
206	all the things that support and outfit equivalence in the other worlds such as measures rules money hierarchy and laws are missing here.	Manually_gathered	0	0	0	0	1	0	0	0
207	all these qualities make them leaders of teams that they manage not in authoritarian fashion but by listening to others with tolerance recognizing and respecting differences.	Manually_gathered	0	0	0	0	0	0	1	0
208	all unit tests in baselines can be run using pytest runner:	Manually_gathered	0	0	0	1	0	0	0	0
209	almost all the magic now happens in either `tile` or `tileview` if you understand those classes you understand the majority of the project.	Manually_gathered	0	0	0	0	0	0	1	0
210	alone you can rapidly build and test more reliable models.	Manually_gathered	0	0	0	1	0	0	0	0
211	already being used to secure data of many products such as admob google pay	Manually_gathered	0	0	0	0	0	1	0	0
212	also both sides utilize a form of proof which is congruent with technical competency justifications the use of scientific expertise and evidence to validate opposite arguments for example on the question of whether the dam will hurt or help the clavey fish populations.	Manually_gathered	0	0	0	1	0	0	0	0
213	also if the progress of your background task cannot be easily measured you might prefer to use an indeterminate progress indicator.	Manually_gathered	0	0	0	1	0	0	0	0
214	also known as finally found a way to make this deep learning stuff useful for my business.	Manually_gathered	0	0	0	0	0	1	0	0
215	also there has been quite a lot of national and international press coverage of the large protests against the project.	Manually_gathered	0	0	0	0	0	0	0	1
216	also we study the quantitative and visual performance of wgan div on standard image synthesis benchmarks showing the superior performance of wgan div compared to the state of the art methods.	Manually_gathered	0	0	0	1	0	0	0	0
217	also when running the tests make sure that the cuda profiling tools interface (cupti) can be found e.g.	Manually_gathered	0	0	0	1	0	0	0	0
218	also you can install drivers for various vm providers to optimize your minikube vm performance.	Manually_gathered	0	0	0	1	0	0	0	0
