text	confidence_value	confidence_level
Non-negative matrix factorization (NMF) is the problem of determining two non-negative low rank factors <inline-formula> <tex-math notation="LaTeX"> $\mathbf {W} $</tex-math> <alternatives> <inline-graphic xlink: href="kannan-ieq1-2767592.gif"/> </alternatives> </inline-formula> and <inline-formula> <tex-math notation="LaTeX"> $\mathbf {H} $</tex-math> <alternatives> <inline-graphic xlink: href="kannan-ieq2-2767592.gif"/> </alternatives> </inline-formula>, for the given input matrix <inline-formula> <tex-math notation="LaTeX"> $\mathbf {A} $</tex-math> <alternatives> <inline-graphic xlink: href="kannan-ieq3-2767592.gif"/> </alternatives> </inline-formula>, such that <inline-formula> <tex-math notation="LaTeX"> $\mathbf {A} \approx \mathbf {W} \mathbf {H} $</tex-math> <alternatives> <inline-graphic xlink: href="kannan-ieq4-2767592.gif"/> </alternatives> </inline-formula>.	0.007793213240802288	Low	Semantic Scholar
The framework is flexible and able to leverage a variety of NMF and NLS algorithms, including Multiplicative Update, Hierarchical Alternating Least Squares, and Block Principal Pivoting.	0.011936250142753124	Low	Semantic Scholar
We demonstrate the scalability of our algorithm and compare it with baseline implementations, showing significant performance improvements.	0.010174679569900036	Low	Semantic Scholar
The code and the datasets used for conducting the experiments are available online.	0.005545810330659151	Low	Semantic Scholar
For small plong, the load of communication traffic is much concentrated on a few LR interneurons.	0.013723810203373432	Low	Semantic Scholar
Sparsely synchronized rhythms are thus found to emerge when passing a small critical value plong (c) (≃0.16).	0.011763837188482285	Low	Semantic Scholar
These dynamical behaviors in the inhomogeneous SWN are also compared with those in the homogeneous Watts-Strogatz SWN, in connection with their network topologies.	0.019960744306445122	Low	Semantic Scholar
We consider two cases of external time-periodic stimuli applied to sub-populations of the LR and SR interneurons, respectively.	0.015698755159974098	Low	Semantic Scholar
MODEL We used a two level mesoscale model.	0.0007024906808510423	Low	Semantic Scholar
The model was stable with respect to variations in the structure of couplings and to scaling.	0.012334862723946571	Low	Semantic Scholar
The analyzes of the interactions between model structures from their time series using Granger causality method showed that the model reproduced the preictal coupling increase detected previously from experimental data.	0.016855735331773758	Low	Semantic Scholar
CONCLUSION SWDs can be generated by changes in network organization.	0.016649363562464714	Low	Semantic Scholar
The system is represented using a simplified centroidal dynamics model that is influenced by the feet's location and forces.	0.005895113572478294	Low	Semantic Scholar
We explicitly enforce friction cone constraints, depending on the shape of the terrain.	0.003988226410001516	Low	Semantic Scholar
We validate the feasibility of the generated plans in simulation and on the real quadruped robot ANYmal.	0.0212930366396904	Low	Semantic Scholar
Additionally, the entire solver software TOWR, which used to generate these motions is made freely available.	0.003792740171775222	Low	Semantic Scholar
We conclude the paper by giving a set of examples illustrating how the proposed analysis tools can be applied to robot control BTs.	0.015264181420207024	Low	Semantic Scholar
A multitude of contemporary applications heavily involve graph data whose size appears to be ever–increasing.	0.018612558022141457	Low	Semantic Scholar
By and large, such contemporary graph processing systems employ ineffective in-memory representations of adjacency lists.	0.008538511581718922	Low	Semantic Scholar
Therefore, memory usage patterns emerge as a primary concern in distributed graph processing.	0.008850248530507088	Low	Semantic Scholar
In this paper, we propose 1) three compressed adjacency list representations that can be applied to any distributed graph processing system , 2) a variable-byte encoded representation of out-edge weights for space-efficient support of weighted graphs, and 3) a tree-based compact out-edge representation that allows for efficient mutations on the graph elements.	0.008850838989019394	Low	Semantic Scholar
Our suggested compact representations do reduce respective memory requirements for accommodating the graph elements up–to 5 times if compared with state-of-the-art methods.	0.00858160201460123	Low	Semantic Scholar
At the same time, our memory-optimized methods retain the efficiency of uncompressed structures and enable the execution of algorithms for large scale graphs in settings where contemporary alternative structures fail due to memory errors.	0.005504004191607237	Low	Semantic Scholar
Several typical choices for the training criterion (e.g., squared loss, cross entropy, etc . )	0.004358320496976376	Low	Semantic Scholar
and regularization (e.g., ℓ2 norm, sparsity inducing penalties, etc . )	0.0012593414867296815	Low	Semantic Scholar
are included in the framework and explored along the paper.	0.010149670764803886	Low	Semantic Scholar
A comprehensive set of experimental results validate the proposed approach.	0.009103970602154732	Low	Semantic Scholar
Mobile robots (MRs) using wireless communications often experience small-scale fading so that the wireless channel gain can be low.	0.020142652094364166	Low	Semantic Scholar
Techniques using this principle are called mobility diversity algorithms (MDAs).	0.003064197488129139	Low	Semantic Scholar
Until now, the location of these points has been predetermined.	0.003366676392033696	Low	Semantic Scholar
Low-Rank Representation (LRR) is arguably one of the most powerful paradigms for Multi-view spectral clustering, which elegantly encodes the multi-view local graph/manifold structures into an intrinsic low-rank self-expressive data similarity embedded in high-dimensional space, to yield a better graph partition than their single-view counterparts.	0.017291512340307236	Low	Semantic Scholar
Among the different application fields, robotic teleoperation represents the ideal scenario that can largely benefit from wearability to reduce constraints to the human workspace (acting as a master) and enable an intuitive and simplified information exchange within the teleoperator system.	0.013930064626038074	Low	Semantic Scholar
Here we study a pair of linear-nonlinear-Poisson neurons coupled by a weak synapse.	0.0046141971834003925	Low	Semantic Scholar
This expression allows mutual information calculations that would otherwise be computationally intractable.	0.005246408749371767	Low	Semantic Scholar
We use this expression to analytically explore the interaction of excitation, information transmission, and the convexity of the activation function.	0.02222527749836445	Low	Semantic Scholar
We consider the Watts-Strogatz small-world network (SWN) consisting of subthreshold neurons which exhibit noise-induced spikings.	0.006610484328120947	Low	Semantic Scholar
This neuronal network has adaptive dynamic synaptic strengths governed by the spike-timing-dependent plasticity (STDP).	0.015156017616391182	Low	Semantic Scholar
Here, we investigate the effect of additive STDP on the SSS by varying the noise intensity.	0.011302878148853779	Low	Semantic Scholar
Occurrence of a``Matthew"effect in synaptic plasticity is found due to a positive feedback process.	0.0112167252227664	Low	Semantic Scholar
Our method projects depth maps onto three orthogonal planes to generate the depth projection maps.	0.003035082248970866	Low	Semantic Scholar
A support vector machine with a linear kernel is used as a shape classifier.	0.0011894024210050702	Low	Semantic Scholar
For the challenging HUST-ASL dataset, in particular, the proposed method improves on the previous state-of-the-art methods from 40.1% to 64.6 %.	0.014881610870361328	Low	Semantic Scholar
We discuss how this applies to the three execution cases mentioned above.	0.007731846068054438	Low	Semantic Scholar
We validate our approach on common daily tasks.	0.004724159371107817	Low	Semantic Scholar
This letter evaluates the control capabilities in a lightweight manipulator built with smart servo actuators and a spring-lever transmission mechanism that provides joint compliance and deflection measurement.	0.016698291525244713	Low	Semantic Scholar
The dynamic model of a compliant joint is validated through frequency identification, demonstrating how virtual variable impedance can be achieved without a second motor.	0.010347588919103146	Low	Semantic Scholar
Experimental results validate the developed concepts.	0.006061525549739599	Low	Semantic Scholar
Exploration and surveillance are examples of these applications.	0.008327843621373177	Low	Semantic Scholar
We then design and analyze feedback control laws for the S3Q and S2Q systems as a combination of high-level Lyapunov control design and low-level constrained optimization and show that the (fully actuated) S3Q system can assume any trajectory in SE (3), whereas the S2Q system in $\Re^3\, \times $S $^2 $with its unactuated dynamics is still internally stable.	0.007308179512619972	Low	Semantic Scholar
Experiments are also performed to show the efficacy of the theory.	0.015187529847025871	Low	Semantic Scholar
This paper presents a method to achieve human and legged robot dynamic synchronization through bilateral feedback teleoperation.	0.004129051696509123	Low	Semantic Scholar
We propose a hypergraph-based framework for modeling and detecting malevolent activities.	0.0015082820318639278	Low	Semantic Scholar
Object manipulation and fluid, goal-directed, movements require sensory information for effective execution.	0.0073184785433113575	Low	Semantic Scholar
Here, we describe an application for providing touch and kinesthetic information to amputees.	0.008287936449050903	Low	Semantic Scholar
We analyzed two soft materials and different chamber geometries to generate a prototype.	0.0005149652133695781	Low	Semantic Scholar
High-speed, low-latency obstacle avoidance that is insensitive to sensor noise is essential for enabling multiple decentralized robots to function reliably in cluttered and dynamic environments.	0.005752714350819588	Low	Semantic Scholar
While other distributed multiagent collision avoidance systems exist, these systems require online geometric optimization where tedious parameter tuning and perfect sensing are necessary.	0.0034334815572947264	Low	Semantic Scholar
We present a novel end-to-end framework to generate reactive collision avoidance policy for efficient distributed multiagent navigation.	0.0026328794192522764	Low	Semantic Scholar
Videos are available at https: //sites.google.com/view/deepmaca.	0.0023600177373737097	Low	Semantic Scholar
The reported research demonstrates that the artificial swarm's task performance can be increased through the careful selection of a communication model.	0.020871315151453018	Low	Semantic Scholar
This paper addresses a tightly integrated multi-robot planning, localization and navigation system in stochastic scenarios.	0.013577441684901714	Low	Semantic Scholar
The formation adapts its configuration to the shape of the free room.	0.002227142220363021	Low	Semantic Scholar
Model-based classification of sequence data using a set of hidden Markov models is a well-known technique.	0.006981452461332083	Low	Semantic Scholar
Inspired by recent theoretical advances in spectral learning of hidden Markov models, we propose a score function based on third-order moments.	0.00678814435377717	Low	Semantic Scholar
The proposed method provides lower computational complexity at classification time than the usual likelihood-based methods.	0.0118605000898242	Low	Semantic Scholar
Specifically, pain signals are used to adapt the equilibrium position, stiffness, and feedforward torque of a pain-based impedance controller.	0.007319565862417221	Low	Semantic Scholar
The schemes are experimentally validated with the KUKA LWR4+ for simulated and real physical collisions using the BioTac sensor.	0.017041010782122612	Low	Semantic Scholar
Nonprehensile dynamic manipulation can be reasonably considered as the most complex manipulation task.	0.006337795406579971	Low	Semantic Scholar
Body flexibility plays an important role in the bounding gait of quadruped animals.	0.008567261509597301	Low	Semantic Scholar
Because of the complex nature of the model dynamics, the mechanisms underlying these results are unclear.	0.008782142773270607	Low	Semantic Scholar
Approximate periodic solutions were derived by linearization of the governing equations and provide an explanation for our conflicting results.	0.015195326879620552	Low	Semantic Scholar
An early accurate prediction increases the usability and the comfort of a prosthetic device.	0.002737024100497365	Low	Semantic Scholar
before the final grasp/hand pre-shape takes place.	0.01576600782573223	Low	Semantic Scholar
Superficial electrodes and a Cyberglove were used to record the arm muscle activity and the finger joints during reach-to-grasp motions.	0.011390228755772114	Low	Semantic Scholar
© 2017 Elsevier B.V. All rights reserved.	0.0025259710382670164	Low	Semantic Scholar
In this paper, we propose a novel supervised topic model, Hierarchical Dirichlet Process-based Inverse Regression (HDP-IR).	0.010705406777560711	Low	Semantic Scholar
Moreover, we develop an efficient inference algorithm capable of examining large-scale corpora (millions of documents or more).	0.006517387460917234	Low	Semantic Scholar
Three experiments were conducted to evaluate the predictive performance over major e-commerce benchmark testbeds of online reviews.	0.00422210618853569	Low	Semantic Scholar
Overall, HDP-IR outperformed existing state-of-the-art supervised topic models.	0.0035694523248821497	Low	Semantic Scholar
Modern autonomous mobile robots require a strong understanding of their surroundings in order to safely operate in cluttered and dynamic environments.	0.016156131401658058	Low	Semantic Scholar
Monocular depth estimation offers a geometry-independent paradigm to detect free, navigable space with minimum space, and power consumption.	0.01239551231265068	Low	Semantic Scholar
These represent highly desirable features, especially for microaerial vehicles.	0.010467011481523514	Low	Semantic Scholar
In order to guarantee robust operation in real-world scenarios, the estimator is required to generalize well in diverse environments.	0.02075248584151268	Low	Semantic Scholar
We show how this approach is able to generalize well across different scenarios.	0.013070674613118172	Low	Semantic Scholar
Most of graph construction techniques assume a transductive setting in which the whole data collection is available at construction time.	0.006116549018770456	Low	Semantic Scholar
For inductive settings, constructing the graph from scratch can be very time consuming.	0.0012067804345861077	Low	Semantic Scholar
This paper introduces a generic framework that is able to make any graph construction method incremental.	0.006075949873775244	Low	Semantic Scholar
This framework yields an efficient and dynamic graph construction method that adds new samples (labeled or unlabeled) to a previously constructed graph.	0.0030208718962967396	Low	Semantic Scholar
As a case study, we use the recently proposed Two Phase Weighted Regularized Least Square (TPWRLS) graph construction method.	0.011807255446910858	Low	Semantic Scholar
The paper has two main contributions.	0.006850171834230423	Low	Semantic Scholar
First, we use the TPWRLS coding scheme to represent new sample (s) with respect to an existing database.	0.015348346903920174	Low	Semantic Scholar
The representative coefficients are then used to update the graph affinity matrix.	0.0013730968348681927	Low	Semantic Scholar
Based on the model, we developed the system dynamics model and a control law.	0.0025800818111747503	Low	Semantic Scholar
This results in retrieval inefficiency and limitations on the performance of CBR classifiers.	0.005886596627533436	Low	Semantic Scholar
This paper proposes a hierarchical case-based classifier, HCBC, which introduces a concept lattice to hierarchically organize cases.	0.013172637671232224	Low	Semantic Scholar
By exploiting structural case relations in the concept lattice, a novel dynamic weighting model is proposed to enhance the concept similarity measure.	0.007935846224427223	Low	Semantic Scholar
In addition, PRR effectively reduces the search space and greatly improves the retrieval efficiency of HCBC.	0.0065946802496910095	Low	Semantic Scholar
Markov localization and its variants are widely used for mobile robot localization.	0.007907471619546413	Low	Semantic Scholar
The maximum likelihood estimate of the belief is incrementally computed by non-linear functional optimization.	0.005452488083392382	Low	Semantic Scholar
© 2016 Elsevier B.V. All rights reserved.	0.0037611841689795256	Low	Semantic Scholar
An analysis of the observability properties of the problem is presented.	0.00899458397179842	Low	Semantic Scholar
GPS enables mobile devices to continuously provide new opportunities to improve our daily lives.	0.009890374727547169	Low	Semantic Scholar
In this paper, we study a new kind of query— <italic> Reverse <inline-formula> <tex-math notation="LaTeX"> $k $</tex-math> <alternatives> <inline-graphic xlink: href="wang-ieq2-2776268.gif"/> </alternatives> </inline-formula> Nearest Neighbor Search over Trajectories </italic> (< inline-formula> <tex-math notation="LaTeX"> $\mathbf {R} {k} \mathbf {NNT} $</tex-math> <alternatives> <inline-graphic xlink: href="wang-ieq3-2776268.gif"/> </alternatives> </inline-formula> ), which can be used for route planning and capacity estimation.	0.0032495895866304636	Low	Semantic Scholar
Given a set of existing routes <inline-formula> <tex-math notation="LaTeX"> $\mathcal {D} _ {\mathcal {R} } $</tex-math> <alternatives> <inline-graphic xlink: href="wang-ieq4-2776268.gif"/> </alternatives> </inline-formula>, a set of passenger transitions <inline-formula> <tex-math notation="LaTeX"> $\mathcal {D} _ {\mathcal {T} } $</tex-math> <alternatives> <inline-graphic xlink: href="wang-ieq5-2776268.gif"/> </alternatives> </inline-formula>, and a query route <inline-formula> <tex-math notation="LaTeX"> $Q $</tex-math> <alternatives> <inline-graphic xlink: href="wang-ieq6-2776268.gif"/> </alternatives> </inline-formula>, an <inline-formula> <tex-math notation="LaTeX"> $\mathbf {R} {k} \mathbf {NNT} $</tex-math> <alternatives> <inline-graphic xlink: href="wang-ieq7-2776268.gif"/> </alternatives> </inline-formula> query returns all transitions that take <inline-formula> <tex-math notation="LaTeX"> $Q $</tex-math> <alternatives> <inline-graphic xlink: href="wang-ieq8-2776268.gif"/> </alternatives> </inline-formula> as one of its <inline-formula> <tex-math notation="LaTeX"> $k $</tex-math> <alternatives> <inline-graphic xlink: href="wang-ieq9-2776268.gif"/> </alternatives> </inline-formula> nearest travel routes.	0.008509436622262001	Low	Semantic Scholar
Then we introduce a filter refinement framework for processing <inline-formula> <tex-math notation="LaTeX"> $\mathbf {R} {k} \mathbf {NNT} $</tex-math> <alternatives> <inline-graphic xlink: href="wang-ieq11-2776268.gif"/> </alternatives> </inline-formula> queries using the proposed indexes.	0.0036093981470912695	Low	Semantic Scholar
Experiments on real datasets demonstrate the efficiency and scalability of our approaches.	0.0015579907922074199	Low	Semantic Scholar
To the best of our knowledge, this is the first work to study the <inline-formula> <tex-math notation="LaTeX"> $\mathbf {R} {k} \mathbf {NNT} $</tex-math> <alternatives> <inline-graphic xlink: href="wang-ieq15-2776268.gif"/> </alternatives> </inline-formula> problem for route planning.	0.020805848762392998	Low	Semantic Scholar
We present algorithms to build robust graphs.	0.00024444106384180486	Low	Semantic Scholar
We illustrate these algorithms by constructing resilient robot formations in the plane.	0.001017834059894085	Low	Semantic Scholar
Closed kinematic chains are created whenever multiple robot arms concurrently manipulate a single object.	0.012419152073562145	Low	Semantic Scholar
The closed-chain constraint, when coupled with robot joint limits, dramatically changes the connectivity of the configuration space.	0.012715504504740238	Low	Semantic Scholar
We propose a regrasping move, termed “ IK-switch, ” which allows efficiently bridging components of the configuration space that are otherwise mutually disconnected.	0.008231140673160553	Low	Semantic Scholar
The paper investigates the variable structure control for stabilization of Boolean networks (BNs).	0.001571154105477035	Low	Semantic Scholar
We first provide a method to choose states from the reaching mode.	0.001725801732391119	Low	Semantic Scholar
Some examples are provided to illustrate the theoretical results.	0.01195891760289669	Low	Semantic Scholar
In this study, we present an efficient mathematical representation of soft robotic fingers based on screw theory.	0.017504243180155754	Low	Semantic Scholar
Joints with different stiffness values can be obtained by regulating three-dimensional-printing parameters and material properties in the manufacturing process.	0.007486197631806135	Low	Semantic Scholar
Gripper modules can be easily assembled and disassembled, maintaining the same base, to adapt them to different tasks.	0.004610690288245678	Low	Semantic Scholar
The system parameters experience switches among finite modes according to a Markov chain.	0.001973561942577362	Low	Semantic Scholar
As an equal allocation scheme, the RR communication protocol is introduced for efficient usage of limited bandwidth and energy saving.	0.011244231835007668	Low	Semantic Scholar
Furthermore, the estimator gain matrices are characterized in terms of the solution to a convex optimization problem.	0.0014125616289675236	Low	Semantic Scholar
Certain theoretical frameworks have successfully explained motor learning in either unimanual or bimanual movements.	0.002440002281218767	Low	Semantic Scholar
Using this balanced condition, we can reproduce the results of prior behavioral and neurophysiological experiments.	0.004485503304749727	Low	Semantic Scholar
This may be feasible by a conventional pulsewidth modulation (PWM) controller; however, it causes high-frequency switching in each motor unit and may damage a compliant actuation system.	0.017840690910816193	Low	Semantic Scholar
The proposed controller generates reduced switching by optimizing a series of discrete switching commands at each primitive in an open-loop manner.	0.007220789790153503	Low	Semantic Scholar
After images are obtained, the discrete switching controller suppresses residual vibrations to reduce switching further.	0.0057329582050442696	Low	Semantic Scholar
The conditions of such type of robotic tasks may significantly vary in dynamic environments, which demand robots to be endowed with adaptation capabilities.	0.01071249507367611	Low	Semantic Scholar
The proposed framework evaluates two different stiffness representations: Cholesky decomposition and a Riemannian manifold approach.	0.002398610347881913	Low	Semantic Scholar
We validate the proposed framework in simulation using 2D and 7D systems and a couple of real scenarios.	0.009404958225786686	Low	Semantic Scholar
Rather than adapting the video to the peculiarities of established recurrent or convolutional architectures, we adapt the architecture to fit the requirements of the video medium.	0.019259503111243248	Low	Semantic Scholar
Starting from the soft-Attention LSTM, VideoLSTM makes three novel contributions.	0.00721330102533102	Low	Semantic Scholar
First, video has a spatial layout.	0.0095607228577137	Low	Semantic Scholar
To exploit the spatial correlation we hardwire convolutions in the soft-Attention LSTM architecture.	0.004951851908117533	Low	Semantic Scholar
We introduce motion-based attention.	0.02054566703736782	Low	Semantic Scholar
Based on this idea, we develop quantitative measurements for user vitality and propose our first algorithm for ranking users based vitality.	0.006544455885887146	Low	Semantic Scholar
Along this line, we develop a customized prediction model to solve the vitality prediction problem.	0.001386284944601357	Low	Semantic Scholar
To evaluate the performance of our algorithms, we collect two dynamic social network data sets.	0.0022008742671459913	Low	Semantic Scholar
These studies, however, used relatively shallow architectures, and only one layer was trainable.	0.004299153108149767	Low	Semantic Scholar
We thus designed a deep SNN, comprising several convolutional (trainable with STDP) and pooling layers.	0.009207360446453094	Low	Semantic Scholar
We used a temporal coding scheme where the most strongly activated neurons fire first, and less activated neurons fire later or not at all.	0.012327534146606922	Low	Semantic Scholar
The network was exposed to natural images.	0.0023719165474176407	Low	Semantic Scholar
Taken together, our results suggest that the combination of STDP with latency coding may be a key to understanding the way that the primate visual system learns, its remarkable processing speed and its low energy consumption.	0.019868215546011925	Low	Semantic Scholar
These mechanisms are also interesting for artificial vision systems, particularly for hardware solutions.	0.004028630442917347	Low	Semantic Scholar
We experimentally tested our approach on a setup including the humanoid robot ARMAR-III and a Kinect v2 camera.	0.01469334401190281	Low	Semantic Scholar
We first give some properties regarding switch points and accelerating/decelerating curves of the <italic> NI </italic> method.	0.007665795274078846	Low	Semantic Scholar
Accordingly, a failure detection algorithm is given in a “ run-and-test ” manner.	0.004008389078080654	Low	Semantic Scholar
First, we derive the notion of passive configuration decomposition, which enables us to configuration-level decompose the system's Lagrange–D ’ Alembert dynamics into two systems, each evolving on their respective configuration spaces and also individually inheriting Lagrangian structure and passivity from the original dynamics.	0.006399756763130426	Low	Semantic Scholar
Finally, examples are provided along with their simulation and experimental results to illustrate the theory.	0.01703277789056301	Low	Semantic Scholar
The trip computers for the two reactor shutdown systems of the Ontario Power Generation (OPG) Darlington Nuclear Power Generating Station are being refurbished due to hardware obsolescence.	0.012465099804103374	Low	Semantic Scholar
For one of the systems, the general purpose computer originally used is being replaced by a programmable logic controller (PLC).	0.0066528283059597015	Low	Semantic Scholar
The PVS theorem proving tool is used in formal verification.	0.0020696220453828573	Low	Semantic Scholar
Custom tools developed for OPG are used to translate TEs and FBDs into PVS code.	0.0008131721406243742	Low	Semantic Scholar
We use an example from the replacement project to demonstrate the use of the model to translate a FBD module into a PVS specification.	0.007514595054090023	Low	Semantic Scholar
We then extend that example to demonstrate the method ’ s applicability to a Simulink-based design.	0.0011531140189617872	Low	Semantic Scholar
The first one is how to implement the back propagation when neuronal activations are discrete.	0.006974725052714348	Low	Semantic Scholar
The second one is how to remove the full-precision hidden weights in the training phase to break the bottlenecks of memory/computation consumption.	0.017732884734869003	Low	Semantic Scholar
This promises the event-driven hardware design for efficient mobile intelligence.	0.002063512336462736	Low	Semantic Scholar
We achieve advanced performance compared with state-of-the-art algorithms.	0.0019598223734647036	Low	Semantic Scholar
Furthermore, the computational sparsity and the number of states in the discrete space can be flexibly modified to make it suitable for various hardware platforms.	0.014693661592900753	Low	Semantic Scholar
Most of the results require a step-indexed self-interpreter.	0.018382789567112923	Low	Semantic Scholar
The verification techniques we use for procedures will apply to call-by-value functional programming languages formalised in Coq in general.	0.02008163370192051	Low	Semantic Scholar
Given this sequence, we seek to find the top- <inline-formula> <tex-math notation="LaTeX"> $k $</tex-math> <alternatives> <inline-graphic xlink: href="semertzidis-ieq2-2823754.gif"/> </alternatives> </inline-formula> <italic> most durable matches </italic> of an input graph pattern query, that is, the matches that exist for the longest period of time.	0.009726096875965595	Low	Semantic Scholar
The straightforward way to address this problem is to apply a state-of-the-art graph pattern matching algorithm at each snapshot and then aggregate the results.	0.005866383668035269	Low	Semantic Scholar
Finally, we present experiments with real datasets that illustrate the efficiency and effectiveness of our approach.	0.013335094787180424	Low	Semantic Scholar
This paper proposes a modeling method for generic compliant robotic manipulators.	0.0018900440772995353	Low	Semantic Scholar
This modularity enables a simple and straight-forward adaption the model when a manipulator's actuator morphology is changed.	0.0023157219402492046	Low	Semantic Scholar
Furthermore, the proposed method can be extended to multi-scale for more faithful texture preservation, and off-line subspace learning for efficient implementation.	0.01832461915910244	Low	Semantic Scholar
Given a query synopsis pattern, SUMMER continuously identifies all the matching subsequences for a stream as the bins are generated.	0.011471954174339771	Low	Semantic Scholar
To effectively reduce the computation time, we design a Weighted Dynamic Time Warping (WDTW) algorithm, which computes the warping distance directly between two histogram-based synopses.	0.005587341263890266	Low	Semantic Scholar
Furthermore, a Stack-based Overlapping Filter Algorithm (SOFA) is provided to remove the overlapping subsequences to avoid the redundant information.	0.0038569974713027477	Low	Semantic Scholar
Finally, we design an optional refinement module to relax the subsequence range limit and improve the matching accuracy.	0.0038634296506643295	Low	Semantic Scholar
The intra-frame constraints are derived from a set of training samples and are embedded in both graph construction and its cost function.	0.009995892643928528	Low	Semantic Scholar
The inter-frame constraints are imposed by tracking the borders of interest across multiple frames.	0.007047249004244804	Low	Semantic Scholar
The coronary images are transformed from Cartesian coordinates to polar coordinates.	0.003038950264453888	Low	Semantic Scholar
Graph partition can then be formulated as searching an optimal interface in the node-weighted directed graph without user initialization.	0.003311065724119544	Low	Semantic Scholar
Moreover, we carry out supervised column-wise tissue classification in order to automatically optimize the feature selection.	0.0016156698111444712	Low	Semantic Scholar
The proposed approach is applied to IVUS and OCT images.	0.003279393073171377	Low	Semantic Scholar
Both qualitative and quantitative results show superior performance of the proposed method compared to a number of alternative segmentation techniques.	0.011305313557386398	Low	Semantic Scholar
