text	convention	data_provenance	confidence_value	confidence_level
it is low carbon resource efficient and socially inclusive unep .	green	pdf	0	Not_from_Model
this definition has been cited in a number of more recent reports including by the unemg and the oecd.	green	pdf	0	Not_from_Model
another definition for green economy offered by the green economy coalition a group of ngos trade union groups and others doing grassroots work on a green economy succinctly defines green economy as a resilient economy that provides a better quality of life for all within the ecological limits of the planet.	green	pdf	0	Not_from_Model
publications following is a summary of recent green economy publications available online.	green	pdf	0	Not_from_Model
towards a green economy pathways to sustainable development and poverty eradication unep this publication aims to set the stage for the transition to a green economy.	green	pdf	0	Not_from_Model
the report provides evidence that the transition has sound economic and social justification and offers governments and the private sector means to contribute to the shift.	green	pdf	0	Not_from_Model
opportunities for government include phasing out antiquated subsidies reforming policiescture and and providing new incentives strengthening market infrastruening market based mechanisms redirecting public investment and grepublic procurement.	green	pdf	0	Not_from_Model
options for the private sector may include understanding the opportunity arising from a green economic transitionand responding to policy reforms and price signals through higher levels of finance and investment.	green	pdf	0	Not_from_Model
 the report identifies the main failings of our current economic paradigm and highlights the causes and what can be done to reverse negative trends.	green	pdf	0	Not_from_Model
a substantial section is devoted to defining what a green economy might look like the relationship between the term green economy and the terms sustainable development and poverty eradication  and how far we currently are from a true green economy.	green	pdf	0	Not_from_Model
in relation to the latter the report provides options for measuring progress towards a green economy and begins to explore how a green economy might perform over time.	green	pdf	0	Not_from_Model
the green economy is defined by unep as one that results in improved human well being and social equity while significantly reducing environmental risks and ecological scarcities.	green	pdf	0	Not_from_Model
download here for example see the green economy coalition http www.greeneconomycoalition.org united nations. a guide to the green economy citation united nations environment programme. towards a green economy pathways to sustainable development and poverty eradication.	green	pdf	0	Not_from_Model
the overall goal of the report was to assess how the un system could coherently support countries in transitioning to a green economysecond aim of the report was to contribute to the preparatory process for the rio united nations conference on sustainable development. pective define.	green	pdf	0	Not_from_Model
a as the report is a synthesis of un agency positions the green economy is defined in the same way as in the unep s towards a green economy report.	green	pdf	0	Not_from_Model
the report also includes sections on investment in physical infrastructure and target sectors investment in human capital and societal infrastructure restating that a green economy must contribute to the millennium development goals mdgs enabling the transition towards a green economy with the following sub sections on mainstreaming environmental and social integration public and private financing full cost pricing sustainable trade assessment and indicators.	green	pdf	0	Not_from_Model
innovation and technology transfer and the way forward for the united nations system.	green	pdf	0	Not_from_Model
particular emphasis is placed on the rio conference and its potential to send a powerful signal to governments business and civil society around the world of the determination of the united nations to deliver as one on a green economy transformation for sustainable development and poverty eradication.	green	pdf	0	Not_from_Model
working towards a balanced and inclusive green economy.	green	pdf	0	Not_from_Model
 united nations. a guide to the green economy green economy briefing papers unep under its green economy initiative unep prepared a series of nine green economy briefing papers on priority issues for the transformation towards a green economy poverty reduction advisory services health indicators trade finance employment valuing nature and innovation.	green	pdf	0	Not_from_Model
each brief provides an overview of the issue the way forward and outlines what unep is doing to address the issue.	green	pdf	0	Not_from_Model
green economy policy briefs key issues for the transformation towards the green economy unep.	green	pdf	0	Not_from_Model
ned in the transition to a green economy given their the report highlights that ldcs are well positiolow carbon profile and rich natural capital assets.	green	pdf	0	Not_from_Model
key sectors for greening economies include energy access waste ecotourism agriculture sustainable urbanisation and forestry.	green	pdf	0	Not_from_Model
through targeted spending appropriate national policies and incentives government help encourage grinvestment both public and private.	green	pdf	0	Not_from_Model
international cooperation will also be essential to complement national actions of ldcs in particular access to financing.	green	pdf	0	Not_from_Model
citation unep unctad un ohrlls.	green	pdf	0	Not_from_Model
what a green economy matters for least developed countries unep.	green	pdf	0	Not_from_Model
 united nations. a guide to the green economy measuring progress towards a green economy unep this draft working paper prepared by unep introduces a framework for the use of indicators in developing and tracking green economy policies.	green	pdf	0	Not_from_Model
the objective is to provide brief guidance on the use of indicators in major stages of policymaking using environmental issues as an illustrative entry point.	green	pdf	0	Not_from_Model
section introduces the indicators for environmental issues and targets.	green	pdf	0	Not_from_Model
section discusses indicators for environmental policy interventions.	green	pdf	0	Not_from_Model
section focuses on indicators that show the impacts of policy interventions on well being and social equity beyond the environmental realm.	green	pdf	0	Not_from_Model
examples of policies and the indicators that can be utilized to evaluate them are presented in section. data needs and capacity building issues are highlighted in section  and the final section points to the next steps that could facilitate the use of this framework.	green	pdf	0	Not_from_Model
green jobs towards decent work in a sustainable low carbon world unep ilo this report assembles evidence for existing green jobs and presents estimates for future green employment in the key economic sectors of renewable energy buildings and construction transportation basic industry agriculture and forestry.	green	pdf	0	Not_from_Model
the report indicates that a global transition to a low carbon and sustainable economy can create large numbers of green jobs across these sectors and become an engine for development.	green	pdf	0	Not_from_Model
current green job creation is occurring in both developed and developing countries.	green	pdf	0	Not_from_Model
the report defines green jobs as work in agricultural manufacturing research and development administrative and service activities that contribute substantially to preserving or restoring environmental quality.	green	pdf	0	Not_from_Model
specifically but not exclusively this includes jobs that help to protect ecosystems and biodiversity reduce energy materials and water consumption through high efficiency strategies de carbonize the economy and minimize or altogether avoid generation of all forms of waste and pollution.	green	pdf	0	Not_from_Model
however the report also acknowledges that there will be winners and losers and public policy should seek to minimize disparities.	green	pdf	0	Not_from_Model
forward thinking government policies will be indispensible including subsidies carbon markets tax reform regulatory tools and targets feed in tariffs eco labeling r d investment and international aid.	green	pdf	0	Not_from_Model
green jobs towards decent work in a sustainable low carbon world unep.	green	pdf	0	Not_from_Model
 united nations. a guide to the green economy green economy in a blue world synthesis report unep fao imo undp undesa iucn worldfish center grid arendal this report analyses how key sectors that are interlinked with the marine and coastal environment the blue world can make the transition towards a green economy.	green	pdf	0	Not_from_Model
it covers the impacts and opportunities linked with shipping and fisheries to tourism marine based renewable energies and agriculture.	green	pdf	0	Not_from_Model
the report concludes that a shift to sustainability in terms of improved human well being and social equity can lead to healthier and more economically productive oceans that can simultaneously benefit coastal communities and ocean linked industries.	green	pdf	0	Not_from_Model
green economy in a blue world synthesis report unep.	green	pdf	0	Not_from_Model
forests in a green economy a synthesis unep drawing on unep s green economy report this unep brief provides an evidence based roadmap for policy makers the private sector forest sector and forest dwellers alike.	green	pdf	0	Not_from_Model
the paper includes an overview of the role of forests in the green economy policy recommendations for forests in a green economy and a number of success stories.	green	pdf	0	Not_from_Model
the paper concludes that to fully realize the benefits of forests in a green economy governments and the international community will need to take an active role including through policy reforms to create incentives to maintain and invest in forests and introduce disincentives to modify market signals and associated rent seeking behavior.	green	pdf	0	Not_from_Model
examples of policies include national regulations smart subsidies and incentives information management supportive international markets legal infrastructure and conducive trade and aid protocols.	green	pdf	0	Not_from_Model
green economy and trade opportunities unep this study seeks to identify and assess the international trade opportunities associated with the transition to a green economy and in particular how developing countries can increase exports to respond to international demand for environmentally friendly goods and services.	green	pdf	0	Not_from_Model
 united nations. a guide to the green economy the study focuses on six key economic sectors considered to have a high potential to generate trade opportunities while contributing to the transition to a green economy agriculture fisheries forests manufacturing renewable energy and tourism.	green	pdf	0	Not_from_Model
the study highlights that significant untapped trade opportunities exist and are expected to continue to expand in the future.	green	pdf	0	Not_from_Model
in particular export markets for green and sustainable food products services energy and tourism are expected to grow rapidly due to changing consumer preferences as the world becomes more environmentally aware.	green	pdf	0	Not_from_Model
it is crucial to identify these trade opportunities together with the policy reforms that can promote and strengthen developing countries capacity to benefit from them.	green	pdf	0	Not_from_Model
adapting for a green economy companies communities and climate change wri oxfam unep this report is very much focused on private sector led initiatives to responding to climate change.	green	pdf	0	Not_from_Model
the report is based upon the results of a survey of business leaders committed to advancing climate action especially in ways that build the resilience of vulnerable communities in developing countries.	green	pdf	0	Not_from_Model
it offers help to companies with national regional or global reach to develop strategies for dealing with the immediate to long term consequences of climate change in developing countries where they have operations supply chains employees or customers.	green	pdf	0	Not_from_Model
a central message of the report is that community and social risk of climate change challenges are also business risks businesses fail in failing societies and it is difficult to separate community well being from companies viability and in turn economic growth.	green	pdf	0	Not_from_Model
the report mentions that business response to climate change forms part of the transition to a green economy  defined as one that is low carbon resource efficient and socially inclusive.	green	pdf	0	Not_from_Model
it goes on to say that in a green economy growth in income and employment can be generated by strategic public and private investments that reduce ghg emissions improve resource efficiency and reduce loss of biodiversity.	green	pdf	0	Not_from_Model
businesses can accelerate this transition by aligning their investments with climate change adaption opportunities and in doing so green the economy.	green	pdf	0	Not_from_Model
the report concludes that the private sector is a critical sector in addressing the needs of vulnerable communities and has much to contribute to the development and implementation of climate adaption strategies including sector specific expertise technology financing efficiency and entrepreneurial spirit.	green	pdf	0	Not_from_Model
the key is to find exactly where business incentives align with communities adaptation needs.	green	pdf	0	Not_from_Model
adapting for a green economy companies communities and climate change.	green	pdf	0	Not_from_Model
 united nations. a guide to the green economy the transition to a green economy benefits challenges and risks from a sustainable development perspective this report comprises a series of three perspectives of the green economy from leading experts jose antonio ocampo aaron cosbey and martin khor and an overarching summary by jose antonio ocampo.	green	pdf	0	Not_from_Model
the core elements of the paper are the macroeconomics of the green economy here ocampo introduces the concept of the green economy from the perspective of the unep as one that not only improves human well being and lessens inequality but also reduces environmental risks and ecological scarcities.	green	pdf	0	Not_from_Model
he continues by stating that the majority of literature on sustainability and the green economy exist at a microeconomic dimension externalities taxes emissions trading subsidies and so forth and that there is a dearth of literature on the green macroeconomy.	green	pdf	0	Not_from_Model
he asserts that there are four issues that need to be analysed from a macroeconomic perspective inter generational welfare the effects of environmental spending and protection policies on both aggregate supply and demand structural change of growth and global financing for green economic initiatives.	green	pdf	0	Not_from_Model
trade sustainable development and a green economy this paper by aaron cosbey explores the potential opportunities and risks of trade arising in the transition to the green economy.	green	pdf	0	Not_from_Model
the paper discusses the reasons why a green economy is desirable and how trade policy can ease the transition the relative positions of trading partners pursuing a green economy and the role of the international community in ensuring that trade and investment policy contribute to a widespread pursuit of the green economy.	green	pdf	0	Not_from_Model
challenges of the green economy concept and policies in the context of sustainable development poverty and equity in this paper martin khor explains that the green economy has become a major focal point in discussions around the environmental crisis.	green	pdf	0	Not_from_Model
he documents the problems associated with defining the concept of a green economy as there has not yet been widespread agreement amongst environmentalists or economists on what it should entail.	green	pdf	0	Not_from_Model
he states that it is an extremely complex concept and as such it is unlikely there will be international consensus on its meaning and use in the short term.	green	pdf	0	Not_from_Model
however he does say that a green economy should be environmentally friendly sensitive to the need to conserve natural resources minimize pollution and emissions that damage the environment and produce products and services which do not harm the environment.	green	pdf	0	Not_from_Model
the transition to a green economy benefits  challenges and risks from a sustainable development perspective.	green	pdf	0	Not_from_Model
building an equitable green economy danish group this paper lays out how a green economy must be designed to contribute to rather than distract from sustainable development.	green	pdf	0	Not_from_Model
the authors define the equitable green economy as one that is not a state but a process of transformation and a constant dynamic progression.	green	pdf	0	Not_from_Model
the green economy does away with the systemic distortions and dis functionalities of the current mainstream economy and results in human well being and equitable access to opportunity for all people while safeguarding environmental and economic integrity in order to remain within the planet s finite carrying capacity.	green	pdf	0	Not_from_Model
the economy cannot be green without being equitable.	green	pdf	0	Not_from_Model
the paper proposes five key working principles that aim to help inform policy and market decisions in progressing the green economy and providing the link between an equitable green economy and sustainable development.	green	pdf	0	Not_from_Model
the principles are that the green economy. links to policies specifying clear goals for key cross cutting pre requisites enabling conditions to address systemic distortions and dis functionalities in order to establish the foundation for equitable transformation and achieving sustainable development.	green	pdf	0	Not_from_Model
. establishes clear objectives for the necessary means for action to be mobilised technology capacity finance and defines the approach nature and profile of these means e.g.	green	pdf	0	Not_from_Model
the role of technology within the context of building an equitable green economy.	green	pdf	0	Not_from_Model
. creates the necessary aligned framework of institutions at all levels with clearly defined roles and mandates to enable them to actively advance an equitable green economy.	green	pdf	0	Not_from_Model
. is transparent and engages all involved and affected actors with powerful actors having clearly defined responsibilities and forms of accountability while making sure other stakeholders are empowered to act both as beneficiaries of and contributors to the green economy.	green	pdf	0	Not_from_Model
includes clear timelines for action to achieve objectives introduce new systems for measuring progress and success and integrate the tracking of the well being of people places and the planet.	green	pdf	0	Not_from_Model
the report puts a heavy emphasis on an equitable green economy to the extent to which it per se.	green	pdf	0	Not_from_Model
each working principle appears that they do not believe that a green economy is equitable per se.	green	pdf	0	Not_from_Model
each working principle is described in relation to the framework that needs to be in place.	green	pdf	0	Not_from_Model
each chapter also contains is described in relation to the framework that needs to be in place.	green	pdf	0	Not_from_Model
each chapter also contains references and links to the proposal in the zero draft document for rio. references and links to the proposal in the zero draft document for rio.	green	pdf	0	Not_from_Model
 united nations download here. a guide to the green economy citation the danish group forum for sustainable development.	green	pdf	0	Not_from_Model
building an equitable green economy.	green	pdf	0	Not_from_Model
the road to rio for a development led green economy unctad the road to rio publications by the united nations conference on trade and development provide a series of essay compilations all based around the what  why and how of making the transition to a development led green economy.	green	pdf	0	Not_from_Model
road to rio comprises three issues released in march  november and june. the first issue aims to contextualise the green economy examine the pros and cons from different perspectives identify the critical issues and provide a case study to look at a specific green economy initiative.	green	pdf	0	Not_from_Model
the second issue provides a series of real world references for governments businesses and civil society what is referred to in this volume as pathways to a development led green economy.	green	pdf	0	Not_from_Model
the third issue moves forward the debate focusing primarily on commitments and outcomes and the potential of rio to generate innovative ideas policies and to consolidate sustainable development strategies of governments.	green	pdf	0	Not_from_Model
in the first issue the unctad secretary general supachai panitchpakdi describes the green economy as an economy that results in improved human well being and reduced inequalities while not exposing future generations to significant environmental risks and ecological scarcities.	green	pdf	0	Not_from_Model
he stresses that a green economy is a critical enabling component of the overarching goal of sustainable development.	green	pdf	0	Not_from_Model
moving towards a green economy implies not only the mainstreaming of green niches in specific sectors of an economy but also a change in an economy s overall social construct.	green	pdf	0	Not_from_Model
the road to rio for a development led green economy.	green	pdf	0	Not_from_Model
issue march. unctad.	green	pdf	0	Not_from_Model
the road to rio for a development led green economy.	green	pdf	0	Not_from_Model
issue  november. unctad.	green	pdf	0	Not_from_Model
the road to rio for a development led green economy.	green	pdf	0	Not_from_Model
issue  june. beyond rio governance for a green economy boston university as an intellectual contribution to the rio preparatory process the boston university frederick s. pardee center for the study of the longer range future convened a small task force of experts to discuss the role of institutions in the actualization of a green economy in the context of sustainable development.	green	pdf	0	Not_from_Model
the report includes papers by experts from academia government and civil united nations. a guide to the green economy society on what the world has learned about institutions for sustainable development from the past and what can be proposed about the governance challenges and opportunities for the continuous development of a green economy in the future.	green	pdf	0	Not_from_Model
based on these papers the report synthesizes six recommendations for the rio process think boldly and move incrementally take economic policy seriously recognize what is working and what is not working make implementation the focus the state remains central but non state actors have to be better accommodated and put equity at the center.	green	pdf	0	Not_from_Model
beyond rio governance for a green economy boston university.	green	pdf	0	Not_from_Model
rio policy brief a green economy for a planet under pressure this policy brief by planet under pressure is one of nine policy briefs produced by the scientific community to inform the rio united nations conference on sustainable development.	green	pdf	0	Not_from_Model
the brief suggests that the current concept of the green economy is based on a traditional and trickle down economic growth theory which has rendered it inadequate.	green	pdf	0	Not_from_Model
in this light the document sets out a series of guidelines for the social and technological transformation needed for a new economic system. find common agreement on an agreed set of planetary boundaries that the global society should not cross.	green	pdf	0	Not_from_Model
. establish a common set of rules for the global economic system that emphasises not short term monetary benefits but long term sustainable well being.	green	pdf	0	Not_from_Model
. allow all countries to give their citizens access to the six key instrumental freedoms.	green	pdf	0	Not_from_Model
. establish a set of rules on technology transfer and development which would enable technology to be either developed or adapted locally.	green	pdf	0	Not_from_Model
. measure country progress by establishing a new set of accounts that track well being and not just economic performance.	green	pdf	0	Not_from_Model
rio policy brief a green economy for a planet under pressure pp.	green	pdf	0	Not_from_Model
the green economy trade and sustainable development implications unctad this paper focuses primarily on the opportunities that global trade can bring in the transition to the green economy and how the rio conference can catalyse the transition by generating new investment  united nations. a guide to the green economy income sources and jobs among countries of varied levels of development.	green	pdf	0	Not_from_Model
it elaborates by explaining that trade plays an essential role in the diffusion of green goods services technologies and production among countries and that this enhances economic growth and contributes to environmental and social developmental objectives.	green	pdf	0	Not_from_Model
the report stresses that growth resulting from international trade of green goods and services should be inclusive building the human and productive capacities of developing countries and stimulating economic diversification employment for the poor and increased access to basic services such as energy water housing education communications and transport.	green	pdf	0	Not_from_Model
the paper concludes by presenting key issues and considerations that need to be taken into account in the rio conference deliberations and how unctad can support countries in their transition to a green economy.	green	pdf	0	Not_from_Model
the green economy trade and sustainable development implications.	green	pdf	0	Not_from_Model
challenge paper the green economy stakeholder forum the global transition papers were borne out of a collaborative initiative between two uk based organisations stakeholder forum and nef new economics foundation  and aim to help catalyse a global transition to an economy that maximises well being operates within environmental limits and is capable of coping and adapting to global environmental change.	green	pdf	0	Not_from_Model
this particular paper focuses on the green economy and puts forward challenges that would form the basis for systemic change.	green	pdf	0	Not_from_Model
the paper recognises the systemic problems facing the world and proposes that they can only be rectified with the above systemic changes.	green	pdf	0	Not_from_Model
challenge paper the green economy stakeholder forum pp.	green	pdf	0	Not_from_Model
 united nations. a guide to the green economy a fresh look at the green economy oxfam america this report by oxfam america re examines the green economy in america with a particular focus on green jobs that build resilience to climate change.	green	pdf	0	Not_from_Model
the report reveals that two million people already work in fields that contribute to building resilience to climate change across the usa.	green	pdf	0	Not_from_Model
however it goes on to state that substantial investment will berequired not just in the mitigation of carbon emissions that empclimate change but in adapting to the effects brought about by the changing climate.	green	pdf	0	Not_from_Model
hasise investment in development and deployment of new technologies and strategies can build resilience to the negative consequences of climate change create jobs and save lives at the same time.	green	pdf	0	Not_from_Model
this report focuses more on jobs that relate to adaptation rather than mitigation of climate change effects.	green	pdf	0	Not_from_Model
a fresh look at the green economy.	green	pdf	0	Not_from_Model
from green economies to green societies unesco this report from unesco recognises that there are increasing social disparities and inequity in the world alongside population growth climate change the deterioration and pollution of the environment the unsustainable use of freshwater and depletion of ocean resources as well as increasing cases of natural and human made disasters.	green	pdf	0	Not_from_Model
the report reveals unesco s vision that aims to counter the above challenges by providing a new way forward through the development of an inclusive green society and economy.	green	pdf	0	Not_from_Model
the report identifies five priority areas for unesco in the transition to a green economy.	green	pdf	0	Not_from_Model
these are education the report states that education is one of the best weapons to fight poverty and inequality and can foster the attitudes and behaviours necessary for a new culture of sustainability.	green	pdf	0	Not_from_Model
science unesco identifies that science technology and innovation can and must drive the pursuit of more equitable and sustainable development.	green	pdf	0	Not_from_Model
culture the report recognises that new approaches will only work if they match the context and so culture must be built into development from the start.	green	pdf	0	Not_from_Model
information the green transition will rely on the media to enable governments to create policy for sustainable development and act on it.	green	pdf	0	Not_from_Model
media can raise public awareness of these issues and build solidarity.	green	pdf	0	Not_from_Model
oceans the report identifies that oceans make the world habitable for people and so there must be renewed effort to manage the world s water systems in a new green economy.	green	pdf	0	Not_from_Model
 united nations. a guide to the green economy unesco also detail their roadmap to a sustainable world which incorporates the above elements as well as disaster preparedness conservation of biodiversity and improving governance for sustainable development.	green	pdf	0	Not_from_Model
from green economies to green societies.	green	pdf	0	Not_from_Model
the future we want outcome of the uncsd rio the outcome document for the united nations conference on sustainable development includes a chapter on green economy in the context of sustainable development and poverty eradication.	green	pdf	0	Not_from_Model
