,sentence,provenance,convention_civic,convention_domestic,convention_green,convention_industrial,convention_inspired,convention_market,convention_project,convention_renown
16,"whether you want learn which organizations are the big players in the web archiving space, want to find a specific open source tool for your web archiving need, or just want to see where archivists hang out online, our community wiki page serves as an index of the broader web archiving community.",github,1,0,0,0,0,0,0,0
17,"# join the fairseq community we welcome contributions from our community of all before using any encryption software, please check your country\'s laws, regulations and policies concerning ### community projects the overwhelming support by the community gave it the shape it is in right now.",github,1,0,0,0,0,0,0,0
18, [and here you can find lots of sophisticated **quickstart** templates shared by the community!,github,1,0,0,0,0,0,0,0
19,"voltdb offers the fully open source, agpl3 licensed community edition of voltdb through github here: kivy is mit licensed, actively developed by a great community and is supported community announcements.",github,1,0,0,0,0,0,0,0
20,the overwhelming support by the community gave it the shape it is in right now.,github,1,0,0,0,0,0,0,0
21,i believe the community are smart enough to finish the rest of the owl.,github,1,0,0,0,0,0,0,0
22,"thanks to our great community, we\\\'ve finally re added conda support.",github,1,0,0,0,0,0,0,0
23,this makes it easy for our developers or someone from the open source community to start working!,github,1,0,0,0,0,0,0,0
24,"please continue opening issues and providing feedback for community configuration management, service discovery, circuit breakers, intelligent routing, micro proxy, control bus, one time tokens, global locks, leadership election, distributed sessions, cluster state) contributions are what make the open source community such an amazing place to learn, inspire, and create.",github,1,0,0,0,0,0,0,0
25,it is a community repository for active users.,github,1,0,0,0,0,0,0,0
26, windows community supported we feel that a welcoming open community is important and welcome contributions.,github,1,0,0,0,0,0,0,0
27, we d like to make it easy for anyone to use the erpnext name or logo for community oriented efforts that help spread and improve erpnext.,github,1,0,0,0,0,0,0,0
28,"various independently maintained, os specific packages have been made available by the community: user can create their own packs, share them on github, or submit to stackstorm community repo.",github,1,0,0,0,0,0,0,0
29,"working in community, we can soon have a cli client as complete as the web one!",github,1,0,0,0,0,0,0,0
30,we love contributions from the community!,github,1,0,0,0,0,0,0,0
31,"this product is open source and free, and will continue to provide free community technical support.",github,1,0,0,0,0,0,0,0
32,"kivy is mit licensed, actively developed by a great community and is supported * [community guidelines](code_of_conduct.md) thx to all rs users for your warm support, it\\\'s been a pleasure to ofer this library to the community.",github,1,0,0,0,0,0,0,0
33,perhaps someday the java community will standardize on one.,github,1,0,0,0,0,0,0,0
34,"* [extensive documentation][docs], and [great community support][group].",github,1,0,0,0,0,0,0,0
35,the community has provided several helpful modules to make developing apps with conductor even easier.,github,1,0,0,0,0,0,0,0
36,"additionally, you can modify sam to integrate it with other frameworks and deployment providers from the community for building serverless applications.",github,1,0,0,0,0,0,0,0
37,"github didn\\\'t want to maintain the app anymore, so it\\\'s been released to the community and maintained as a public project.",github,1,0,0,0,0,0,0,0
38,"some of these planned features are easier than others to implement, but i understand how much the programming community wants these, so i will try my best.",github,1,0,0,0,0,0,0,0
39,a growing number of packs is available on stackstorm community.,github,1,0,0,0,0,0,0,0
40,if you want to find other (community provided) storages: `pip search docker registry driver` be sure that you understand and are complying with the csploit licenses and laws in your area.,github,1,0,0,0,0,0,0,0
41,"jctools has enjoyed support from the community in jurisdictions that recognize copyright laws, the author or authors\\r it is the final user\\\'s responsibility to obey all applicable local, state and federal laws.",github,1,0,0,0,0,0,0,0
42,"in\\r case that the jurisdiction has no such laws, regulations, rules and\\r standards or its laws, regulations, rules and standards are\\r unenforceable, the individual or the legal entity are required to\\r comply with core international labor standards.\\r\\r 3. the individual or the legal entity shall not induce, suggest or force\\r its employee(s), whether full time or part time, or its independent\\r contractor(s), in any methods, to agree in oral or written form, to\\r directly or indirectly restrict, weaken or relinquish his or her\\r rights or remedies under such laws, regulations, rules and standards\\r relating to labor and employment as mentioned above, no matter whether\\r such written or oral agreements are enforceable under the laws of the\\r said jurisdiction, nor shall such individual or the legal entity\\r limit, in any methods, the rights of its employee(s) or independent\\r contractor(s) from reporting or complaining to the copyright holder or\\r relevant authorities monitoring the compliance of the license about\\r its violation(s) of the said license.\\r\\r the licensed work is provided ""as is"", without warranty of any kind,\\r express or implied, including but not limited to the warranties of\\r merchantability, fitness for a particular purpose and noninfringement.\\r in no event shall the copyright holder be liable for any claim,\\r damages or other liability, whether in an action of contract, tort or\\r otherwise, arising from, out of or in any way connection with the\\r licensed work or the use or other dealings in the licensed work.\\r\' specifically, it uses unbiased variance to update the moving average, and use sqrt(max(var, eps)) instead of sqrt(var   eps).",github,1,0,0,0,0,0,0,0
43,we intend the issues page to be a forum in which the community collectively troubleshoots problems.,github,1,0,0,0,0,0,0,0
44,"warranty, to the extent permitted by law.",github,1,0,0,0,0,0,0,0
45,"*not host or distribute these datasets, vouch for their quality or fairness, or* before using any encryption software, please check your country\'s laws, regulations and policies concerning the import, possession, or use, and re export of encryption software, to see if this is permitted.",github,1,0,0,0,0,0,0,0
46,software under copyright law.\\r',github,1,0,0,0,0,0,0,0
47,"justifications based on civic equality and solidarity [ civic worth] justifications based on civic equality or solidarity refer to the collective welfare as the standard of evaluation, and propose or oppose projects based on such goals as equal access and protection of civil rights.",sci_article,1,0,0,0,0,0,0,0
48,"various forms of these civic justifications are found in both cases, and equality or solidarity is often the guiding logic underlying the modes of engagement or organization, especially in the somport case.",sci_article,1,0,0,0,0,0,0,0
49,"there are comparative differences also, relating generally to the fact that in the united states the emphasis is more on equal rights, while in france the emphasis is on solidarity against inequality (but not as much on civil rights: cf.",sci_article,1,0,0,0,0,0,0,0
50,"the contributions of mich le lamont and abigail saguy in this volume, who find the same differences in the implementation of civic justifications).",sci_article,1,0,0,0,0,0,0,0
51,"there are also many examples in both cases where equality and solidarity justifications are combined or integrated with other types of justifications, although in different ways in the two different cases (e.g.",sci_article,1,0,0,0,0,0,0,0
52,"combinations of civic and technical industrial worth arguments in france, combinations of civic equality with opinion, market, and environmental justifications in the united states).",sci_article,1,0,0,0,0,0,0,0
53,"in the somport case, both proponents and opponents make a range of quality or solidarity arguments: the project, like other infrastructure developments, is very often defended by the state and by other proponents as a way to meet the common needs of citizens, and as a way to maintain equality of access and communication between regions.",sci_article,1,0,0,0,0,0,0,0
54,"the opposition campaign makes different sorts of civic arguments, but they also engage in modes of protest and organization which embody these civic goals.",sci_article,1,0,0,0,0,0,0,0
55,"for example, there has been an attempt to make connections between the somport struggle and other similar disputes in europe, in the alpine region including switzerland, which involve the choice of building a railway tunnel for the transportation of cars and trucks ( ferroutage ) versus a road or traffic tunnel (the opposition prefers a railway).",sci_article,1,0,0,0,0,0,0,0
56,this attempt to generalize the cause is couched in civic language of solidarity between struggles during meetings where spokespersons provide testimonies of comparable experiences.,sci_article,1,0,0,0,0,0,0,0
57,the opposition to the somport project also organized many demonstrations and used the high level of participation in their demonstrations and their unitary slogans as proof for their arguments against the project.,sci_article,1,0,0,0,0,0,0,0
58,"in the clavey case, civic justifications are utilized by the various players on both sides of the dispute (as in the somport case), but are more commonly employed by the opponents of the dam project.",sci_article,1,0,0,0,0,0,0,0
59,"the local grassroots opposition coalition in tuolumne county often emphasizes their representation of a diverse array of local people (not just the rafting interests or the environmentalists), and the silent solidarity of many more uninvolved but concerned local citizens.",sci_article,1,0,0,0,0,0,0,0
60,"the proponents of the dam, however, also lay claim to this silent support of the locals.",sci_article,1,0,0,0,0,0,0,0
61,both sides at different times collected thousands of names on petitions and submitted them to either the local board of supervisors or the national ferc officials.,sci_article,1,0,0,0,0,0,0,0
62,"this dispute over who has public opinion on his side reveals the connections in the united states between two modes of arguing: a civic mode of arguing based on a figure of majority commitment to one s side and on the need to raise consciousness for gaining more active supporters; a mode of arguing (to be reviewed in detail later) based on renown attempting to gain media attention or to put the issue on the national agenda, as environmentalists explicitly tried to do with the clavey dispute.",sci_article,1,0,0,0,0,0,0,0
63,in the us case (as in other domains investigated in this volume: cf.,sci_article,1,0,0,0,0,0,0,0
64,"chapters by cyril lemieux and john schmalzbauer, and by nathalie heinich) frequent references to the majority offer a bridge between civic and renown justifications.",sci_article,1,0,0,0,0,0,0,0
65,this connection has historically been a highly legitimate argument in american political culture.,sci_article,1,0,0,0,0,0,0,0
66,"whereas in france, the civic reference to the general interest or solidarity is not indexed on the number of supporters or some measure of public opinion (see the next chapter for further exploration of this also).",sci_article,1,0,0,0,0,0,0,0
67,"the debate over the clavey in the turlock area, the valley agricultural region where the power from the dam would be used, provides additional insight into how solidarity is conceived in terms of opinion in the united states both sides in this arena turlock irrigation district proposing the dam versus the opposition from corporate ratepayers and the ratepayer s alliance, a group claiming to represent the residential customers claim to be doing what s best for tid s ratepayers and to offer evidence that public opinion is in their favor.",sci_article,1,0,0,0,0,0,0,0
68,"for example, the opposition groups compiled lists of groups opposed to tid and tried to make the list as diverse and as public as possible.",sci_article,1,0,0,0,0,0,0,0
69,"it is also notable that the environmentalist sponsored opposition group called itself the ratepayers alliance. this name shows the connection often made in the united states between civic equality concerns and market concerns, which were seen as more effective and generally resonant than strictly environmental arguments (or environmental sounding group names).",sci_article,1,0,0,0,0,0,0,0
70,"the term ratepayer, which is commonly used throughout the united states, is in one sense a market identity a customer of the power company but it also signifies a civic, non market identity a citizen (or citizens as a group) being served by a public utility which they usually cannot abandon for another competitor utility for the market reason of lower price.",sci_article,1,0,0,0,0,0,0,0
71,the alliance leaders often utilized this dual connotation because it allowed them to emphasize market arguments at some times and civic equality arguments at others.,sci_article,1,0,0,0,0,0,0,0
72,the same sort of combination of equality and market arguments is usually rejected in france (see also camus vigu in this volume).,sci_article,1,0,0,0,0,0,0,0
73,"in contrast, it is more common in france for equality and solidarity justifications to be connected with justifications concerning infrastructure planning and technical efficiency ( industrial rather than market worth).",sci_article,1,0,0,0,0,0,0,0
74,projects like the somport tunnel are often defended by their developers as meeting the needs of citizens (collectively and equally) through the most competent technical planning.,sci_article,1,0,0,0,0,0,0,0
75,"in fact, the civil servants of the ministry of public works (minist re de l equipement), charged with planning and building infrastructure projects, denounced local opponents of the somport project as trying to protect their own piece of land and remaining stuck in the past, while resisting progress and denying the benefits of the project to all others.",sci_article,1,0,0,0,0,0,0,0
76,a durable compromise between equality arguments and environmental arguments has been developed in the united states earlier and to a greater extent than in france.,sci_article,1,0,0,0,0,0,0,0
77,the great concern with protecting everyone s equal right to access to nature (at least on public lands such as national parks or forests) is both promoted and regulated with the goal of keeping individuals from appropriating nature for their own exclusive use.,sci_article,1,0,0,0,0,0,0,0
78,"united states programs and devices to promote equal access to nature include interpretive nature trails, nature education centers, and, in the clavey case, united states forest service regulation of rafting capacity on the tuolumne river designed to protect the river from overuse and to preserve the pristine wilderness experience for others to enjoy.",sci_article,1,0,0,0,0,0,0,0
79,"the debate over the recreational uses of the clavey reflects the importance of making nature available to all people, but also shows a further connection to market arguments in the us (similar to the one observed in the publishing industry, where popular access means both general availability and market distribution).33 in fact, both sides in the clavey debate claim to be concerned with marketing recreational services so that many people will be able to enjoy nature.",sci_article,1,0,0,0,0,0,0,0
80,the opposition groups maintain damming the clavey will take the clavey away from the people who want to enjoy it recreationally through rafting or fishing or hiking.,sci_article,1,0,0,0,0,0,0,0
81,"tid and other dam proponents, on the other hand, retort that the clavey is currently so remote that only wealthy yuppies who can pay the high price for a rafting trip or for wilderness gear can now enjoy it, while their project will provide new roads into the clavey canyon and many more opportunities for flatwater recreation on the reservoir and camping on its shores.",sci_article,1,0,0,0,0,0,0,0
82,"the attempt to reconcile civic equality arguments with environmental arguments is also at the core of the much disputed wise use movement and the wise use group involved in the clavey conflict, tucare (described earlier).",sci_article,1,0,0,0,0,0,0,0
83,"tucare argues that their populist approach to environmental protection ( wise use of resources, not abuse nor complete preservation of them) is a better reflection of local public sentiment (in an area where many residents work in resource extraction industries), and a better representation of what is good for all local citizens, than that of the environmentalists (who, they claim, care little about the good of most local citizens).",sci_article,1,0,0,0,0,0,0,0
84,both of these examples of connections between equality and environmental arguments are not nearly as well developed in france where there is no institutional equivalent of the wise use movement but the land use planning of protected areas has been recently growing in france.,sci_article,1,0,0,0,0,0,0,0
85,"the civic world probably no work presents a better account of what a civic world, at least in its french version, must be, than rousseau\'s contrat social.",sci_article,1,0,0,0,0,0,0,0
86,"in the civic polity, as in the domestic polity according to bossuet, civil peace depends on the authority of a sovereign whose position, above the selfish lusts of individuals, secures the common good.",sci_article,1,0,0,0,0,0,0,0
87,but rousseau\'s sovereign is disembodied.,sci_article,1,0,0,0,0,0,0,0
88,"in the civic world, a sovereign is formed by the convergence of human wills, as citizens give up their particular interests and direct themselves exclusively towards the common good.",sci_article,1,0,0,0,0,0,0,0
89,"this civic worth counteracts the personal dependencies on which domestic worth is based, as well as the opinions of others which constitute the worth of renown.",sci_article,1,0,0,0,0,0,0,0
90,"in the civic world, persons are small if seen as particulars, following the dictates of a selfish will, and, in contrast, relevant and worthy if seen as members of the disembodied sovereign, exclusively concerned with the general interest.",sci_article,1,0,0,0,0,0,0,0
91,"in order to list the main objects, persons and devices of a civic world, and to describe companies\' situations set up according to this logic, we used two union guides, published by the cfdt, which complement each other, how to elect or designate the delegates and la section syndicale (the union section).",sci_article,1,0,0,0,0,0,0,0
92,the way the labor force is organized in the field of work is regulated by social laws which are themselves the outcome of the nineteenth century effort to implement a civic principle of equivalence.,sci_article,1,0,0,0,0,0,0,0
93,the peculiarity of the civic world is to lay stress on beings who are not individual beings but collective ones.,sci_article,1,0,0,0,0,0,0,0
94,individual human beings can be seen as relevant and worthy only as they belong to a group or as they are the representatives of a collective person.,sci_article,1,0,0,0,0,0,0,0
95,"in this world, important persons are, therefore, federations, public communities, representatives or delegates.",sci_article,1,0,0,0,0,0,0,0
96,their qualities are to be official or statutory.,sci_article,1,0,0,0,0,0,0,0
97,"the relevant objects are either immaterial as, for example, rules, codes, procedures, or material, as union premises or ballot boxes.",sci_article,1,0,0,0,0,0,0,0
98,trustworthy relationships are those which involve or mobilize people for a collective action.,sci_article,1,0,0,0,0,0,0,0
99,"the preeminence of collectives (higher common principle) collective, all, will (general).",sci_article,1,0,0,0,0,0,0,0
100,"rule governed and representative unitary, legal, rule governed, official, representative, authorized, confirmed, free.",sci_article,1,0,0,0,0,0,0,0
101,"the aspiration to civil rights (dignl1y} civil rights, political aspirations, participation.",sci_article,1,0,0,0,0,0,0,0
102,"collective persons and their representatives (subjects) public collectivities, party, federation, chapter, office, committee, elected official, representative, delegate, secretary, member.",sci_article,1,0,0,0,0,0,0,0
103,"legal forms (objects) rights, legislation, decree, order, measure, courts, formality, procedure, transcript, infringement, capacity (electoral), code, criterion, district, slate (of candidates), program, policy, statement, poster, brochure, ballot, tract, slogan, seat, headquarters, local office, acronym, card.",sci_article,1,0,0,0,0,0,0,0
104,"the renunciation of the particular (investment) solidarity, transcending (divisions), renunciation (of immediate interest), struggle (for a cause).",sci_article,1,0,0,0,0,0,0,0
105,"relation of delegation (rei.at/on of worth) membership, representation, delegation, oppression (of aspirations).",sci_article,1,0,0,0,0,0,0,0
106,"gathering for collective action (relationships) unify, mobilize, assemble, join, support, appeal, debate (democratically), speak out (take the floor), inform, codify, legalize, authorize, refer (to a court).",sci_article,1,0,0,0,0,0,0,0
107,"the democratic republic (figures) republic, state, democracy, base, electorate, institutions (representative), parliament.",sci_article,1,0,0,0,0,0,0,0
108,"demonstration for a just cause (test) assembly, congress, council, meeting, session, movement, presence (manifest the presence of), dispute, recourse, justice (demand).",sci_article,1,0,0,0,0,0,0,0
109,"the verdict of the vote (judgmfnt) voting, election, consultation, mobilization, cause (support a) awareness (achieving).",sci_article,1,0,0,0,0,0,0,0
110,"the legal text (evidence) law (the), rules (legal), statutes.",sci_article,1,0,0,0,0,0,0,0
111,"division (the fall) divided, minority (in the), particular, isolated, cut off (from the electoral base), individualism (self serving), deviation, subgroup, irregular, arbitrary, annulled, removed.",sci_article,0,0,0,0,0,0,0,0
112,the civic world the distinctive feature of the civic world is that it attaches primordial importance to beings that are not persons.,sci_article,1,0,0,0,0,0,0,0
113,"in this world, the ones who accede to higher states of worth are not human persons but rather the collective persons that they constitute by meeting together.",sci_article,1,0,0,0,0,0,0,0
114,"insofar as human beings belong to or represent collectives, their worth can be taken into consideration.",sci_article,1,0,0,0,0,0,0,0
115,"but the very existence of such collective beings, which have no bodies of their own, can easily be challenged: ""only individuals truly exist"".",sci_article,1,0,0,0,0,0,0,0
116,"thus the things and arrangements included in the civic world are destined above all to stabilize and equip the collective persons, to objectify them in such a way as to give them body, permanence, and presence.",sci_article,1,0,0,0,0,0,0,0
117,a relation of equivalence can be established among beings insofar as they all belong to a collective that includes and transcends them.,sci_article,1,0,0,0,0,0,0,0
118,"collective beings themselves are included within other, larger collectives, embedded in sets of which the most inclusive is humanity itself.",sci_article,1,0,0,0,0,0,0,0
119,"persons are all subject to the same justice because everyone possesses a conscience that is fashioned in the image of the collective conscience and because everyone is capable, by listening to the voice of this conscience, of subordinating his or her own will to the general will.",sci_article,1,0,0,0,0,0,0,0
120,"this act of becoming aware gives persons ""the will to organize themselves,"" that is, to surmount the singularities that divide them in order to bring about the union of all.",sci_article,1,0,0,0,0,0,0,0
121,"thus a ""collective workers\' organization"" is ""open to all workers, whatever their political or philosophical opinions, nationality, age, or sex"".",sci_article,1,0,0,0,0,0,0,0
122,"people\'s actions are relevant when, as participants in a social movement, they take part in a collective action that gives meaning and justification to their own individual behavior: this ""action ... is not a simple accumulation of positions or individual initiatives but collective action"".",sci_article,1,0,0,0,0,0,0,0
123,"in the civic world, the worthy beings are the masses and the collectives that assemble and organize them.",sci_article,1,0,0,0,0,0,0,0
124,"their worthiness is qualified first by their dimensions: confederate (""confederate congress""), national or international, and by the fact that they belong to public space as opposed to the ""private"" world: one speaks of ""public agencies"".",sci_article,1,0,0,0,0,0,0,0
125,"moreover, persons or collectives gain in worth when they work toward union, when they strive to ""unify"" people, to ""break down their isolation,"" to concentrate ""the collective power of salaried employees grouped around common objectives,"" and when they manage to express, in a ""unitary concept,"" the ""problems common to all"".",sci_article,1,0,0,0,0,0,0,0
126,this activity is liberating because it frees people from the oppression of selfish interests.,sci_article,1,0,0,0,0,0,0,0
127,"the ""labor movement,"" which ensures ""the unity of workers,"" can thus be qualified by its ""liberating mission"".",sci_article,1,0,0,0,0,0,0,0
128,"a being can also be qualified as worthy if it is recognized as representative, a term that, in the civic world, designates the way in which other beings are included and the relation of worth among beings.",sci_article,1,0,0,0,0,0,0,0
129,"to be a representative gives authority within an organization, and confers the capacity to exercise a power.",sci_article,1,0,0,0,0,0,0,0
130,"the representative is qualified to ""accomplish the mission"" that is its vocation, its calling.",sci_article,1,0,0,0,0,0,0,0
131,"thus ""only labor unions ... are qualified to negotiate with management"".",sci_article,1,0,0,0,0,0,0,0
132,the representatives are duly mandated.,sci_article,1,0,0,0,0,0,0,0
133,"the law, for example, confers a ""legal character on the representatives of the personnel"".",sci_article,1,0,0,0,0,0,0,0
134,legality defines a form of worth that is particularly appreciated in this world.,sci_article,1,0,0,0,0,0,0,0
135,"it belongs to texts when they are regulatory or legislative, to representatives when they are official, to members when they are confirmed as such, to delegates when they are valid: ""the validity of the delegate\'s nomination"" must be ""subordinated to the preexisting constitution of the chapter"".",sci_article,1,0,0,0,0,0,0,0
136,"it is similarly necessary to verify the legality of candidates, who, in order to be eligible, must be free, that is, detached from the bonds of personal dependence that constitute the worth of people in the civic world: ""to be eligible, one must ... not be a near relative or the spouse of the employer"".",sci_article,1,0,0,0,0,0,0,0
137,"this detachment is what guarantees the candidates\' independence and \'\'freedom of speech"": one must ""respect ... the independence of judgment that is necessary in such circumstances""; and a ""lack of independence with respect to management suffices in itself for a labor union to be declared nonrepresentative"" freedom is the condition of dignity, because it respects the aspiration of citizens to unity.",sci_article,1,0,0,0,0,0,0,0
138,"beings may escape from chaos in this world, that means from division and thus attain worth because they are naturally political.",sci_article,1,0,0,0,0,0,0,0
139,"they harbor in themselves an aspiration that inclines them toward what is common, toward what unites them and incites them to break down their isolation.",sci_article,1,0,0,0,0,0,0,0
140,"this is what confers on them the quality of citizens invested with civil rights: ""the salaried employees of the company are presumed to enjoy their civil rights"".",sci_article,1,0,0,0,0,0,0,0
141,the common aspiration to defines the dignity of persons.,sci_article,1,0,0,0,0,0,0,0
142,"in the civic world, beings are persons when they are capable of having rights and obligations, that is, when they have been created or authorized by an act in which the will of all is expressed.",sci_article,1,0,0,0,0,0,0,0
143,"the worth of persons depends on the state they are in: as particular persons, they are unworthy because they are reduced to being merely themselves, ""isolated individuals,"" slaves of their own particular interests and condemned to powerlessness; they become worthy when they accede to the general state and make themselves the expression of a general will and the embodiment of a general interest.",sci_article,1,0,0,0,0,0,0,0
144,"thus the local chapter is a collective person because it assembles several individuals in a form that has been recognized and constituted in a legal process that confers rights upon it: ""a chapter may not be instituted ... on the basis of a single person"".",sci_article,1,0,0,0,0,0,0,0
145,"its worth depends on its capacity to bring its members to the general state by mobilizing them around a common interest: ""the chapter has to seize the moment when the workers become aware of their exploitation and of the need to fight, in order to transform them into members, into militants"".",sci_article,1,0,0,0,0,0,0,0
146,it can then fulfil!,sci_article,1,0,0,0,0,0,0,0
147,"its vocation, which is to ""take charge of the workers\' entire set of interests"".",sci_article,1,0,0,0,0,0,0,0
148,"in this state, where they are worthy because they have achieved solidarity, individuals are members, militants, representatives, elected officers, collectors, treasurers, secretaries, delegates.",sci_article,1,0,0,0,0,0,0,0
149,"but the chapter, like the other collective persons of the civic world (offices, committees, federations, confederations, parties, commissions), and like the moral beings that represent the collective interest (elected officials, representatives, delegates) can lose its worth if, backsliding into the particular in the wake of a deviation, it ceases to ""function democratically"": the union chapter is not exempt from deviations, and it is appropriate to ""control the delegates,"" to remain vigilant.",sci_article,1,0,0,0,0,0,0,0
150,"if these ""fundamental principles"" are forgotten, the collective being breaks down and is diluted, becoming no more than a sum of individuals moved by their individual interests: ""when interventions (in meetings) are numerous, and contradictory, the final decision can only remain with the delegate or delegates.",sci_article,1,0,0,0,0,0,0,0
151,"that is why the union chapter has to play its full role under the circumstances, by proposing initiatives.",sci_article,1,0,0,0,0,0,0,0
152,"indeed, it is inconceivable that it should refuse these responsibilities, that it should be diluted, and disappear at the high points of its action"".",sci_article,1,0,0,0,0,0,0,0
153,"to resist the tendency that attracts them toward the particular, moral beings in the civic world have to be stabilized by means of equipment.",sci_article,1,0,0,0,0,0,0,0
154,"the collective will from which they derive and the more general it is, the more worthy it is must be provided with its own instruments in order to express itself.",sci_article,1,0,0,0,0,0,0,0
155,"to make itself heard, it requires ""seats to be filled,"" polling places, voting booths, ballots,"" ""measures allowing an electoral campaign to take place normally"" slates of candidates, for example.",sci_article,1,0,0,0,0,0,0,0
156,"next, in order to sustain their existence, collective persons must assert their presence and acquire headquarters, endowing themselves with a material existence that renders them concrete; they must manifest themselves in objects.",sci_article,1,0,0,0,0,0,0,0
157,"the claim that a collective person endowed with a ""civil status"" has its own personality, is indeed a person, is a reasonable one in the civic world.",sci_article,1,0,0,0,0,0,0,0
158,"yet this fact is challenged from the standpoint of the other worlds, which deny the reality of collective persons and accredit only the diversity of the individual persons of which they are composed.",sci_article,1,0,0,0,0,0,0,0
159,"in order to make ""concrete ... the presence and the active role"" of collective persons, material means are used that allow their presence to be brought out in a form accessible to the senses.",sci_article,1,0,0,0,0,0,0,0
160,"thus the local branch needs to have ""offices in large corporations"".",sci_article,1,0,0,0,0,0,0,0
161,"having headquarters indeed constitutes one of the main devices a collective person can use to objectify its existence (see boltanski 1987, 144).",sci_article,1,0,0,0,0,0,0,0
162,"in order to make itself visible, the chapter, like any other collective person, must have at its disposal the ""equipment needed to produce a tract, a typewriter and a copy machine,"" and it must acquire ""useful and indispensable tools in order to express and defend the workers\' interests,"" such as ""highly visible"" posters, informative signboards, newsletters, and brochures.",sci_article,1,0,0,0,0,0,0,0
163,"thus the brochure we are using here as our reference states in its introduction that it ""has to be a basic tool for the militants who participate in the life of a chapter"".",sci_article,1,0,0,0,0,0,0,0
164,"if their material existence is to appear in a striking fashion, collective persons must also be circumscribed in space by boundaries, which assign them a sector or district (""electoral district"").",sci_article,1,0,0,0,0,0,0,0
165,"furthermore, their vocation has to be specified by a definition that spells out the organization\'s goals and thereby endows it with legal existence (""the law itself gives no definition of ... "").",sci_article,1,0,0,0,0,0,0,0
166,"this definition provides criteria, for example ""criteria of representation,"" and codes making it possible to identify the various collective persons and to distribute among them the individuals whose identity may be defined in turn by their membership in collectives.",sci_article,1,0,0,0,0,0,0,0
167,"it confers on them a right of presence and a right to vote, prerogatives that are attested by cards, contributions, and receipts: ""the receipt for contributions on which the collector records the sums received"".",sci_article,1,0,0,0,0,0,0,0
168,"to maintain their standing, collective persons must also be associated with symbols and emblems, with identifying acronyms: ""the acronym must always be clearly apparent"".",sci_article,1,0,0,0,0,0,0,0
169,"possessing neither a body nor sense organs, the will of a collective person, if it is to be clearly expressed, must be summed up in ready made formulas allowing for repetition by multiple voices without alterations or deviations, such as slogans (which ""are to be used often""), resolutions (""the resolution on democratic procedures adopted by the 28th congress""), objectives (""salaried employees banding together around common objectives""), positions (""publicize the union\'s positions""), programs (""the program developed by the national resistance council""), policies (""base our practice on a set of common policies""), or lines (""party lines"").",sci_article,1,0,0,0,0,0,0,0
170,"the will of these collective persons is less subject to caution when it is asserted in official forms such as orders (a ""group created by an order\'), decrees (""decree of application""), rulings (""the basic text of the ruling dated february 22, 1945""), dispositions (""dispositions peculiar to certain professions""), judgments (\'\'judgments handed down by courts""), and also proclamations (""the proclamation of the elected officials""), proposals (""the proposed text"" of a law), and protocols (""the protocol of understanding"").",sci_article,1,0,0,0,0,0,0,0
