text	confidence_value	confidence_level	data_provenance
We demonstrate the scalability of our algorithm and compare it with baseline implementations, showing significant performance improvements.	0.006885443348437548	Low	Semantic Scholar
The code and the datasets used for conducting the experiments are available online.	0.0035278142895549536	Low	Semantic Scholar
Sparsely synchronized rhythms are thus found to emerge when passing a small critical value plong (c) (≃0.16).	0.003398653119802475	Low	Semantic Scholar
Unlike the case of the Watts-Strogatz SWN, dynamical responses to external stimuli vary depending on the type of stimulated interneurons in the inhomogeneous SWN.	0.00656066183000803	Low	Semantic Scholar
MODEL We used a two level mesoscale model.	0.0004699892597272992	Low	Semantic Scholar
The model was stable with respect to variations in the structure of couplings and to scaling.	0.001654139719903469	Low	Semantic Scholar
The analyzes of the interactions between model structures from their time series using Granger causality method showed that the model reproduced the preictal coupling increase detected previously from experimental data.	0.006084292195737362	Low	Semantic Scholar
CONCLUSION SWDs can be generated by changes in network organization.	0.000625401793513447	Low	Semantic Scholar
The system is represented using a simplified centroidal dynamics model that is influenced by the feet's location and forces.	0.0015822938876226544	Low	Semantic Scholar
Additionally, the entire solver software TOWR, which used to generate these motions is made freely available.	0.0006170862470753491	Low	Semantic Scholar
A multitude of contemporary applications heavily involve graph data whose size appears to be ever–increasing.	0.0057015507481992245	Low	Semantic Scholar
By and large, such contemporary graph processing systems employ ineffective in-memory representations of adjacency lists.	0.005131707992404699	Low	Semantic Scholar
Therefore, memory usage patterns emerge as a primary concern in distributed graph processing.	0.0027813217602670193	Low	Semantic Scholar
Several typical choices for the training criterion (e.g., squared loss, cross entropy, etc . )	0.0036171404644846916	Low	Semantic Scholar
and regularization (e.g., ℓ2 norm, sparsity inducing penalties, etc . )	0.00054880790412426	Low	Semantic Scholar
A comprehensive set of experimental results validate the proposed approach.	0.006619818974286318	Low	Semantic Scholar
Mobile robots (MRs) using wireless communications often experience small-scale fading so that the wireless channel gain can be low.	0.004667999688535929	Low	Semantic Scholar
If the channel gain is poor (due to fading), the robot can move (a small distance) to another location to improve the channel gain and so compensate for fading.	0.0030004805885255337	Low	Semantic Scholar
Techniques using this principle are called mobility diversity algorithms (MDAs).	0.002177019137889147	Low	Semantic Scholar
Until now, the location of these points has been predetermined.	0.0010723159648478031	Low	Semantic Scholar
In this paper, we show how we can adapt their positions by using channel predictors.	0.0007996506756171584	Low	Semantic Scholar
Here we study a pair of linear-nonlinear-Poisson neurons coupled by a weak synapse.	0.0011172060621902347	Low	Semantic Scholar
This expression allows mutual information calculations that would otherwise be computationally intractable.	0.001046600635163486	Low	Semantic Scholar
Finally, we show analytically that our results can quantitatively describe the selection of one information pathway over another when multiple sending neurons project weakly to a single receiving neuron.	0.002807239070534706	Low	Semantic Scholar
We consider the Watts-Strogatz small-world network (SWN) consisting of subthreshold neurons which exhibit noise-induced spikings.	0.0009925748454406857	Low	Semantic Scholar
This neuronal network has adaptive dynamic synaptic strengths governed by the spike-timing-dependent plasticity (STDP).	0.0016265258891507983	Low	Semantic Scholar
In previous works without STDP, stochastic spike synchronization (SSS) between noise-induced spikings of subthreshold neurons was found to occur in a range of intermediate noise intensities.	0.005184803623706102	Low	Semantic Scholar
Here, we investigate the effect of additive STDP on the SSS by varying the noise intensity.	0.0017980147385969758	Low	Semantic Scholar
Occurrence of a``Matthew"effect in synaptic plasticity is found due to a positive feedback process.	0.007011231034994125	Low	Semantic Scholar
Our method projects depth maps onto three orthogonal planes to generate the depth projection maps.	0.006614866200834513	Low	Semantic Scholar
A support vector machine with a linear kernel is used as a shape classifier.	0.000932857277803123	Low	Semantic Scholar
In this paper we focus on extracting a parametrization of asymmetrical bimanual tasks from human demonstration.	0.002782571827992797	Low	Semantic Scholar
We discuss how this applies to the three execution cases mentioned above.	0.004564477596431971	Low	Semantic Scholar
Additionally for the collaborative case we study hand–related features that allow the robot to anticipate and adapt to the user ’ s actions.	0.0043934062123298645	Low	Semantic Scholar
We validate our approach on common daily tasks.	0.0007861164049245417	Low	Semantic Scholar
A compliant joint arm also improves the response of the aerial manipulator to collisions and external forces during the flight operation.	0.003848685184493661	Low	Semantic Scholar
The dynamic model of a compliant joint is validated through frequency identification, demonstrating how virtual variable impedance can be achieved without a second motor.	0.002554308157414198	Low	Semantic Scholar
Experimental results validate the developed concepts.	0.001272357883863151	Low	Semantic Scholar
Experiments are also performed to show the efficacy of the theory.	0.000625913729891181	Low	Semantic Scholar
This paper presents a method to achieve human and legged robot dynamic synchronization through bilateral feedback teleoperation.	0.002274133497849107	Low	Semantic Scholar
Experiments in which a human operator controls a simulated bipedal robot show how the Balance Feedback Interface force varies according to different scales and responds to external disturbances.	0.0048852041363716125	Low	Semantic Scholar
This is an introductory study that aims to grant legged robots motor capabilities for power manipulation comparable to humans.	0.0018568062223494053	Low	Semantic Scholar
We propose a hypergraph-based framework for modeling and detecting malevolent activities.	0.0027199401520192623	Low	Semantic Scholar
Object manipulation and fluid, goal-directed, movements require sensory information for effective execution.	0.0024971659295260906	Low	Semantic Scholar
Amputees lose this intrinsic feedback when controlling their artificial limbs and must instead rely on visual information to compensate.	0.004164879210293293	Low	Semantic Scholar
Here, we describe an application for providing touch and kinesthetic information to amputees.	0.001171629992313683	Low	Semantic Scholar
We report on a soft robotic pneumatic actuator approach that can be incorporated into a prosthetic limb as the silicone suction socket liner itself.	0.004051722586154938	Low	Semantic Scholar
We analyzed two soft materials and different chamber geometries to generate a prototype.	0.0006885506445541978	Low	Semantic Scholar
The results of testing the prototype in able-bodied participants and one amputee individual demonstrated that this soft pneumatic actuator achieved good performance at frequencies of 5 and 70 Hz at 60 kPa.	0.0034043285995721817	Low	Semantic Scholar
While other distributed multiagent collision avoidance systems exist, these systems require online geometric optimization where tedious parameter tuning and perfect sensing are necessary.	0.00445363437756896	Low	Semantic Scholar
We present a novel end-to-end framework to generate reactive collision avoidance policy for efficient distributed multiagent navigation.	0.001308916718699038	Low	Semantic Scholar
Videos are available at https: //sites.google.com/view/deepmaca.	0.0006167090614326298	Low	Semantic Scholar
Each task has an associated set of performance metrics that are used to evaluate how the communication models fare against each other.	0.005486669018864632	Low	Semantic Scholar
This paper addresses a tightly integrated multi-robot planning, localization and navigation system in stochastic scenarios.	0.0022189768496900797	Low	Semantic Scholar
Model-based classification of sequence data using a set of hidden Markov models is a well-known technique.	0.0047551593743264675	Low	Semantic Scholar
Specifically, pain signals are used to adapt the equilibrium position, stiffness, and feedforward torque of a pain-based impedance controller.	0.0013271808857098222	Low	Semantic Scholar
The schemes are experimentally validated with the KUKA LWR4+ for simulated and real physical collisions using the BioTac sensor.	0.0029481439851224422	Low	Semantic Scholar
Nonprehensile dynamic manipulation can be reasonably considered as the most complex manipulation task.	0.0016986527480185032	Low	Semantic Scholar
It might be argued that such a task is still rather far from being fully solved and applied in robotics.	0.00411343015730381	Low	Semantic Scholar
A discussion about current open issues is addressed as well.	0.0013024482177570462	Low	Semantic Scholar
Body flexibility plays an important role in the bounding gait of quadruped animals.	0.002735085552558303	Low	Semantic Scholar
Predicting the grasping function during reach-to-grasp motions is essential for controlling a prosthetic hand or a robotic assistive device.	0.0012543757911771536	Low	Semantic Scholar
An early accurate prediction increases the usability and the comfort of a prosthetic device.	0.0047998568043112755	Low	Semantic Scholar
This work proposes an electromyographic-based learning approach that decodes the grasping intention at an early stage of reach-to-grasp motion, i.e.	0.003259416436776519	Low	Semantic Scholar
before the final grasp/hand pre-shape takes place.	0.000430747983045876	Low	Semantic Scholar
Superficial electrodes and a Cyberglove were used to record the arm muscle activity and the finger joints during reach-to-grasp motions.	0.0023031500168144703	Low	Semantic Scholar
Our results showed a 90% accuracy for the detection of the final grasp about 0.5 s aftermotion onset.	0.0019824036862701178	Low	Semantic Scholar
© 2017 Elsevier B.V. All rights reserved.	0.0006561545887961984	Low	Semantic Scholar
To this end, topic models have been widely adopted to discover the underlying semantic themes (i.e., topics).	0.0013473288854584098	Low	Semantic Scholar
In this paper, we propose a novel supervised topic model, Hierarchical Dirichlet Process-based Inverse Regression (HDP-IR).	0.0025495998561382294	Low	Semantic Scholar
Three experiments were conducted to evaluate the predictive performance over major e-commerce benchmark testbeds of online reviews.	0.0009348374442197382	Low	Semantic Scholar
Overall, HDP-IR outperformed existing state-of-the-art supervised topic models.	0.0021311622112989426	Low	Semantic Scholar
Monocular depth estimation offers a geometry-independent paradigm to detect free, navigable space with minimum space, and power consumption.	0.0011519772233441472	Low	Semantic Scholar
These represent highly desirable features, especially for microaerial vehicles.	0.00311595038510859	Low	Semantic Scholar
Most of the existent depth estimators do not consider generalization, and only benchmark their performance on publicly available datasets after specific fine tuning.	0.0044120904058218	Low	Semantic Scholar
Generalization can be achieved by training on several heterogeneous datasets, but their collection and labeling is costly.	0.0025755553506314754	Low	Semantic Scholar
We show how this approach is able to generalize well across different scenarios.	0.0010445063235238194	Low	Semantic Scholar
Addressing graph construction for inductive setting, in which data are coming sequentially, has received much less attention.	0.00401600357145071	Low	Semantic Scholar
For inductive settings, constructing the graph from scratch can be very time consuming.	0.0019169425358995795	Low	Semantic Scholar
This paper introduces a generic framework that is able to make any graph construction method incremental.	0.0019063643412664533	Low	Semantic Scholar
The paper has two main contributions.	0.00231835781596601	Low	Semantic Scholar
First, we use the TPWRLS coding scheme to represent new sample (s) with respect to an existing database.	0.001052212668582797	Low	Semantic Scholar
The representative coefficients are then used to update the graph affinity matrix.	0.000740956689696759	Low	Semantic Scholar
Based on the model, we developed the system dynamics model and a control law.	0.00215557380579412	Low	Semantic Scholar
We constructed a prototype system and demonstrated meter-scale three-dimensional manipulation of a 200 mm-diameter spherical object.	0.004209121689200401	Low	Semantic Scholar
This results in retrieval inefficiency and limitations on the performance of CBR classifiers.	0.0015732612228021026	Low	Semantic Scholar
This paper proposes a hierarchical case-based classifier, HCBC, which introduces a concept lattice to hierarchically organize cases.	0.002873398130759597	Low	Semantic Scholar
Markov localization and its variants are widely used for mobile robot localization.	0.0035714777186512947	Low	Semantic Scholar
We further include results of a team of indoor autonomous service mobile robots traversing hundreds of kilometers using EnML.	0.006264927797019482	Low	Semantic Scholar
© 2016 Elsevier B.V. All rights reserved.	0.000529215089045465	Low	Semantic Scholar
This calibration problem is relevant to robotic applications that can benefit of using several cameras to increase the field of view.	0.00607134448364377	Low	Semantic Scholar
GPS enables mobile devices to continuously provide new opportunities to improve our daily lives.	0.001188706955872476	Low	Semantic Scholar
Experiments on real datasets demonstrate the efficiency and scalability of our approaches.	0.005779662635177374	Low	Semantic Scholar
We present algorithms to build robust graphs.	0.000382832222385332	Low	Semantic Scholar
We illustrate these algorithms by constructing resilient robot formations in the plane.	0.0009057248244062066	Low	Semantic Scholar
Closed kinematic chains are created whenever multiple robot arms concurrently manipulate a single object.	0.0011703427881002426	Low	Semantic Scholar
The closed-chain constraint, when coupled with robot joint limits, dramatically changes the connectivity of the configuration space.	0.005604851525276899	Low	Semantic Scholar
The paper investigates the variable structure control for stabilization of Boolean networks (BNs).	0.0030489552300423384	Low	Semantic Scholar
We first provide a method to choose states from the reaching mode.	0.000942693674005568	Low	Semantic Scholar
Using this method, we can guarantee that the number of nodes which should be controlled is minimized.	0.0009805401787161827	Low	Semantic Scholar
A control law is then determined to ensure that all selected states can enter into the sliding mode, such that any initial state can arrive in the steady-state mode.	0.005474882200360298	Low	Semantic Scholar
Some examples are provided to illustrate the theoretical results.	0.0024431010242551565	Low	Semantic Scholar
In this study, we present an efficient mathematical representation of soft robotic fingers based on screw theory.	0.002741107251495123	Low	Semantic Scholar
It is possible to design modular grippers with the same mechanical structure, but different behaviours, i.e., different fingertip trajectories, equivalent fingertip stiffness ellipsoids etc.	0.0016542633529752493	Low	Semantic Scholar
Gripper modules can be easily assembled and disassembled, maintaining the same base, to adapt them to different tasks.	0.0005896262009628117	Low	Semantic Scholar
The system parameters experience switches among finite modes according to a Markov chain.	0.0014345754170790315	Low	Semantic Scholar
The update matrix method is adopted to deal with the periodic time-delays resulting from the RR protocol.	0.0032406284008175135	Low	Semantic Scholar
Finally, a numerical simulation example is exploited to demonstrate the effectiveness of the proposed estimator design strategy.	0.0064504556357860565	Low	Semantic Scholar
Using this balanced condition, we can reproduce the results of prior behavioral and neurophysiological experiments.	0.00043429358629509807	Low	Semantic Scholar
Furthermore, we demonstrate that the balanced condition can be implemented in a simple neural network model.	0.0003947124059777707	Low	Semantic Scholar
This paper presents a discrete switching controller for a realization of smooth pursuit.	0.0006732617039233446	Low	Semantic Scholar
This may be feasible by a conventional pulsewidth modulation (PWM) controller; however, it causes high-frequency switching in each motor unit and may damage a compliant actuation system.	0.0022236439399421215	Low	Semantic Scholar
After images are obtained, the discrete switching controller suppresses residual vibrations to reduce switching further.	0.00047170600737445056	Low	Semantic Scholar
In order for robots to successfully carry out manipulation tasks, they require to exploit contact forces and variable impedance control.	0.0027025213930755854	Low	Semantic Scholar
This can be achieved through learning methods that allow the robot not only to model a manipulation task but also to adapt to unseen situations.	0.002248522127047181	Low	Semantic Scholar
This model is used to retrieve a time-varying stiffness profile that allows the robot to satisfactorily react to new task conditions.	0.0022354640532284975	Low	Semantic Scholar
We present VideoLSTM for end-to-end sequence learning of actions in video.	0.0013071508146822453	Low	Semantic Scholar
Starting from the soft-Attention LSTM, VideoLSTM makes three novel contributions.	0.0006983607891015708	Low	Semantic Scholar
First, video has a spatial layout.	0.0007954991306178272	Low	Semantic Scholar
To exploit the spatial correlation we hardwire convolutions in the soft-Attention LSTM architecture.	0.00602607149630785	Low	Semantic Scholar
We introduce motion-based attention.	0.0004494392196647823	Low	Semantic Scholar
It compares favorably against other LSTM architectures for action classification and especially action localization.	0.0058041964657604694	Low	Semantic Scholar
In this paper, we propose a unique perspective to achieve this goal, which is quantifying user vitality by analyzing the dynamic interactions among users on social networks.	0.00630208570510149	Low	Semantic Scholar
Based on this idea, we develop quantitative measurements for user vitality and propose our first algorithm for ranking users based vitality.	0.004570049233734608	Low	Semantic Scholar
Along this line, we develop a customized prediction model to solve the vitality prediction problem.	0.0007641474949195981	Low	Semantic Scholar
To evaluate the performance of our algorithms, we collect two dynamic social network data sets.	0.003347937250509858	Low	Semantic Scholar
The experimental results with both data sets clearly demonstrate the advantage of our ranking and prediction methods.	0.006460076197981834	Low	Semantic Scholar
These studies, however, used relatively shallow architectures, and only one layer was trainable.	0.0014050041791051626	Low	Semantic Scholar
We thus designed a deep SNN, comprising several convolutional (trainable with STDP) and pooling layers.	0.002023995155468583	Low	Semantic Scholar
The network was exposed to natural images.	0.002032571705058217	Low	Semantic Scholar
Thanks to STDP, neurons progressively learned features corresponding to prototypical patterns that were both salient and frequent.	0.0025453108828514814	Low	Semantic Scholar
Only a few tens of examples per category were required and no label was needed.	0.003953669685870409	Low	Semantic Scholar
We experimentally tested our approach on a setup including the humanoid robot ARMAR-III and a Kinect v2 camera.	0.005062142387032509	Low	Semantic Scholar
We first give some properties regarding switch points and accelerating/decelerating curves of the <italic> NI </italic> method.	0.002266878727823496	Low	Semantic Scholar
Accordingly, a failure detection algorithm is given in a “ run-and-test ” manner.	0.0007747994386591017	Low	Semantic Scholar
Some simulation results on a unicycle vehicle are provided to verify those presented properties.	0.0017731408588588238	Low	Semantic Scholar
Note that though those <italic> known properties </italic> are not discovered first, their mathematical proofs are given first in this letter.	0.0031395929399877787	Low	Semantic Scholar
The trip computer application software has been rewritten using function block diagrams (FBDs), a commonly used PLC programming language defined in the IEC 61131-3 standard.	0.0045003448612987995	Low	Semantic Scholar
The replacement project ’ s quality assurance program requires that formal verification be performed to compare the FBDs against a formal software requirements specification written using tabular expressions (TEs).	0.004398020450025797	Low	Semantic Scholar
The PVS theorem proving tool is used in formal verification.	0.001171426847577095	Low	Semantic Scholar
Custom tools developed for OPG are used to translate TEs and FBDs into PVS code.	0.003436126047745347	Low	Semantic Scholar
In this paper, we present a method to rigorously translate the graphical FBD language to a mathematical model in PVS using an abstract syntax to represent the FBD constructs.	0.0012444158783182502	Low	Semantic Scholar
We then extend that example to demonstrate the method ’ s applicability to a Simulink-based design.	0.000983957783319056	Low	Semantic Scholar
Recently, several binary and ternary networks, in which the costly multiply-accumulate operations can be replaced by accumulations or even binary logic operations, make the on-chip training of DNNs quite promising.	0.0068544652312994	Low	Semantic Scholar
To this end, two fundamental issues are yet to be addressed.	0.004252652171999216	Low	Semantic Scholar
The first one is how to implement the back propagation when neuronal activations are discrete.	0.0015532654942944646	Low	Semantic Scholar
The second one is how to remove the full-precision hidden weights in the training phase to break the bottlenecks of memory/computation consumption.	0.0028909496031701565	Low	Semantic Scholar
This promises the event-driven hardware design for efficient mobile intelligence.	0.001069366349838674	Low	Semantic Scholar
We achieve advanced performance compared with state-of-the-art algorithms.	0.0020863860845565796	Low	Semantic Scholar
Furthermore, the computational sparsity and the number of states in the discrete space can be flexibly modified to make it suitable for various hardware platforms.	0.004161123652011156	Low	Semantic Scholar
Most of the results require a step-indexed self-interpreter.	0.0013123956741765141	Low	Semantic Scholar
The straightforward way to address this problem is to apply a state-of-the-art graph pattern matching algorithm at each snapshot and then aggregate the results.	0.004019541200250387	Low	Semantic Scholar
However, for large networks and long sequences, this approach is computationally expensive, since all matches have to be generated at each snapshot, including those appearing only once.	0.006834663450717926	Low	Semantic Scholar
Finally, we present experiments with real datasets that illustrate the efficiency and effectiveness of our approach.	0.0031290980987250805	Low	Semantic Scholar
This paper proposes a modeling method for generic compliant robotic manipulators.	0.0005858612130396068	Low	Semantic Scholar
This modularity enables a simple and straight-forward adaption the model when a manipulator's actuator morphology is changed.	0.0019066736567765474	Low	Semantic Scholar
We present a statistical clustering based tone mapping method which can more faithfully adapt image local content and colors.	0.003754880279302597	Low	Semantic Scholar
Given a query synopsis pattern, SUMMER continuously identifies all the matching subsequences for a stream as the bins are generated.	0.00125249067787081	Low	Semantic Scholar
To effectively reduce the computation time, we design a Weighted Dynamic Time Warping (WDTW) algorithm, which computes the warping distance directly between two histogram-based synopses.	0.003393119666725397	Low	Semantic Scholar
Furthermore, a Stack-based Overlapping Filter Algorithm (SOFA) is provided to remove the overlapping subsequences to avoid the redundant information.	0.0005588300409726799	Low	Semantic Scholar
Finally, we design an optional refinement module to relax the subsequence range limit and improve the matching accuracy.	0.0007930660503916442	Low	Semantic Scholar
We present a novel approach to segment coronary cross-sectional images acquired using catheterization imaging techniques, i.e.	0.0008901418768800795	Low	Semantic Scholar
intra-vascular ultrasound (IVUS) and optical coherence tomography (OCT).	0.0019969444256275892	Low	Semantic Scholar
The coronary images are transformed from Cartesian coordinates to polar coordinates.	0.00129386514890939	Low	Semantic Scholar
Graph partition can then be formulated as searching an optimal interface in the node-weighted directed graph without user initialization.	0.0005547399632632732	Low	Semantic Scholar
Moreover, we carry out supervised column-wise tissue classification in order to automatically optimize the feature selection.	0.0011229823576286435	Low	Semantic Scholar
Instead of empirically assigning weights to different feature detectors, we dynamically and automatically adapt those weighting depending on the tissue compositions in each individual column of pixels.	0.0034287271555513144	Low	Semantic Scholar
The proposed approach is applied to IVUS and OCT images.	0.005060682538896799	Low	Semantic Scholar
Their control is a challenging task for multijoint systems.	0.0012844549492001534	Low	Semantic Scholar
Linear weights transform sensory information into this 1-D controller space and reverse transform 1-D motor signals back into the multidimensional joint space.	0.004648588132113218	Low	Semantic Scholar
In Monte-Carlo-based simulations and experiments, we show that an algorithm that we derived previously can extract these weights online from sensory information about joint positions of a moving system.	0.002889320021495223	Low	Semantic Scholar
The algorithm is computationally cheap, modular, and adjusts to varying mechanical conditions.	0.00038202578434720635	Low	Semantic Scholar
In this paper, we present a new solution for profiling entities over time.	0.0013810883974656463	Low	Semantic Scholar
To prove the calculus sound, I use the substitution lemma, and to prove it complete, I use Herbrand interpretations and semantic trees.	0.005286915693432093	Low	Semantic Scholar
Throughout the paper I emphasize details that are often glossed over in paper proofs.	0.004184901714324951	Low	Semantic Scholar
I give a thorough overview of formalizations of first-order logic found in the literature.	0.005013851448893547	Low	Semantic Scholar
The wearable system applies vibrotactile cues to the feet and visual cues through augmented reality glasses to convey obstacle location and proximity.	0.005695622880011797	Low	Semantic Scholar
Participants (n = 16) performed an overground obstacle avoidance task with the multimodal device.	0.0008531574276275933	Low	Semantic Scholar
Performance metrics included completion time, subjective workload, head-down time, collisions, as well as gait parameters.	0.00198903470300138	Low	Semantic Scholar
Head-down time was the highest for trials without a display.	0.0009925062768161297	Low	Semantic Scholar
Our system is based on the idea that, given a sequence of input data and a transcript, i.e.	0.005013908259570599	Low	Semantic Scholar
The learned model can be used to temporally segment an unseen video with or without transcript.	0.00018947265925817192	Low	Semantic Scholar
Additionally, the inferred segments can be used as a starting point to train high-level fully supervised models.	0.001752766314893961	Low	Semantic Scholar
Operant learning is learning based on reinforcement of behaviours.	0.002229172270745039	Low	Semantic Scholar
If the receptor dynamics are altered by a reinforcement signal the neural system settles to better states, i.e., to match the environmental dynamics that determine reward.	0.004994489252567291	Low	Semantic Scholar
This letter presents a novel robotic manipulation technique that we call robotic edge rolling.	0.0009581740596331656	Low	Semantic Scholar
It can thus be regarded as a form of robotic dexterous, in-hand manipulation with nonprehensile grasps.	0.0006128044915385544	Low	Semantic Scholar
Long-range edge rolling is demonstrated with a modular mobile manipulator that is capable of active steering control.	0.004727927502244711	Low	Semantic Scholar
Furthermore, we achieve simultaneous feature selection and learning by adding a group-lasso regularizer to the ADMM algorithm.	0.0018852934008464217	Low	Semantic Scholar
Testing on real-world data, we show that our method obtains superior performance in terms of accuracy of predicting the destination CU transition and duration of each CU occupancy.	0.006126377731561661	Low	Semantic Scholar
Core decomposition is a fundamental graph problem with a large number of applications.	0.0044148205779492855	Low	Semantic Scholar
Nevertheless, many real-world graphs are too big to reside in memory.	0.0027793068438768387	Low	Semantic Scholar
In this paper, we study I/O efficient core decomposition following a semi-external model, which only allows node information to be loaded in memory.	0.0031362087465822697	Low	Semantic Scholar
We propose a semi-external algorithm and an optimized algorithm for I/O efficient core decomposition.	0.0011401717783883214	Low	Semantic Scholar
To handle dynamic graph updates, we firstly show that our algorithm can be naturally extended to handle edge deletion.	0.0005096343229524791	Low	Semantic Scholar
Then, we propose an I/O efficient core maintenance algorithm to handle edge insertion, and an improved algorithm to further reduce I/O and CPU cost.	0.005348991136997938	Low	Semantic Scholar
We also consider how to maintain the degeneracy order.	0.0010595693020150065	Low	Semantic Scholar
We conduct extensive experiments on 12 real large graphs.	0.00254626153036952	Low	Semantic Scholar
They are very scalable to handle web-scale graphs.	0.0007721544243395329	Low	Semantic Scholar
As an example, we are the first to handle a web graph with 978.5 million nodes and 42.6 billion edges using less than 4.2 GB memory.	0.0012181620113551617	Low	Semantic Scholar
We also show that our proposed algorithms for degeneracy order computation and maintenance can handle big graphs efficiently with small memory overhead.	0.003648509969934821	Low	Semantic Scholar
The proposed method generates a smaller feature vector to describe the hand shape with a minimal amount of data.	0.006436800118535757	Low	Semantic Scholar
In this paper, we study the problem of segmenting graph sequences with labeled nodes.	0.0020408390555530787	Low	Semantic Scholar
Memes on the Twitter network, diseases over a contact network, movie-cascades over a social network, etc.	0.0018535384442657232	Low	Semantic Scholar
are all graph sequences with labeled nodes.	0.00047821769840084016	Low	Semantic Scholar
Others require fix parameters or feature engineering.	0.0004242192371748388	Low	Semantic Scholar
