sentence	provenance	convention
in the french case, the expression of inspiration arguments are best illustrated through the actions and rhetoric of the main opposition figure, eric p tetin.	justification	inspired
p tetin is often portrayed in quasi religious terms, e.g.	justification	inspired
as an english preacher sermonizing alone in the desert who presumably preaches his opposition message from a spiritual inspiration.41 p tetin gives impassioned speeches with artistic flair and gestures; he lives in an abandoned railroad car in the valley and, in a similarly avant garde way, has transformed the derelict railway station into a caf to welcome hip, non touristy travelers.	justification	inspired
the radical singer songwriter renaud also protests against the project from an emotional or aesthetic standpoint: the aspe valley is really one of the most grand landscapes, one of the most overwhelming that i have had the privilege of seeing. there is also a local shepherd, labar re, who has been an active opponent of the project and who writes poems in the native dialect of b arnais extolling the beauty of his land.	justification	inspired
one of his poems reads: the bedous peaks, what a grandiose place / hidden in the heights of the aspe valley / two giants watch over it, the aud and the soperet / two stone giants clothed in red / who, since eternity, look at one another like a couple in love. another quote from p tetin reveals the inspirational value placed on the harmony of man and nature: the aspe valley is a stone cathedral, unique in the world.	justification	inspired
because it is narrow and winding, it is impossible to build anything without destroying its balance and its beauty and harmony. in the clavey case, inspiration arguments almost always relate to the sacred value of nature and many in the united states talk about the highly emotional, even spiritual experience they have in the wilderness of the clavey area.	justification	inspired
people refer to the clavey canyon as a special place evoking personal tranquillity, and they talk about the transformative feeling of being a mere human in the rugged wilderness of the area.	justification	inspired
this is particularly true of the professional river rafters who became involved in the opposition campaign (they spend more time physically near the clavey than anyone else), and of the members of the me wuk tribe who attach not simply an emotional but a religious importance to the clavey canyon.	justification	inspired
finally, like p tetin, clavey activists refer to the natural harmony of man and nature, an equilibrium that is beautiful and inspiring, that is found in the remote canyon.	justification	inspired
clearly the examples in this section from both cases involve not merely inspiration justifications about the awe or passion to be derived from nature, but also environmental or green justifications which imbue nature and wilderness with some measure of inherent value beyond its effect on humans.	justification	inspired
the world of inspiration the construction of this world is based on st augustine\'s city of god and on the treatise augustine devoted to the problem of grace.	justification	inspired
in this world, worth is viewed as an immediate relationship to an external source from which all possible worth flows.	justification	inspired
this worth rests upon the attainment of a state of grace and is, therefore, completely independent of recognition by others.	justification	inspired
it arises, particularly, in the personal body when prepared by asceticism, and especially through emotions.	justification	inspired
its expressions are diverse and many sided: holiness, creativity, artistic sensibility, imagination, etc.	justification	inspired
reference to this world is made, nonetheless, each time people attain worth without bothering about opinions of others.	justification	inspired
it is, for example, the case of artists.	justification	inspired
artists do not necessarily reject public marks of reputation or financial recognition, but they must, in order to be allowed to accept them, make a compromise, which is always difficult to reach, with another kind of worth, say, for example, with that of renown or of the market.	justification	inspired
even when they attain recognition, they never see in their success the very bases of their work\'s value or of their own.	justification	inspired
in order to display the objects of the inspired world we used a practical guide devoted to the development of executives\' creativity written by a \'creativity consultant\', whose title is la creativite en pratique.	justification	inspired
as with the other guides we shall mention later, one can draw from this work a list of terms referring to persons, objects, qualities and typical ways of making relations.	justification	inspired
without going into details, one can show that, in the world of inspiration, the relevant beings are, for example, spirits, crazy people, artists, children.	justification	inspired
these beings are worthy and great when they are odd, wonderful, emotional.	justification	inspired
their typical way of acting is to dream, to imagine, to rebel, or to have living experiences.	justification	inspired
the outpouring of inspiration (higher common principle) inspiration.	justification	inspired
inexpressible and ethereal (st/u\'e of worthinfss) bizarre, unusual, marvelous, unspeakable, disturbing, &citing, spontaneous, emotional.	justification	inspired
the anxiety of creation (dignity).	justification	inspired
love, passion, create.	justification	inspired
visionaries (subjects) spirit, shade, monster, fairy, i, child, woman, madman, artist.	justification	inspired
the waking dream (objects) mind, body, dream, unconscious, drug.	justification	inspired
escape from habits (investment).	justification	inspired
calling into question, risk, detour.	justification	inspired
the universal value of uniqueness (relation of worth).	justification	inspired
genius, independent.	justification	inspired
the alchemy of unexpected encounters (relationships).	justification	inspired
create, discover, quest, imagine, dream, explode (cause to).	justification	inspired
the reality of the imaginary (figures).	justification	inspired
imaginary, unconscious.	justification	inspired
vagabondage of the mind (test).	justification	inspired
adventure, quest, mental voyage, pathfinding, lived experience.	justification	inspired
the stroke of genius (judgment).	justification	inspired
illumination, intuition, spring up, appear, chance, bubbling up, revolution, vertigo, surpass (oneself), masterpiece, planet, aura.	justification	inspired
the certainty of intuition (evidence) phantasm, symbols, signs, analogy, images, myths.	justification	inspired
the temptation to come down to earth (the fall).	justification	inspired
paralyzed, habit, external signs, reproductive.	justification	inspired
the inspired world the inspired world, in which beings must be prepared to welcome changes of state, is weakly equipped and not very well stabilized.	justification	inspired
all the things that support and outfit equivalence in the other worlds, such as measures, rules, money, hierarchy, and laws, are missing here.	justification	inspired
given its weak level of accouterment, this world tolerates the existence of internal tests that are minimally objectifiable, if at all.	justification	inspired
this practice shelters inspired worth from the opinions of others worth in this world is indifferent to signs of contempt but it also accounts for the fragility of this form of worth.	justification	inspired
the inspired world has to confront the paradox of a worth that eludes measure and a form of equivalence that privileges particularity.	justification	inspired
in this world, persons may be more or less worthy in as much as they are all capable of experiencing the outpouring of inspiration and thus of acceding to perfection and happiness.	justification	inspired
in an inspired world, the state of worthiness has the attributes of inspiration, itself, in the form of illumination, a gratuitous benefit that is at once external and internal, felt in the experience of an inner movement that takes over and transforms: the state of worthiness is .spontaneous both sincere and involuntary because it is an inner state that beings receive from outside themselves.	justification	inspired
it is manifested by feelings and passions, and it is experienced as devouring, terrifying, enriching, exciting, exalting, fascinating, disturbing, and so on.	justification	inspired
what is worthy is what cannot be controlled or even more importantly what cannot be measured, especially in its industrial forms.	justification	inspired
worth is often qualified negatively in such a way as to emphasize what is lacking, what would be needed in order to grasp, evaluate, and stabilize a situation.	justification	inspired
inspired persons are not afraid to define themselves by using terms that would devalue them according to a different logic, as for example when one qualifies oneself as irrational.	justification	inspired
in the inspired state of worthiness, beings are not subject to industrial measures, reason, determination, or the certainties of technology; they deviate from the ordinary and "take on bizarre airs."	justification	inspired
they are exempt from domestic arrangements as well; they abandon common sense in favor of extravagance and they "make the familiar strange."	justification	inspired
they know how to recognize and welcome what is mysterious, imaginative, original, unspeakable, unnamable, ethereal, or invisible, and they are at ease in informal situations.	justification	inspired
the passion that moves them instills in them at the same time a desire to create a desire awakened by inspiration along with anxiety or doubt, love for the object pursued, and suffering.	justification	inspired
the worthiest persons in terms of inspiration are often despised by the world at large; they may be poor, dependent, and useless.	justification	inspired
but their deficient state actually enhances their access to knowledge of the world\'s truly harmonious figures (heaven, the imaginary, the unconscious, and so on).	justification	inspired
this holds true for children, who are "curious, inventive, passionate," for women, the simple minded, and madmen, and also for poets, artists (who are of the same "nature as women"), monsters, \'\'frightening, imaginary creatures," and other freaks of nature.	justification	inspired
in this world, in which beings are appreciated for their uniqueness and in which the being with the highest degree of generality is the most original, the worthy are at once unique and universal.	justification	inspired
one shifts without transition from the singularity of the i to the generality of man.	justification	inspired
thus artists, who often embody inspired worth today, are worthy because they include the others in the singularity of a proper name: baudelaire, cocteau, einstein, galileo, mozart, shakespeare, and the like.	justification	inspired
according to this logic, there are beings even worthier than artists, beings who inhabit magical worlds (shades, fairies, magi), but when these are evoked in the work we are drawing on here it is always in a desecratory mode.	justification	inspired
poverty leads to worth through a stripping away that leaves the body bare.	justification	inspired
indeed, in the inspired world, the objects and arrangements that equip worth are not detached from persons.	justification	inspired
they stem equally from a mind and a body (a gift may be manifested either in gestures or in words) that are prepared to receive inspiration in other words, that are cut off from what connects them to arrangements of other natures and placed in a state of availability.	justification	inspired
to surpass oneself, one must plunge down into the place where worth can be manifested that is, into oneself "take a sort of mental voyage," "a trip without drugs, as it were" in order to awaken one\'s "dormant faculties" by means of dreams and fantasies; one must "know how to use sleep," give oneself over to daydreaming, "not always think about being useful, efficient, logical, rational."	justification	inspired
the same results can be achieved with the help of devices borrowed from religions of the far east, from zen, and from psychoanalytical approaches."	justification	inspired
access to inspired worth thus calls for sacrificing forms of stabilization and the contrivances that ensure the identity of persons in other worlds.	justification	inspired
one must "break out of habits and routine," "accept risks," "reject habits, norms, sacrosanct principles," and call everything into question while shaking oneself loose from the "inertia of knowledge."	justification	inspired
the terms that designate the operation of avoiding alternate worlds (which are denounced as illusory) take on particular relief here: to prepare oneself for worthiness is to "shed one\'s rational mental outlook," "give up" everything in order to devote oneself to one\'s vocation, shed one\'s skin, get rid of one\'s old self.	justification	inspired
however, what provides access to worthiness a state whose advent is never predictable is not renunciation per se, but a "sequence of singular chance occurrences": "no painter, no musician, no writer, no scientific researcher can claim to succeed every time .	justification	inspired
.. .	justification	inspired
he knows, on the contrary, that he will have to experience failures, run in place for long periods, start over again and again before succeeding."	justification	inspired
the "unforeseen accidents of creation" ("with all its happily uncontrolled and mysterious aspects"), its detours, call for humility, which allows one to "transcend the prideful assurance of the expert."	justification	inspired
worthy persons in the inspired world understand other beings, encompass them and bring them to fulfillment, not by representing what they all have in common (as spokespersons do in the civic world, for example), but rather by asserting their own uniqueness.	justification	inspired
it is through what they have that is most original and most peculiar to them, that is, through their own genius, that they give themselves to others and serve the common good.	justification	inspired
they thus have the duty of shaking off the yoke, of separating themselves from the herd, of seeking individual liberation, not in order to pursue a selfish goal but in order to achieve human dignity while reestablishing authentic relations among human beings.	justification	inspired
in the inspired world, natural relationships are relationships of creation.	justification	inspired
each being creates and allows itself to be created by others.	justification	inspired
one must thus adopt a state of openness, a welcoming attitude in order to allow "the mysterious alchemy of creation, the alchemy of things and the alchemy of words," an alchemy that composes an ever new and shifting world: "we are speaking in vague terms of unheard of riches, of significations that are infinite in their variety and by that very token highly imprecise."	justification	inspired
the inspired person is inclined to put himself in a questing state, to "enter into affective relationships, the only ones that generate warmth, originality, and creativity among individuals"; he is inclined to dream, to "imagine," that is, to "conceive what does not exist," to create (art, cinema, literature, painting, theater), to seek encounters, to "raise questions," to produce word plays and witticisms that lead "into other universes" and thus to achieve transmutations.	justification	inspired
indeed, only in universes detached from reality from "demoralizing reality," or what purports to be such in other worlds, and especially in the industrial world can true worths be manifested: thus it is necessary to "explode what is called reality."	justification	inspired
the way to escape from reality is to "let imagination run wild," "turn individuals into explorers of the imaginary so they can succeed in "descending into the unconscious," for "all creation draws upon the unconscious."	justification	inspired
a true adventure is an inner adventure, and a true voyage is a voyage of the mind, a pathfinding, a quest.	justification	inspired
this mode of translation is opposed to everything that, in other worlds, and once again especially in the industrial world, grasps movement in the accomplishment of a determination, in a trajectory that is predictable and thus "boring."	justification	inspired
the path toward inspiration is "an ill defined path, full of detours, made up of encounters and changes of direction," a path through the underbrush, a path of invention on which one can wander "beyond the marked borders," open to adventure "with its exhilarating promises."	justification	inspired
to follow this route is to "find one\'s own paths."	justification	inspired
it leads to the experience of particular states "in which the barriers are down," bodily states and mind jests that are moments of plenitude and inspiration.	justification	inspired
in such peak moments in the creation of a masterpiece, for example inspiration manifests itself spontaneously, suddenly, in a disorderly fashion, gripping the creator and obliging him to "surpass himself."	justification	inspired
its way of appearing is to deposit a breath that animates, that draws "imagination out of its stupor" and prods it to take off.	justification	inspired
it is in the nature of inspiration to pour out, to spring up, to manifest itself through a \'\'flash of genius," a "spark" that will provoke the appearance of an idea, an illumination or unusual intuition that disturbs, bringing in its wake a "confused bubbling up," a "strange whirlwind."	justification	inspired
in this state, one grasps the world by way of impressions and feelings, through an aura of happiness, vertigo, fear and trembling.	justification	inspired
for the real world is not directly accessible to the senses.	justification	inspired
it allows itself to be known by means of signs that unveil its existence and suggest what it may be, but without making itself present.	justification	inspired
these signs, conveyed through words or images, take the form of coincidence, analogy, or metaphor.	justification	inspired
all coincidences are relevant because "relationships, often tenuous or purely intellectual ones" exist "among all the elements of our universe."	justification	inspired
the manifestation of the probable accordingly calls for an arrangement in which correspondences can be unfolded and transfers of meaning can be freely operated in such a way as to give rise to unusual ideas.	justification	inspired
one must adopt a "different language," that of "images, phantasms, symbols, myths, legends," shot through with associations, open to the fantastic, to dreams, and "nourished by the prodigious accumulation of images, memories, and myths that has built up without our conscious awareness."	justification	inspired
evidence takes the form of an affective state, a feeling that is spontaneous, involuntary, and fleeting; its validity demands neither approval from others (as it would in the world of fame) nor the construction of a routine that stabilizes relationships among objects (as it would in the industrial world).	justification	inspired
retreat outside dreams leads to a fall.	justification	inspired
beings in the state of unworthiness are defined with reference to the world of fame, in that they seek respect and attach "importance" to "social position" and to "external signs of success."	justification	inspired
they are also qualified by properties that express both the determination and the reproduction of sameness (as opposed to originality) and also the flexibility and stability of that which, lacking impetus or held in restraint, cannot grow: they are frozen in the repetition on of (industrial) routines or (domestic) habits, and locked into the reproduction of what is already known.	justification	inspired
knowledge acquired through education the routines of schooling or the habits of family life thus constitutes an obstacle to what leads toward worth: amazement or enthusiasm.	justification	inspired
the polity comes undone when the temptation to come down to earth wins out over the impulse to take flight. '	justification	inspired
