sentence	provenance	convention
voltdb offers the fully open source, agpl3 licensed community edition of voltdb through github here: kivy is mit licensed, actively developed by a great community and is supported community announcements.	github	civic
the overwhelming support by the community gave it the shape it is in right now.	github	civic
i believe the community are smart enough to finish the rest of the owl.	github	civic
thanks to our great community, we\\\'ve finally re added conda support.	github	civic
this makes it easy for our developers or someone from the open source community to start working!	github	civic
please continue opening issues and providing feedback for community configuration management, service discovery, circuit breakers, intelligent routing, micro proxy, control bus, one time tokens, global locks, leadership election, distributed sessions, cluster state) contributions are what make the open source community such an amazing place to learn, inspire, and create.	github	civic
it is a community repository for active users.	github	civic
 windows community supported we feel that a welcoming open community is important and welcome contributions.	github	civic
 we d like to make it easy for anyone to use the erpnext name or logo for community oriented efforts that help spread and improve erpnext.	github	civic
various independently maintained, os specific packages have been made available by the community: user can create their own packs, share them on github, or submit to stackstorm community repo.	github	civic
working in community, we can soon have a cli client as complete as the web one!	github	civic
we love contributions from the community!	github	civic
this product is open source and free, and will continue to provide free community technical support.	github	civic
kivy is mit licensed, actively developed by a great community and is supported * [community guidelines](code_of_conduct.md) thx to all rs users for your warm support, it\\\'s been a pleasure to ofer this library to the community.	github	civic
perhaps someday the java community will standardize on one.	github	civic
* [extensive documentation][docs], and [great community support][group].	github	civic
the community has provided several helpful modules to make developing apps with conductor even easier.	github	civic
additionally, you can modify sam to integrate it with other frameworks and deployment providers from the community for building serverless applications.	github	civic
github didn\\\'t want to maintain the app anymore, so it\\\'s been released to the community and maintained as a public project.	github	civic
some of these planned features are easier than others to implement, but i understand how much the programming community wants these, so i will try my best.	github	civic
a growing number of packs is available on stackstorm community.	github	civic
if you want to find other (community provided) storages: `pip search docker registry driver` be sure that you understand and are complying with the csploit licenses and laws in your area.	github	civic
jctools has enjoyed support from the community in jurisdictions that recognize copyright laws, the author or authors\\r it is the final user\\\'s responsibility to obey all applicable local, state and federal laws.	github	civic
in\\r case that the jurisdiction has no such laws, regulations, rules and\\r standards or its laws, regulations, rules and standards are\\r unenforceable, the individual or the legal entity are required to\\r comply with core international labor standards.\\r\\r 3. the individual or the legal entity shall not induce, suggest or force\\r its employee(s), whether full time or part time, or its independent\\r contractor(s), in any methods, to agree in oral or written form, to\\r directly or indirectly restrict, weaken or relinquish his or her\\r rights or remedies under such laws, regulations, rules and standards\\r relating to labor and employment as mentioned above, no matter whether\\r such written or oral agreements are enforceable under the laws of the\\r said jurisdiction, nor shall such individual or the legal entity\\r limit, in any methods, the rights of its employee(s) or independent\\r contractor(s) from reporting or complaining to the copyright holder or\\r relevant authorities monitoring the compliance of the license about\\r its violation(s) of the said license.\\r\\r the licensed work is provided "as is", without warranty of any kind,\\r express or implied, including but not limited to the warranties of\\r merchantability, fitness for a particular purpose and noninfringement.\\r in no event shall the copyright holder be liable for any claim,\\r damages or other liability, whether in an action of contract, tort or\\r otherwise, arising from, out of or in any way connection with the\\r licensed work or the use or other dealings in the licensed work.\\r\' specifically, it uses unbiased variance to update the moving average, and use sqrt(max(var, eps)) instead of sqrt(var   eps).	github	civic
we intend the issues page to be a forum in which the community collectively troubleshoots problems.	github	civic
warranty, to the extent permitted by law.	github	civic
*not host or distribute these datasets, vouch for their quality or fairness, or* before using any encryption software, please check your country\'s laws, regulations and policies concerning the import, possession, or use, and re export of encryption software, to see if this is permitted.	github	civic
software under copyright law.\\r'	github	civic
justifications based on civic equality and solidarity [ civic worth] justifications based on civic equality or solidarity refer to the collective welfare as the standard of evaluation, and propose or oppose projects based on such goals as equal access and protection of civil rights.	justification	civic
various forms of these civic justifications are found in both cases, and equality or solidarity is often the guiding logic underlying the modes of engagement or organization, especially in the somport case.	justification	civic
there are comparative differences also, relating generally to the fact that in the united states the emphasis is more on equal rights, while in france the emphasis is on solidarity against inequality (but not as much on civil rights: cf.	justification	civic
the contributions of mich le lamont and abigail saguy in this volume, who find the same differences in the implementation of civic justifications).	justification	civic
there are also many examples in both cases where equality and solidarity justifications are combined or integrated with other types of justifications, although in different ways in the two different cases (e.g.	justification	civic
combinations of civic and technical industrial worth arguments in france, combinations of civic equality with opinion, market, and environmental justifications in the united states).	justification	civic
in the somport case, both proponents and opponents make a range of quality or solidarity arguments: the project, like other infrastructure developments, is very often defended by the state and by other proponents as a way to meet the common needs of citizens, and as a way to maintain equality of access and communication between regions.	justification	civic
the opposition campaign makes different sorts of civic arguments, but they also engage in modes of protest and organization which embody these civic goals.	justification	civic
for example, there has been an attempt to make connections between the somport struggle and other similar disputes in europe, in the alpine region including switzerland, which involve the choice of building a railway tunnel for the transportation of cars and trucks ( ferroutage ) versus a road or traffic tunnel (the opposition prefers a railway).	justification	civic
this attempt to generalize the cause is couched in civic language of solidarity between struggles during meetings where spokespersons provide testimonies of comparable experiences.	justification	civic
the opposition to the somport project also organized many demonstrations and used the high level of participation in their demonstrations and their unitary slogans as proof for their arguments against the project.	justification	civic
in the clavey case, civic justifications are utilized by the various players on both sides of the dispute (as in the somport case), but are more commonly employed by the opponents of the dam project.	justification	civic
the local grassroots opposition coalition in tuolumne county often emphasizes their representation of a diverse array of local people (not just the rafting interests or the environmentalists), and the silent solidarity of many more uninvolved but concerned local citizens.	justification	civic
the proponents of the dam, however, also lay claim to this silent support of the locals.	justification	civic
both sides at different times collected thousands of names on petitions and submitted them to either the local board of supervisors or the national ferc officials.	justification	civic
this dispute over who has public opinion on his side reveals the connections in the united states between two modes of arguing: a civic mode of arguing based on a figure of majority commitment to one s side and on the need to raise consciousness for gaining more active supporters; a mode of arguing (to be reviewed in detail later) based on renown attempting to gain media attention or to put the issue on the national agenda, as environmentalists explicitly tried to do with the clavey dispute.	justification	civic
in the us case (as in other domains investigated in this volume: cf.	justification	civic
chapters by cyril lemieux and john schmalzbauer, and by nathalie heinich) frequent references to the majority offer a bridge between civic and renown justifications.	justification	civic
this connection has historically been a highly legitimate argument in american political culture.	justification	civic
whereas in france, the civic reference to the general interest or solidarity is not indexed on the number of supporters or some measure of public opinion (see the next chapter for further exploration of this also).	justification	civic
the debate over the clavey in the turlock area, the valley agricultural region where the power from the dam would be used, provides additional insight into how solidarity is conceived in terms of opinion in the united states both sides in this arena turlock irrigation district proposing the dam versus the opposition from corporate ratepayers and the ratepayer s alliance, a group claiming to represent the residential customers claim to be doing what s best for tid s ratepayers and to offer evidence that public opinion is in their favor.	justification	civic
for example, the opposition groups compiled lists of groups opposed to tid and tried to make the list as diverse and as public as possible.	justification	civic
it is also notable that the environmentalist sponsored opposition group called itself the ratepayers alliance. this name shows the connection often made in the united states between civic equality concerns and market concerns, which were seen as more effective and generally resonant than strictly environmental arguments (or environmental sounding group names).	justification	civic
the term ratepayer, which is commonly used throughout the united states, is in one sense a market identity a customer of the power company but it also signifies a civic, non market identity a citizen (or citizens as a group) being served by a public utility which they usually cannot abandon for another competitor utility for the market reason of lower price.	justification	civic
the alliance leaders often utilized this dual connotation because it allowed them to emphasize market arguments at some times and civic equality arguments at others.	justification	civic
the same sort of combination of equality and market arguments is usually rejected in france (see also camus vigu in this volume).	justification	civic
in contrast, it is more common in france for equality and solidarity justifications to be connected with justifications concerning infrastructure planning and technical efficiency ( industrial rather than market worth).	justification	civic
projects like the somport tunnel are often defended by their developers as meeting the needs of citizens (collectively and equally) through the most competent technical planning.	justification	civic
in fact, the civil servants of the ministry of public works (minist re de l equipement), charged with planning and building infrastructure projects, denounced local opponents of the somport project as trying to protect their own piece of land and remaining stuck in the past, while resisting progress and denying the benefits of the project to all others.	justification	civic
a durable compromise between equality arguments and environmental arguments has been developed in the united states earlier and to a greater extent than in france.	justification	civic
the great concern with protecting everyone s equal right to access to nature (at least on public lands such as national parks or forests) is both promoted and regulated with the goal of keeping individuals from appropriating nature for their own exclusive use.	justification	civic
united states programs and devices to promote equal access to nature include interpretive nature trails, nature education centers, and, in the clavey case, united states forest service regulation of rafting capacity on the tuolumne river designed to protect the river from overuse and to preserve the pristine wilderness experience for others to enjoy.	justification	civic
the debate over the recreational uses of the clavey reflects the importance of making nature available to all people, but also shows a further connection to market arguments in the us (similar to the one observed in the publishing industry, where popular access means both general availability and market distribution).33 in fact, both sides in the clavey debate claim to be concerned with marketing recreational services so that many people will be able to enjoy nature.	justification	civic
the opposition groups maintain damming the clavey will take the clavey away from the people who want to enjoy it recreationally through rafting or fishing or hiking.	justification	civic
tid and other dam proponents, on the other hand, retort that the clavey is currently so remote that only wealthy yuppies who can pay the high price for a rafting trip or for wilderness gear can now enjoy it, while their project will provide new roads into the clavey canyon and many more opportunities for flatwater recreation on the reservoir and camping on its shores.	justification	civic
the attempt to reconcile civic equality arguments with environmental arguments is also at the core of the much disputed wise use movement and the wise use group involved in the clavey conflict, tucare (described earlier).	justification	civic
tucare argues that their populist approach to environmental protection ( wise use of resources, not abuse nor complete preservation of them) is a better reflection of local public sentiment (in an area where many residents work in resource extraction industries), and a better representation of what is good for all local citizens, than that of the environmentalists (who, they claim, care little about the good of most local citizens).	justification	civic
both of these examples of connections between equality and environmental arguments are not nearly as well developed in france where there is no institutional equivalent of the wise use movement but the land use planning of protected areas has been recently growing in france.	justification	civic
the civic world probably no work presents a better account of what a civic world, at least in its french version, must be, than rousseau\'s contrat social.	justification	civic
in the civic polity, as in the domestic polity according to bossuet, civil peace depends on the authority of a sovereign whose position, above the selfish lusts of individuals, secures the common good.	justification	civic
but rousseau\'s sovereign is disembodied.	justification	civic
in the civic world, a sovereign is formed by the convergence of human wills, as citizens give up their particular interests and direct themselves exclusively towards the common good.	justification	civic
this civic worth counteracts the personal dependencies on which domestic worth is based, as well as the opinions of others which constitute the worth of renown.	justification	civic
in the civic world, persons are small if seen as particulars, following the dictates of a selfish will, and, in contrast, relevant and worthy if seen as members of the disembodied sovereign, exclusively concerned with the general interest.	justification	civic
in order to list the main objects, persons and devices of a civic world, and to describe companies\' situations set up according to this logic, we used two union guides, published by the cfdt, which complement each other, how to elect or designate the delegates and la section syndicale (the union section).	justification	civic
the way the labor force is organized in the field of work is regulated by social laws which are themselves the outcome of the nineteenth century effort to implement a civic principle of equivalence.	justification	civic
the peculiarity of the civic world is to lay stress on beings who are not individual beings but collective ones.	justification	civic
individual human beings can be seen as relevant and worthy only as they belong to a group or as they are the representatives of a collective person.	justification	civic
in this world, important persons are, therefore, federations, public communities, representatives or delegates.	justification	civic
their qualities are to be official or statutory.	justification	civic
the relevant objects are either immaterial as, for example, rules, codes, procedures, or material, as union premises or ballot boxes.	justification	civic
trustworthy relationships are those which involve or mobilize people for a collective action.	justification	civic
the preeminence of collectives (higher common principle) collective, all, will (general).	justification	civic
rule governed and representative unitary, legal, rule governed, official, representative, authorized, confirmed, free.	justification	civic
the aspiration to civil rights (dignl1y} civil rights, political aspirations, participation.	justification	civic
collective persons and their representatives (subjects) public collectivities, party, federation, chapter, office, committee, elected official, representative, delegate, secretary, member.	justification	civic
legal forms (objects) rights, legislation, decree, order, measure, courts, formality, procedure, transcript, infringement, capacity (electoral), code, criterion, district, slate (of candidates), program, policy, statement, poster, brochure, ballot, tract, slogan, seat, headquarters, local office, acronym, card.	justification	civic
the renunciation of the particular (investment) solidarity, transcending (divisions), renunciation (of immediate interest), struggle (for a cause).	justification	civic
relation of delegation (rei.at/on of worth) membership, representation, delegation, oppression (of aspirations).	justification	civic
gathering for collective action (relationships) unify, mobilize, assemble, join, support, appeal, debate (democratically), speak out (take the floor), inform, codify, legalize, authorize, refer (to a court).	justification	civic
the democratic republic (figures) republic, state, democracy, base, electorate, institutions (representative), parliament.	justification	civic
demonstration for a just cause (test) assembly, congress, council, meeting, session, movement, presence (manifest the presence of), dispute, recourse, justice (demand).	justification	civic
the verdict of the vote (judgmfnt) voting, election, consultation, mobilization, cause (support a) awareness (achieving).	justification	civic
the legal text (evidence) law (the), rules (legal), statutes.	justification	civic
division (the fall) divided, minority (in the), particular, isolated, cut off (from the electoral base), individualism (self serving), deviation, subgroup, irregular, arbitrary, annulled, removed.	justification	civic
the civic world the distinctive feature of the civic world is that it attaches primordial importance to beings that are not persons.	justification	civic
in this world, the ones who accede to higher states of worth are not human persons but rather the collective persons that they constitute by meeting together.	justification	civic
insofar as human beings belong to or represent collectives, their worth can be taken into consideration.	justification	civic
but the very existence of such collective beings, which have no bodies of their own, can easily be challenged: "only individuals truly exist".	justification	civic
thus the things and arrangements included in the civic world are destined above all to stabilize and equip the collective persons, to objectify them in such a way as to give them body, permanence, and presence.	justification	civic
a relation of equivalence can be established among beings insofar as they all belong to a collective that includes and transcends them.	justification	civic
collective beings themselves are included within other, larger collectives, embedded in sets of which the most inclusive is humanity itself.	justification	civic
persons are all subject to the same justice because everyone possesses a conscience that is fashioned in the image of the collective conscience and because everyone is capable, by listening to the voice of this conscience, of subordinating his or her own will to the general will.	justification	civic
this act of becoming aware gives persons "the will to organize themselves," that is, to surmount the singularities that divide them in order to bring about the union of all.	justification	civic
thus a "collective workers\' organization" is "open to all workers, whatever their political or philosophical opinions, nationality, age, or sex".	justification	civic
people\'s actions are relevant when, as participants in a social movement, they take part in a collective action that gives meaning and justification to their own individual behavior: this "action ... is not a simple accumulation of positions or individual initiatives but collective action".	justification	civic
in the civic world, the worthy beings are the masses and the collectives that assemble and organize them.	justification	civic
their worthiness is qualified first by their dimensions: confederate ("confederate congress"), national or international, and by the fact that they belong to public space as opposed to the "private" world: one speaks of "public agencies".	justification	civic
moreover, persons or collectives gain in worth when they work toward union, when they strive to "unify" people, to "break down their isolation," to concentrate "the collective power of salaried employees grouped around common objectives," and when they manage to express, in a "unitary concept," the "problems common to all".	justification	civic
this activity is liberating because it frees people from the oppression of selfish interests.	justification	civic
the "labor movement," which ensures "the unity of workers," can thus be qualified by its "liberating mission".	justification	civic
a being can also be qualified as worthy if it is recognized as representative, a term that, in the civic world, designates the way in which other beings are included and the relation of worth among beings.	justification	civic
to be a representative gives authority within an organization, and confers the capacity to exercise a power.	justification	civic
the representative is qualified to "accomplish the mission" that is its vocation, its calling.	justification	civic
thus "only labor unions ... are qualified to negotiate with management".	justification	civic
the representatives are duly mandated.	justification	civic
the law, for example, confers a "legal character on the representatives of the personnel".	justification	civic
legality defines a form of worth that is particularly appreciated in this world.	justification	civic
it belongs to texts when they are regulatory or legislative, to representatives when they are official, to members when they are confirmed as such, to delegates when they are valid: "the validity of the delegate\'s nomination" must be "subordinated to the preexisting constitution of the chapter".	justification	civic
it is similarly necessary to verify the legality of candidates, who, in order to be eligible, must be free, that is, detached from the bonds of personal dependence that constitute the worth of people in the civic world: "to be eligible, one must ... not be a near relative or the spouse of the employer".	justification	civic
this detachment is what guarantees the candidates\' independence and \'\'freedom of speech": one must "respect ... the independence of judgment that is necessary in such circumstances"; and a "lack of independence with respect to management suffices in itself for a labor union to be declared nonrepresentative" freedom is the condition of dignity, because it respects the aspiration of citizens to unity.	justification	civic
beings may escape from chaos in this world, that means from division and thus attain worth because they are naturally political.	justification	civic
they harbor in themselves an aspiration that inclines them toward what is common, toward what unites them and incites them to break down their isolation.	justification	civic
this is what confers on them the quality of citizens invested with civil rights: "the salaried employees of the company are presumed to enjoy their civil rights".	justification	civic
the common aspiration to defines the dignity of persons.	justification	civic
in the civic world, beings are persons when they are capable of having rights and obligations, that is, when they have been created or authorized by an act in which the will of all is expressed.	justification	civic
the worth of persons depends on the state they are in: as particular persons, they are unworthy because they are reduced to being merely themselves, "isolated individuals," slaves of their own particular interests and condemned to powerlessness; they become worthy when they accede to the general state and make themselves the expression of a general will and the embodiment of a general interest.	justification	civic
thus the local chapter is a collective person because it assembles several individuals in a form that has been recognized and constituted in a legal process that confers rights upon it: "a chapter may not be instituted ... on the basis of a single person".	justification	civic
its worth depends on its capacity to bring its members to the general state by mobilizing them around a common interest: "the chapter has to seize the moment when the workers become aware of their exploitation and of the need to fight, in order to transform them into members, into militants".	justification	civic
it can then fulfil!	justification	civic
its vocation, which is to "take charge of the workers\' entire set of interests".	justification	civic
in this state, where they are worthy because they have achieved solidarity, individuals are members, militants, representatives, elected officers, collectors, treasurers, secretaries, delegates.	justification	civic
but the chapter, like the other collective persons of the civic world (offices, committees, federations, confederations, parties, commissions), and like the moral beings that represent the collective interest (elected officials, representatives, delegates) can lose its worth if, backsliding into the particular in the wake of a deviation, it ceases to "function democratically": the union chapter is not exempt from deviations, and it is appropriate to "control the delegates," to remain vigilant.	justification	civic
if these "fundamental principles" are forgotten, the collective being breaks down and is diluted, becoming no more than a sum of individuals moved by their individual interests: "when interventions (in meetings) are numerous, and contradictory, the final decision can only remain with the delegate or delegates.	justification	civic
that is why the union chapter has to play its full role under the circumstances, by proposing initiatives.	justification	civic
indeed, it is inconceivable that it should refuse these responsibilities, that it should be diluted, and disappear at the high points of its action".	justification	civic
to resist the tendency that attracts them toward the particular, moral beings in the civic world have to be stabilized by means of equipment.	justification	civic
the collective will from which they derive and the more general it is, the more worthy it is must be provided with its own instruments in order to express itself.	justification	civic
to make itself heard, it requires "seats to be filled," polling places, voting booths, ballots," "measures allowing an electoral campaign to take place normally" slates of candidates, for example.	justification	civic
next, in order to sustain their existence, collective persons must assert their presence and acquire headquarters, endowing themselves with a material existence that renders them concrete; they must manifest themselves in objects.	justification	civic
the claim that a collective person endowed with a "civil status" has its own personality, is indeed a person, is a reasonable one in the civic world.	justification	civic
yet this fact is challenged from the standpoint of the other worlds, which deny the reality of collective persons and accredit only the diversity of the individual persons of which they are composed.	justification	civic
in order to make "concrete ... the presence and the active role" of collective persons, material means are used that allow their presence to be brought out in a form accessible to the senses.	justification	civic
thus the local branch needs to have "offices in large corporations".	justification	civic
having headquarters indeed constitutes one of the main devices a collective person can use to objectify its existence (see boltanski 1987, 144).	justification	civic
in order to make itself visible, the chapter, like any other collective person, must have at its disposal the "equipment needed to produce a tract, a typewriter and a copy machine," and it must acquire "useful and indispensable tools in order to express and defend the workers\' interests," such as "highly visible" posters, informative signboards, newsletters, and brochures.	justification	civic
thus the brochure we are using here as our reference states in its introduction that it "has to be a basic tool for the militants who participate in the life of a chapter".	justification	civic
if their material existence is to appear in a striking fashion, collective persons must also be circumscribed in space by boundaries, which assign them a sector or district ("electoral district").	justification	civic
furthermore, their vocation has to be specified by a definition that spells out the organization\'s goals and thereby endows it with legal existence ("the law itself gives no definition of ... ").	justification	civic
this definition provides criteria, for example "criteria of representation," and codes making it possible to identify the various collective persons and to distribute among them the individuals whose identity may be defined in turn by their membership in collectives.	justification	civic
it confers on them a right of presence and a right to vote, prerogatives that are attested by cards, contributions, and receipts: "the receipt for contributions on which the collector records the sums received".	justification	civic
to maintain their standing, collective persons must also be associated with symbols and emblems, with identifying acronyms: "the acronym must always be clearly apparent".	justification	civic
possessing neither a body nor sense organs, the will of a collective person, if it is to be clearly expressed, must be summed up in ready made formulas allowing for repetition by multiple voices without alterations or deviations, such as slogans (which "are to be used often"), resolutions ("the resolution on democratic procedures adopted by the 28th congress"), objectives ("salaried employees banding together around common objectives"), positions ("publicize the union\'s positions"), programs ("the program developed by the national resistance council"), policies ("base our practice on a set of common policies"), or lines ("party lines").	justification	civic
the will of these collective persons is less subject to caution when it is asserted in official forms such as orders (a "group created by an order\'), decrees ("decree of application"), rulings ("the basic text of the ruling dated february 22, 1945"), dispositions ("dispositions peculiar to certain professions"), judgments (\'\'judgments handed down by courts"), and also proclamations ("the proclamation of the elected officials"), proposals ("the proposed text" of a law), and protocols ("the protocol of understanding").	justification	civic
even exceptions, which lack worth in this world because they are singular by nature, can be acknowledged when they are codified under the legal form of infringement ("infringements of the conditions of seniority").	justification	civic
when actions are undertaken in legal forms, they give rise to procedures such as the production of transcripts ("the transcript of the election"), measures ("the establishment of measures"), or formalities.	justification	civic
thus the notification to the company of the election of a delegate in a registered letter with return receipt requested is an "important formality," because "the date of receipt of this letter marks, in principle, the starting date of the delegate\'s protected status".	justification	civic
in the civic world, one attains worth by sacrifying particular and immediate interests, by transcending oneself, by refusing to place "individual interests ahead of collective interests".	justification	civic
thus militants renounce "forms of action which only the immediate and sometimes personal interests of the workers are taken into account. this is the condition of solidarity.	justification	civic
but people\'s attachment to their own particular interests, their selfishness and their individualism, are such strong tendencies that the creation and maintenance of collectives requires a tireless struggle: "a chapter cannot be created from one day to the next.	justification	civic
the building of this instrument demands constant struggle against the bosses, who are hostile toward its existence, and at times struggle against oneself".	justification	civic
collective persons are in fact confronted with a particular difficulty.	justification	civic
in order to exist, they must express themselves (the right for the union organization to act and express itself directly") in declarations, yet they cannot take the floor except by borrowing the voice of a representative or of a responsible official who tends, as a private individual, to monopolize the interventions that belong to all.	justification	civic
it is thus necessary to "control the elected officials".	justification	civic
one may seek to prevent the dissolution of collective persons by codifying them, by subjecting them to a legal obligation, by consecrating them with reference to a legal framework.	justification	civic
a delegate may, for example, be authorized, "invested with specific functions" that are codified in texts (such as collective conventions), that define his status, acts relating to his competence and the incompatibilities that concern him: "the mandate of delegate is incompatible with the mandate of administrator".	justification	civic
when the obligation is not respected, subjection to a legal framework ultimately authorizes the collective person to "take any needed steps," to take appropriate recourse ("appeal to the judge"), or to exclude the offender, which precipitates him back into a state of unworthiness.	justification	civic
civic worth depends first and foremost on membership.	justification	civic
the person who becomes a member gains in stature because he breaks out of his isolation.	justification	civic
"broad based membership on the part of the workers" is what constitutes their worth.	justification	civic
but it is the mechanism of representation that expresses the relation of worth in this world in a specific way.	justification	civic
the power of representation granted to a person who benefits from a mandate is what authorizes him to encompass others, to speak in their name, to be their spokesperson.	justification	civic
representatives and delegates are more worthy because their mission is to translate and express the aspirations of the masses.	justification	civic
they have the capacity to represent the others\' interests, that is, to transform the interests of each into a collective interest: "the feeling of dissatisfaction is spontaneous the sense that something is wrong.	justification	civic
the job then is to find out what is wrong, what has to be changed, and tum that into a demand".	justification	civic
in the civic world, finally, in order to be legitimate, the relation of worth must be exercised within legal forms that define and limit representation according to the domain (political parties, unions, and so on), and according to time (the length of the mandate).	justification	civic
the legitimate representative must report back to the base, that is, to the people whose association constitutes the collective.	justification	civic
the principal mode of relation in this world is the association that makes it possible to turn a multitude of individuals into a single person.	justification	civic
to create a collective, it is necessary to assemble, regroup, reunite, unify.	justification	civic
the capacity for collective action is manifested by recruiting, extending, implanting, or spurring initiatives: "it may be a matter of an initiative on the part of some workers who, although in the minority, contemplate initiating an action".	justification	civic
but this world, always inclined to lapse into the particular, requires conscious and active mobilization if it is to hold together.	justification	civic
persons must be continually on the alert to avoid splintering and to preserve a collective character.	justification	civic
representatives must be "in close liaison with the workers"; members must "remain in constant contact with the organizations ... and with their policies".	justification	civic
they must launch appeals, debate democratically, pursue discussions, publicize their policies, inform, and, in order to be heard, multiply explanations as much as possible".	justification	civic
the civic world, which can develop only in the context of a state, finds its most perfected form in republics and in democracies, which ensure the representation of citizens united in electoral bodies (electorate, electoral college, representative institutions, parliamentary democracy).	justification	civic
thanks to such institutions, the general will can emanate from the base: "in the framework of these activities, union members know the pulse of the workers.	justification	civic
they know what aspirations come to light in the workplace.	justification	civic
if the chapter has a tendency toward apathy, they can arouse it, spur debates, and so on.	justification	civic
the members are truly at the base of the union chapter".	justification	civic
democracy is the most appropriate political form for the manifestation of the general will that constitutes the model test for the civic world.	justification	civic
the peak moments in this world are thus moments of unity, meeting, and membership ("call a meeting of the membership") in which the reality of the collective person is confirmed by the physical presence of its_ members: demonstrations, movements, assemblies, councils, sessions, congresses.	justification	civic
these gatherings are particularly favorable to the development of collective worth when they aim at demanding justice by taking recourse to the law to settle a dispute or, better yet, when they provide the opportunity for a reconsideration that appeals to the judgment of all against institutions and against judges accused of monopolizing the law and bending it in favor of the particular interests of certain parties.	justification	civic
judgment is the expression of the general will that may be manifested in the inner self of each person through the achievement of awareness ("it is within the company that workers begin to become aware that they have common interests"); this may be manifested by a collective reflection or in the form of a mobilization around a cause, or it may use democratic instruments: voting, elections, the designation of representatives.	justification	civic
the form taken by evidence is the law in which the expression of the general will is inscribed.	justification	civic
its reality is clear when it is embodied in texts that can be invoked and in legal rules that can be applied: "the new delegates ... will find useful information here on the legal rules that are applicable in such circumstances".	justification	civic
the polity comes apart when it yields to the particular.	justification	civic
whatever dilutes, splinters, or restrains is unworthy: "what would the chapter be if it were limited to a restricted number of members?"	justification	civic
thus the domestic bonds of corporatism are constantly denounced because they divide workers: "corporatist demands that only contribute to dividing the workers still further into different categories".	justification	civic
to put an end to this divided state, it is necessary to "break down the trade structure that has splintered the working class".	justification	civic
beings, when they are not strongly held together by bonds of solidarity, go astray and allow themselves to be led into deviations.	justification	civic
they dissolve into subgroups, or, worse, into self serving individualism: "democracy cannot be improvised in this world shaped by individualism".	justification	civic
people left to themselves, prey to their own appetite for personal power, monopolize speech and, "practiced in influencing assemblies," "make decisions along lines that have very little to do with the interests of all the others".	justification	civic
in the minority, they form a tight inner circle: "there is a great risk that a hierarchy will be constituted among the militants and that a tight inner circle will be created, one that cannot really use the existing possibilities".	justification	civic
they are finally isolated and cut off from the base, and this absence of grounding in the general will gives them an arbitrary character contrary to the rule (irregularity) that leads them toward a fall and annulment (qualities that characterize the greatest deficiency imaginable in the civic world): "salaried workers who have been removed from their union functions"; "irregularities that may lead to the annulment of the elections". '	justification	civic
