	text	provenance	convention	old	new
4	Big Data (feed it lots of data- it's fairly efficient with resources). 	efficiency	industrial	0	1
5	Memory pages/second - number of pages written to or read from the disk in order to resolve hard page faults. Hard page faults are when code not from the current working set is called up from elsewhere and retrieved from a disk. 	efficiency	industrial	0	1
6	Use resources efficiently and lower costs. 	efficiency	industrial	0	1
7	A ptracing profiler For Python. 	efficiency	green	1	0
8	"Author Simon Allardice covers everything from ""quick fixes"" to more complex (but more accurate) algorithms. "	efficiency	renown	0	1
9	It can cluster millions of instances efficiently. 	efficiency	industrial	0	1
10	Highly performant network utilization. 	efficiency	industrial	0	1
11	But the timeline of innovation, particularly in open source projects, is also clear and we want our users to understand the direction of flow of innovation in our space. 	efficiency	inspired	0	1
12	If system is not efficient then it can not be used in real time applications. 	efficiency	industrial	0	1
13	📖 Make the Web Faster | Google Developers. 	efficiency	industrial	0	1
14	System load: 0.39 ,Memory usage: 2%, Processes: 80. 	efficiency	green	1	0
15	Compositional, streaming I/O library for Scala. 	efficiency	industrial	0	1
16	Hardware Monitor can tell you quite a bit about CPU and GPU usage, its a small download and a small footprint in terms of system resources. 	efficiency	industrial	0	1
17	Furthermore, the development of computational power ensures that inefficiency software can be as functional as efficient software with a just price of higher (but not full) CPU load. Nevertheless, neglecting software efficiency will not become an issue, because it is compensated by the still increasing hardware performance as long as the semiconductor industry does not reach its bottleneck.  	efficiency	industrial	0	1
18	Improve performance of the digital sinusoidal generator in memory usage optimization. 	efficiency	industrial	0	1
19	In software engineering, a bottleneck occurs when the capacity of an application or a computer system is severely limited by a single component, like the neck of a bottle slowing down the overall water flow.  	efficiency	industrial	0	1
20	BCC is a toolkit for creating efficient kernel tracing and manipulation programs, and includes several useful tools and examples. 	efficiency	industrial	0	1
21	Indexes are used to quickly locate data without having to search every row in a database table every time a database table is accessed.  	efficiency	industrial	0	1
22	This includes all sorts of active memory regions like code segment containing (mostly) program instructions (and occasionally constants), data segment (both initialized and uninitialized),heap memory, call stack, plus memory required to hold any additional data structures, such as symbol tables, debugging data structures, open files, shared libraries mapped to the current process, etc., that the program ever needs while executing and will be loaded at least once during the entire run. 	efficiency	industrial	0	1
23	The software metrics that use speed as a factor are important to managers who want software delivered as fast as possible. 	efficiency	industrial	0	1
24	Gucci Mane Focuses On Recovery To Find New Music SuccessI was inspired and amazed to read this incredible artist’s story.	HuffPost_News	renown	0	1
25	I On Exceptional Living: Nikki Haskell's Newest Project -- Flashback To The FutureNikki's newest project, Flashback To The Future, will incorporate classic footage with new interviews, parties, and fabulous fun. She's on a mission to make old things new and take us all along for the journey. How will she do it?	HuffPost_News	renown	0	1
26	Why Marketing and Sales Are Inseparable?Your content marketing will attract customers seeking to solve the problems you are best at solving. When that happens, your sales efforts will be about determining if you can help, not convincing them of your talents.	HuffPost_News	market	0	1
27	Global Drug Spending To Hit $1.4 Trillion In 2020A bunch of new drugs targeting cancer and autoimmune diseases are about to hit the market.	HuffPost_News	civic	0	1
28	Public Cynicism Enables Costly Political HypocrisyThe political hypocrisy of crony capitalism –  touting market capitalism while making taxpayers fund corporate welfare – is	HuffPost_News	civic	0	1
29	How to Market Your Business While Traveling the WorldI was recently on an amazing cruise with my wife in the Caribbean. During this time, I was forced to work on cruise Wi-Fi as well as internet hotspots. I was able to live the life I wanted while traveling the world... all while marketing my company online. It actually grew ten percent while I was gone.	HuffPost_News	market	0	1
30	"Togo Burger By Seulbi Kim Rethinks Fast Food Packaging (PHOTO)One look at a creation by Seulbi Kim, a student of industrial design at Rhode Island School of Design, and we're smacking our heads thinking, ""Why didn't we think of that?"""	HuffPost_News	inspired	0	1
31	New EPA Rules Will Aim To Cut Methane Emissions By 40 PercentThe regulations on methane are one part of the Obama administration's strategy to curb greenhouse gases and combat climate change.	HuffPost_News	green	1	1
32	Dawn The Fox Wags Her Tail (VIDEO)Disclaimer: Foxes are wild animals and should never be approached as domesticated pets, despite the benevolent disposition	HuffPost_News	green	1	1
33	13 Important Questions About Criminal Justice We Can’t AnswerA few weeks ago, the White House trumpeted the progress of its Police Data Initiative. The nearly one-year-old project prods	HuffPost_News	civic	0	1
34	"George Takei Slams Virginia Mayor Who Wants To Ban Refugees""[You] hold a position of authority and power, but you demonstrably have failed to learn the most basic of American civics or history lessons."""	HuffPost_News	civic	0	1
35	After 'Black Panther,' Will Hollywood Finally Admit That Black Films Can Travel?The worldwide success of the Marvel film calls into question how we think of black-led films and markets abroad.	HuffPost_News	civic	0	1
36	3 Challenges for Engineering in K-12An engineering curriculum is often thought of as a separate subject, but it doesn't have to be. The reality is that engineers may need psychologists, artists and writers to complement their skills and deliver a project.	HuffPost_News	project	0	1
37	How Technology Can Fight the FluWhether the 2013-14 flu season will be as severe as the previous year remains to be seen. What we do know is that civic app developers in cities across the country will be better equipped than before the help mitigate the problem by leveraging a new standard for data on flu shot locations.	HuffPost_News	civic	0	1
38	Go Green: Underwear and All (PHOTOS)This spring, green is in. Like a St. Patrick's Day hangover, this color is proving that it has staying power. Green underwear seems to be popping up faster than the budding cherry blossoms.	HuffPost_News	green	1	0
39	10 Ways to Eat CleanWhen the seasons change, I get inspired to take a close look at my eating habits and simplify my diet by eating the things that really make my body feel best. Here are 10 healthy eating habits I am focusing on right now to detox my diet.	HuffPost_News	green	1	1
40	Russian Street Artist Nikita Nomerz' 'Living Faces' (PHOTOS)Nomerz' industrial makeovers go beyond the typical street art creations. Instead of merely using the buildings as a canvas	HuffPost_News	inspired	0	1
41	"A Handy Guide to Making Your Home Energy EfficientA famous frog once crooned: ""It's not easy being green,"" but I beg to differ."	HuffPost_News	green	1	1
42	Do Home Buyers Need a Pre-Approval?With bargaining power shifting from home buyers to sellers in an increasing number of local markets, buyers in competition with other buyers are looking for any edge they can get. One possible edge is a pre-approval letter (henceforth PAL) from a lender.	HuffPost_News	market	0	1
43	Love Letters: RomeWalking home, the air grew cooler and softer, sweetened by flower markets on every corner. People greeted me, buena sera	HuffPost_News	green	1	1
44	"Food And Medication Interactions: Grapefruit Isn't The Only One""The number of drugs on the market with the potential to produce serious adverse and in many cases life-threatening effects"	HuffPost_News	civic	0	1
45	The Real View of Free Formula Samples -- Open Your EyesCommercial marketing doesn't belong in hospitals. No matter how you feed your babies.	HuffPost_News	market	0	1
46	Country Living's Sarah Gray Miller Shares Expert Flea Market Shopping TipsWe're getting ready for flea market season here. And, we're excited that the Country Living Fair, is kicking it off this	HuffPost_News	green	1	1
47	"Domestic Violence Still Not Grounds For Divorce In MississippiA Republican lawmaker said a bill allowing domestic violence as a legal reason for divorce would open ""the floodgates."""	HuffPost_News	domestic	0	1
48	Why A Giant Green Lake Turned Blood-RedThe salty waters of Iran’s Lake Urmia recently morphed from a deep green to a rich red, likely due to algae and bacteria blooms.	HuffPost_News	green	1	1
49	EIA: China's Blood Ivory Carving FactoriesFrom the '80s poaching crisis to the current poaching crisis, some of the players have changed, new markets have emerged, but there are many lessons from the past that we can learn from.  And we must. Because if we do not take the lessons of the past, we are doomed to repeat.	HuffPost_News	civic	0	1
50	Why I Chose to Avoid Non-Stick CookwareSo if you've been inspired like I was to stay away from non-stick coated cookware (and bakeware), here are some great PTFE-free alternatives to help you choose the best cookware for your home:	HuffPost_News	green	1	1
51	Roasted Asparagus Market SaladServe this roasted asparagus market salad with ginger soy salmon, a bacon and sun dried tomato quiche, or with a simple ginger and parsnip soup.	HuffPost_News	inspired	0	1
52	Great Conversations: Paul VerhoevenThe manic energy that Verhoeven is renowned for was evident throughout our chat, and was infectious. By the time our all-too-brief lunch was over, I found myself waving my hands while I spoke in rapid clips, and using more bounce than usual in my stride.	HuffPost_News	renown	0	1
53	The Three Imperatives of Authentic BrandingMore and more people are seeking out brands with authentic stories. Brands with authentic stories should live and leverage those stories. Brand without those stories can't make them up. (In the information age truth will out.) Instead, they should build them -- not as marketing gimmicks, but as part of their brand essence and organizational culture.	HuffPost_News	market	0	1
54	Tips To Find Great Stuff At A Flea MarketIf you're not a seasoned shopper, flea markets can be difficult places to navigate. But there are a lot of ways to ensure	HuffPost_News	green	1	1
55	3 Anxiety-Provoking Situations -- And How To DealAndy Puddicombe is a former Buddhist monk and the founder of Headspace, a project to make meditation accessible to busy people	HuffPost_News	civic	0	1
56	What I Want My Son to Know About LoveIt made me realize that there's a lot to learn about love, more than paper hearts, candy, and silly marketing, and that there's also a lot to teach my kids. Here's what I want my son to know about love.	HuffPost_News	domestic	0	1
57	Don't Be Fooled By The Noise. Senate Republicans Aren't Making Their Health Care Bill Better.It's still all about cutting taxes, slashing Medicaid and returning junk insurance to the market.	HuffPost_News	civic	0	1
58	Center For Public Integrity Lays Off Two Reporters Amid RestructuringThe cutbacks come on the heels of the Center's international investigative project scoring major scoop with the Panama Papers.	HuffPost_News	civic	0	1
59	Pensions at a Glance -- Compare Your CountryWhat percentage of GDP is spent on pensions? At what age are people exiting the labor market? What is the poverty rate for those over 65?	HuffPost_News	civic	0	1
60	Flavonoids, Antioxidants Found In Citrus, Tied With Lower Stroke Risk: StudyPast research has shown that flavonoids -- which are also found in leafy greens and yellow, orange and red-colored fruits	HuffPost_News	civic	0	1
61	Alaska Air Nears Deal To Acquire Virgin AmericaAlaska Air is expected to pay upwards of $2 billion for Virgin America, which currently has a market value of about $1.5 billion.	HuffPost_News	market	0	1
62	Finally, in order to be able to handle heterogeneous datasets with a large number of predicates, a mechanism for automatically determining predicate comparability is proposed.	Semantic Scholar	industrial	0	1
63	Hardware-oriented optimizations and modifications to this algorithm are proposed and discussed.	Semantic Scholar	industrial	0	1
64	While new searching methods have become increasingly popular and reliable in recent years, such as image-based searching, these methods may be more limited than text-based means in that they do not allow generic user input.	Semantic Scholar	inspired	0	1
65	Integrating tactile sensors into robotic applications is still a challenge because of sensor interconnection and various form factors.	Semantic Scholar	inspired	0	1
0	The letter describes the design and fabrication of the proposed sensor and discusses the experimental results for sensor characterization.	Semantic Scholar	inspired	0	1
1	As both social network structure and strength of influence between individuals evolve constantly, it requires tracking the influential nodes under a dynamic setting.	Semantic Scholar	renown	0	1
2	Sentiment analysis is applied to posts to acquire their initial stance, and then the post and user stance are updated iteratively with correlated posting-related actions.	Semantic Scholar	renown	0	1
3	As a consequence, estimating the hand pose and at the same time having the capability to provide haptic feedback in a wearable way may benefit areas such as rehabilitation, human–robot interaction, gaming, and many more.	Semantic Scholar	inspired	0	1
4	Due to its immense application potential and enormous technical challenges, IM has been extensively studied in the past decade.	Semantic Scholar	inspired	0	1
5	In this paper, we propose to model and learn distributed word representations with metadata of category information within cQA pages for question retrieval using two novel category powered models.	Semantic Scholar	inspired	0	1
6	Our experiments demonstrate that the models trained on augmented imagery generalize better than those trained on fully synthetic data or models trained on limited amounts of annotated real data.	Semantic Scholar	inspired	0	1
7	We develop a new learning rule designed around the complications of learning modulatory feedback and composed of three simple concepts grounded in physiologically plausible evidence.	Semantic Scholar	inspired	0	1
8	In this paper, we propose a novel Web services discovery approach, which can mine the underlying semantic structures of interaction interface parameters to help users find and employ Web services, and can match interfaces with high precision when the parameters of those interfaces contain meaningful synonyms, abbreviations, and combinations of disordered fragments.	Semantic Scholar	inspired	0	1
9	To solve dynamic Sylvester equation in the presence of additive noises, a novel recurrent neural network (NRNN) with finite-time convergence and excellent robustness is proposed and analyzed in this paper.	Semantic Scholar	inspired	0	1
10	Comparison with six different schemes and two existing methods demonstrates that the proposed method is effective in discovering influence-based communities.	Semantic Scholar	renown	0	1
11	In order to effectively deal with these challenges to infer cognitive wellness from motor patterns with high accuracy, we propose the MOtor-Cognitive Analytics (MOCA) framework.	Semantic Scholar	green	1	1
12	This paper presents a new approach for indexing real feature vectors in high dimensional space.	Semantic Scholar	inspired	0	1
13	Value iteration approaches have proven an outstanding flexibility, while maintaining high data efficiency when combined with probabilistic models to eliminate model bias.	Semantic Scholar	industrial	0	1
14	For example, the proposed system achieves 97.21% classification accuracy while the pixel-based single-image NN system achieves 64.74%.	Semantic Scholar	industrial	0	1
15	The complete distributed control framework is implemented with the combination of a fast model predictive control method executed at 50 Hz on low-power computers onboard multirotor UAVs and validated via a series of hardware-in-the-loop simulations and real-robot experiments.	Semantic Scholar	green	1	1
16	Specifically, in order to trade off accuracy for efficiency, approximate solutions for the k-NN query are extensively explored.	Semantic Scholar	industrial	0	1
17	The extremely fast execution speed is guaranteed owing to the fact that our method effectively turns the original complicated problem into a few small-scale least square optimizations.	Semantic Scholar	industrial	0	1
0	a guidebook to the green economy issue green economy green growth and low carbon development history de nitions and a guide to recent publicationsdivision for sustainable development undesa this document was prepared by cameron allen and stuart clouth un division for sustainable development august.	pdf	green	1	1
1	these have been intensified by recent prolonged global energy food and financial crises and underscored by continued warnings from global scientists that society is in danger of transgressing a number of planetary boundaries or ecological limits.	pdf	green	1	1
2	with governments today seeking effective ways to lead their nations out of these related crises whilst also taking into account these ecological limits green economy in its various forms has been proposed as a means for catalysing renewed national policy development and international cooperation and support for sustainable development.	pdf	green	1	1
3	the concept has received significant international attention over the past few years as a tool to address the financial crisis as well as one of two themes for the un conference on sustainable development rio.	pdf	green	1	1
4	this has resulted in a rapidly expanding literature including new publications on green economy from a variety of influential international organisations national governments think tanks experts non government organisations and others.	pdf	green	1	1
5	despite the growing international interest in green economy negotiations among member states on the concept in the lead up to rio were challenging.	pdf	green	1	1
6	this was partly due to the lack of an internationally agreed definition or universal principles for green economy the emergence of interrelated but different terminology and concepts over recent years such as green growth low carbon development sustainable economy steady state economy etc.	pdf	green	1	1
7	 a lack of clarity around what green economy policy measures encompass and how they integrate with national priorities and objectives relating to economic growth and poverty eradication as well as a perceived lack of experience in designing implementing and reviewing the costs and benefits of green economy policies.	pdf	green	1	1
8	importantly there is also emerging practice in the design and implementation of national green economy strategies by both developed and developing countries across most cf.	pdf	green	1	1
9	state of the planet declaration  planet under pressure   march london which refers to humanity s impact on the earth system and to researchers first steps to identify planetary and regional thresholds and boundaries that if crossed could generate unacceptable environmental and social change para.	pdf	green	1	1
10	see also rockstrom et al a safe operating space for humanity  nature  september  http www.nature.com nature journal v n full a.html.	pdf	green	1	1
11	 united nations. a guide to the green economy regions including africa latin america the asia pacific and europe.	pdf	green	1	1
12	this emerging practice can help to provide some important insights and much needed clarity regarding the types of green economy policy measures their scope with regard to various sectors and national priorities and their institutional barriers risks and implementation costs as well as environmental social and economic benefits.	pdf	green	1	1
13	this international experience may serve to alleviate concerns regarding the effective integration of green economy policies with national economic and social priorities and objectives including the achievement of internationally agreed development goals.	pdf	green	1	1
14	this document aims to provide an overview of recent literature on green economy and the related concepts of green growth and low carbon development and other variations such as low emissions development or low carbon growth.	pdf	green	1	1
15	the overview provides a brief history of these concepts and brings together recent publications from international organisations think tanks experts political groups governments non government organisations and others most of which are freely available on the internet.	pdf	green	1	1
16	recent national green economy green growth and low carbon development strategies are also provided.	pdf	green	1	1
17	in most cases a web link and citation have been provided so that the reader can find out more information or reference the document as necessary.	pdf	green	1	1
18	. related concepts green economy green growth and low carbon development whilst the concept of green economy has only recently gained significant international attention green economy policies have been discussed and analysed for some decades by economists and academics particularly in the fields of environmental and ecological economics.	pdf	green	1	1
19	green economy policy measures have also been discussed at length in international negotiations including unced in rio in. for example the rio declaration included principles promoting the internalisation of environmental costs and the use of economic instruments principle as well as eliminating unsustainable consumption and production principle.	pdf	green	1	1
20	agenda further elaborated on these principles and called for the development of national strategies for sustainable development incorporating measures for integrating environment and development providing effective legal and regulatory frameworks making effective use of economic instruments and market and other incentives and establishing systems for integrated environmental and economic accounting chapter.	pdf	green	1	1
21	ten years later the johannesburg plan of implementation jpoi also identified the need to change the way societies produce and consume and called for the development of a year framework of programmes for sustainable consumption and production.	pdf	green	1	1
22	the first marrakech june and the second san jose september international expert meetings emphasised the need to promote social and economic development within the carrying capacity of the environment de link economic growth and environmental degradation through improving efficiency and sustainability in the use of resources and production processes and reduce resource degradation pollution and waste.	pdf	green	1	1
23	 see http www.greengrowth.org united nations. a guide to the green economy the rio conference in also produced the un framework convention on climate change unfccc  which has involved prolonged debate regarding potential economic regulatory and market based measures to address climate change through low carbon development.	pdf	green	1	1
24	in recent negotiations under this convention it has been agreed that low emission development strategies leds that adopt appropriate policy measures for low carbon development are indispensible for achieving sustainable development.	pdf	green	1	1
25	this section provides a brief overview of the recent history of three interrelated concepts that have gained significant attention in recent years in the context of catalysing efforts to achieve sustainable development green economy green growth and low carbon development.	pdf	green	1	1
26	it is acknowledged that this is not a finite list of approaches models or tools proposed for achieving sustainable development but rather is a subset of approaches that have gained prominence in recent years in the context of international negotiations and amongst influential international organisations.	pdf	green	1	1
27	sections  and below provide a brief history of each of the concepts and recent definitions as well as a summary of recent publications and national strategies that are available online.	pdf	green	1	1
28	this list is not exhaustive and with new publications being released every other day it is intended that this guidebook be a working document that will be regularly updated.	pdf	green	1	1
29	section provides a brief critique of these concepts.	pdf	green	1	1
30	. green economy the term green economy was first coined in a pioneering report for the government of the united kingdom by a group of leading environmental economists entitled blueprint for a green economy pearce markandya and barbier .	pdf	green	1	1
31	the report was commissioned to advise the uk government if there was a consensus definition to the term sustainable development and the implications of sustainable development for the measurement of economic progress and the appraisal of projects and policies.	pdf	green	1	1
32	apart from in the title of the report there is no further reference to green economy and it appears that the term was used as an afterthought by the authors.	pdf	green	1	1
33	in and the authors released sequels to the first report entitled blueprint greening the world economy and blueprint measuring sustainable development.	pdf	green	1	1
34	whilst the theme of the first blueprint report was that economics can and should come to the aid of environmental policy the sequels extended this message to global problems climate change ozone depletion tropical deforestation and resource loss in the developing world.	pdf	green	1	1
35	all reports built upon research and practice in environmental economics spanning back several decades.	pdf	green	1	1
36	in  the term was revived in the context of discussions on the policy response to multiple global crises.	pdf	green	1	1
37	in the context of the financial crisis and concerns of a global recession unep championed the idea of green stimulus packages and identified specific areas where large scale public investment could kick start a green economy atkisson .	pdf	green	1	1
38	it inspired several governments to implement significant green stimulus packages as part of their economic recovery efforts.	pdf	green	1	1
39	 the report interprets sustainable development as non declining human welfare over time that is a development path that makes people better off today but makes people tomorrow have a lower standard of living is not sustainable.	pdf	green	1	1
40	 united nations. a guide to the green economy in october  unep launched its green economy initiative to provide analysis and policy support for investment in green sectors and for greening resource and or pollution intensive sectors.	pdf	green	1	1
41	as part of this initiative unep commissioned one of the original authors of blueprint for a green economy to prepare a report entitled a global green new deal ggnd  which was released in april and proposed a mix of policy actions that would stimulate economic recovery and at the same time improve the sustainability of the world economy.	pdf	green	1	1
42	the ggnd called on governments to allocate a significant share of stimulus funding to green sectors and set out three objectives i economic recovery ii poverty eradication and iii reduced carbon emissions and ecosystem degradation it also proposed a framework for green stimulus programs as well as supportive domestic and international policies unemg .	pdf	green	1	1
43	in june  in the lead up to the un climate change conference in copenhagen the un released an interagency statement supporting the green economy as a transformation to address multiple crises.	pdf	green	1	1
44	the statement included the hope that the economic recovery would be the turning point for an ambitious and effective international response to the multiple crises facing humanity based on a global green economy.	pdf	green	1	1
45	in february  ministers and heads of delegation of the unep global ministerial environment forum in nusa dua acknowledged in their declaration that the green economy concept can significantly address current challenges and deliver economic development opportunities and multiple benefits for all nations.	pdf	green	1	1
46	it also acknowledged unep s leading role in further defining and promoting the concept and encouraged unep to contribute to this work through the preparatory process for the un conference on sustainable development in rio.	pdf	green	1	1
47	in march  the general assembly agreed that green economy in the context of sustainable development and poverty eradication would form one of the two specific themes for rio resolution .	pdf	green	1	1
48	this led to a great deal of international attention on green economy and related concepts and the publication of numerous reports and other literature aiming to further define and demystify the concept.	pdf	green	1	1
49	one of the key reports was the flagship green economy report released by unep in november under its green economy initiative.	pdf	green	1	1
50	unep partnered with think tanks and commercial actors including deutsche bank  lending credibility to its economic analyses atkisson .	pdf	green	1	1
51	importantly the report also provides a working definition of green economy which has since been cited in numerous other publications.	pdf	green	1	1
52	a series of other publications by unep unctad undesa and the uncsd secretariat have attempted to elaborate on the concept and outline guiding principles benefits risks and emerging international experience.	pdf	green	1	1
53	in december  the un environment management group a system wide coordination body of over specialized agencies programmes and organs of the united nations also released its system wide perspective on green economy working towards a balanced and inclusive green economy which identifies and clarifies the use of green economy http www.unep.ch etb pdf statement deliver as one interagency joint statement.	pdf	green	1	1
54	e rev.pdf for example see unep unctad undesa transition to a green economy benefits challenges and risks from a sustainable development perspective un july unctad s road to rio series of publications unep unctad un ohrlls why a green economy matters for the least developed countries and papers prepared by uncsd secretariat for the rio conference including a conf. pc and a conf. pc.	pdf	green	1	1
55	 united nations. a guide to the green economy and other related terms.	pdf	green	1	1
56	this report adopts the definition provided by unep in its green economy report.	pdf	green	1	1
57	a number of non government organizations and partnerships have also developed in recent years which aim to promote green economy as a concept and undertake research analysis and outreach.	pdf	green	1	1
58	there is no internationally agreed definition of green economy and at least eight separate definitions were identified in recent publications see appendix.	pdf	green	1	1
59	for example unep has defined the green economy as one that results in improved human well being and social equity while significantly reducing environmental risks and ecological scarcities.	pdf	green	1	1
60	it is low carbon resource efficient and socially inclusive unep .	pdf	green	1	1
61	this definition has been cited in a number of more recent reports including by the unemg and the oecd.	pdf	green	1	1
62	another definition for green economy offered by the green economy coalition a group of ngos trade union groups and others doing grassroots work on a green economy succinctly defines green economy as a resilient economy that provides a better quality of life for all within the ecological limits of the planet.	pdf	green	1	1
63	publications following is a summary of recent green economy publications available online.	pdf	green	1	1
64	towards a green economy pathways to sustainable development and poverty eradication unep this publication aims to set the stage for the transition to a green economy.	pdf	green	1	1
65	the report provides evidence that the transition has sound economic and social justification and offers governments and the private sector means to contribute to the shift.	pdf	green	1	1
66	opportunities for government include phasing out antiquated subsidies reforming policiescture and and providing new incentives strengthening market infrastruening market based mechanisms redirecting public investment and grepublic procurement.	pdf	green	1	1
67	options for the private sector may include understanding the opportunity arising from a green economic transitionand responding to policy reforms and price signals through higher levels of finance and investment.	pdf	green	1	1
68	 the report identifies the main failings of our current economic paradigm and highlights the causes and what can be done to reverse negative trends.	pdf	green	1	1
69	a substantial section is devoted to defining what a green economy might look like the relationship between the term green economy and the terms sustainable development and poverty eradication  and how far we currently are from a true green economy.	pdf	green	1	1
70	in relation to the latter the report provides options for measuring progress towards a green economy and begins to explore how a green economy might perform over time.	pdf	green	1	1
71	the green economy is defined by unep as one that results in improved human well being and social equity while significantly reducing environmental risks and ecological scarcities.	pdf	green	1	1
72	download here for example see the green economy coalition http www.greeneconomycoalition.org united nations. a guide to the green economy citation united nations environment programme. towards a green economy pathways to sustainable development and poverty eradication.	pdf	green	1	1
73	the overall goal of the report was to assess how the un system could coherently support countries in transitioning to a green economysecond aim of the report was to contribute to the preparatory process for the rio united nations conference on sustainable development. pective define.	pdf	green	1	1
74	a as the report is a synthesis of un agency positions the green economy is defined in the same way as in the unep s towards a green economy report.	pdf	green	1	1
